compound,negative,neutral,positive,text
-0.1027,0.035,0.965,0.0,"At least two deaths and several landslides occurred even before the typhoon hit, and a 5.7-magnitude earthquake of shook Chiba, east of Tokyo,Saturday evening just before the storm made landfall.
Authorities had expected that Hagibis could rival the Kanogawa… [+1369 chars]"
-0.7906,0.167,0.833,0.0,"A son of sharecroppers, Mr. Cummings fought tirelessly for his hometown, Baltimore, and became a key figure in the impeachment investigation. At the time of his death, he was chairman of the House Oversight Committee. On the panel, which is charged with maint… [+1275 chars]"
-0.1531,0.036,0.964,0.0,"BOSTON Roofs peeled off, falling trees brought down electric lines, and more than 500,000customers in New England were without power early Thursday as winds gusting up to 90 miles an hour swept up the East Coast.
Meteorologists have described the storm as a … [+428 chars]"
-0.4404,0.063,0.937,0.0,"Tropical Storm Nestor spawned a string of tornadoes that damaged homes, uprooted trees and overturned vehicles as it moved inland over the Florida Panhandle from the Gulf of Mexico on Friday before it was expected to head to the North Carolina coast, forecast… [+587 chars]"
-0.0772,0.057,0.893,0.05,"After a period of quiet in the Atlantic, tropical cyclone activity has once again picked up. Tropical Storm Nestor formed on Friday afternoon and is slated to impact the Gulf Coast Friday and into the weekend. 
The sprawling disturbance spans a huge portion … [+2481 chars]"
0.2803,0.041,0.895,0.064,"The northern hemispheres quietest tropical cyclone basin is currently going off. Cyclone Kyarr formed on Thursday and quickly spun up in the Indian Ocean into the most powerful storm on the planet. While the storm wont have a huge impact on land, its already … [+3129 chars]"
0.4404,0.0,0.937,0.063,"Scientists report that they may have found the earliest written record of a solar storm in ancient Assyrian tablets.
Recent analyses have found evidence of an extreme solar storm that left energetic particles in tree rings and ice cores across the world some… [+2479 chars]"
0.4019,0.06,0.829,0.111,"(CNN)Winds as strong as those in a tropical storm are pummeling New England on Thursday morning as a storm known as a bomb cyclone knocks out power and promises to disrupt travel in the region through the end of the workweek. 
The storm ""is now parked over s… [+2444 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
-0.1476,0.117,0.778,0.104,"Unbelievable. Not even Dancing with the Stars' votes are safe from meddling. You called it, Tom! Never seen a more defeated-looking cast &amp; judges. So sorry Sailor, Val &amp; @christie9843 . Something is very wrong about this. #DWTS#SailorBrinkleyCook
— K… [+47 chars]"
0.0,0.0,1.0,0.0,"He added, We found out that they think if Trump does it, its normal get over it.
The underlying tether that Mr. Trump is using to keep Mr. Mulvaney close, some advisers and former aides say, is a recognition that his scorched-earth farewells to other senior … [+1687 chars]"
-0.1761,0.036,0.964,0.0,"Norway, which is about 85 miles northwest of Albany, is in Herkimer County, which was one of the counties especially hard hit.
In Essex County in the Adirondacks, Steve Cross, 61, the owner of Halfway House Motel and Restaurant in Elizabethtown, N.Y., said t… [+1019 chars]"
0.6249,0.085,0.732,0.183,"Image copyrightReutersImage caption
 Some 27,000 military troops and other rescue crews have been deployed
Japan has deployed tens of thousands of troops and rescue workers after one of the strongest storms in years hit, killing at least 18 people. 
Typhoo… [+1156 chars]"
0.3612,0.0,0.94,0.06,"Image copyrightGetty ImagesImage caption
 Ambassador Sondland (C) has now revised his 17 October testimony to the impeachment inquiry
It has been a torrid introduction to diplomacy for the wealthy hotelier appointed US ambassador to the EU by Donald Trump.… [+6924 chars]"
-0.9409,0.271,0.689,0.04,"Hurricane season may be winding down, but worry not, lovers of rapidly intensifying weather. Bomb cyclone season is upon us.
Okay, so its not an official meteorological season, but storms that bomb out along the East Coast tend to happen in late fall through… [+2484 chars]"
-0.3612,0.054,0.946,0.0,"A fallen tree is shown on a property in the town of Hudson, Que., west of Montreal, Friday, November 1, 2019, as high winds have left hundreds of thousands of people without power in Montreal and Quebec.
Graham Hughes/The Canadian Press
Large swaths of Queb… [+2895 chars]"
0.0516,0.0,0.97,0.03,"Japan's nationwide high-speed train system, known as the Shinkansen, felt the brunt of the deadly cyclone Typhoon Hagibis after flooding, relentless rain, and mudslides.
The railways run by the Japan Railway Company were battered by torrential downpours, as … [+1561 chars]"
-0.1027,0.032,0.968,0.0,"(CNN)While coastal communities in New England are still recovering from costly beach erosion due to last week's coastal storm, another one could be on the way this week -- and it's expected to intensify rapidly. 
Some models are even suggesting this possible… [+1228 chars]"
0.5719,0.0,0.924,0.076,"He started out insisting that his July 25 phone call with President Volodymyr Zelensky of Ukraine, a central element of the impeachment inquiry, was perfect only to have the notes on the conversation released by the White House reveal that he had told Mr. Zel… [+1692 chars]"
