compound,negative,neutral,positive,text
0.516,0.0,0.93,0.07,"The East Village got another first-rate pizza option last week with the opening of a big new Lions and Tigers and Squares, the Detroit-style pie joint from Francis Garcia and Sal Basille, who also own the Artichoke mini-empire. This is the second LTS location… [+2558 chars]"
0.5859,0.0,0.858,0.142,"Calling All Legal Ops Leaders: The 2019 LDO Survey Is Live
Calling All Legal Ops Leaders: The 2019 LDO Survey Is Live
If you are your organizations operations head, please participate in this years survey and receive exclusive access to the complete results… [+459 chars]"
-0.4767,0.084,0.885,0.032,"Botvin LifeSkills Training (LST) is an evidence-based program that prevents unhealthy behaviors in young people. LST is designed for whole-class in-school delivery, and concentrates on providing children with the skills, knowledge, and attitudes to make healt… [+2935 chars]"
0.6486,0.0,0.867,0.133,"In the regular season, the Abbott Tech boys soccer team had Bullard Havens’ number with a pair of wins.
The Wolverines still have Bullard Havens’ number.
Matias Guaricela scored off a breakaway down the center of the field with 6 minutes left in the second … [+2778 chars]"
0.891,0.0,0.771,0.229,"Abbott Tech celebrates its 2-1 victory over Bullard-Havens in the CTC Championship Saturday, Nov. 9, 2019 at Cheney Tech. (Photo Dan Nowak)
MANCHESTER — In the regular season, the Abbott Tech boys soccer team had Bullard-Havens number with a pair of wins.
T… [+2894 chars]"
0.6486,0.0,0.867,0.133,"In the regular season, the Abbott Tech boys soccer team had Bullard Havens’ number with a pair of wins.
The Wolverines still have Bullard Havens’ number.
Matias Guaricela scored off a breakaway down the center of the field with 6 minutes left in the second … [+2778 chars]"
0.7506,0.0,0.825,0.175,"PATTAYA, Thailand--(BUSINESS WIRE)--As the world of startup financing evolves from initial coin offerings (ICOs) to security token offerings (STOs), investment firms are in a race to secure lucrative opportunities for business. With that said, it is, therefor… [+4599 chars]"
0.0516,0.051,0.892,0.057,"Abstract
Irrigated area in India has significantly increased after the green revolution. However, quantification of irrigation influence on vegetation health and land surface temperature (LST) remains limited. Here, we develop a highresolution (250m) remotel… [+812 chars]"
-0.25,0.045,0.93,0.025,"Study area
The Haihe River basin is located in northern China between 35°N41.5°N and 112°E118.5°E (Fig. 7). The watershed covers an area of 318,200 km2, which accounts for 3.5% of the total area of China. The upper, middle, and lower reaches of this basin, w… [+14116 chars]"
0.5106,0.0,0.883,0.117,"About Us:Law School Transparency is the leading force in legal education reform. Our mission is to make entry to the legal profession more transparent, affordable, and fair. Since our founding in 2009,weve changed how people talk about law school. Weve tackle… [+2106 chars]"
0.672,0.033,0.839,0.128,"We last heard from Trystan and Bifffrom our very popular Accidental Gay Parents seriestwo years ago. Trystan’s pregnancy had gone viral, and the attention was a mixed bag. Not every place treated his story with kindness. On the upside, Trystan landed a perfec… [+1101 chars]"
0.672,0.033,0.839,0.128,"We last heard from Trystan and Bifffrom our very popular Accidental Gay Parents seriestwo years ago. Trystan’s pregnancy had gone viral, and the attention was a mixed bag. Not every place treated his story with kindness. On the upside, Trystan landed a perfec… [+1204 chars]"
0.0,0.0,1.0,0.0,"November 6, 2019Release
Navy News Service
The Navy will christen its newest Expeditionary Fast Transport, the future USNS Newport (T-EPF 12), during a 10 a.m. CST ceremony Saturday, November 9, at the Austal USA shipyard in Mobile, Alabama.
The principal s… [+3289 chars]"
0.0772,0.0,0.969,0.031,"Navy News Service
Story Number: NNS191106-08Release Date: 11/6/2019 3:42:00 PM
From the Office of the Navy Chief of Information
WASHINGTON (NNS) -- The Navy will christen its newest Expeditionary Fast Transport, the future USNS Newport (T-EPF 12), during a… [+3183 chars]"
0.6597,0.1,0.724,0.176,"Key point: American weapons are largely superior to Chinese ones, with some exceptions.
We all know that there are plenty of U.S. weapons the Chinese military would like to get its hands on. The Arsenal of Democracy churns out some of the best, most technolo… [+4929 chars]"
0.6801,0.0,0.851,0.149,"Stack Exchange Network
Stack Exchange network consists of 175 Q&amp;A communities including Stack Overflow, the largest, most trusted online community for developers to learn, share their knowledge, and build their careers.
Visit Stack Exchange"
0.7579,0.0,0.815,0.185,"I would like to create a filter to show me the last 3 months, or last 6 months, or last 12 months of data based on the date field in data.
I am imaging it just adding a Calculated field.
Thanks Stephen"
0.3182,0.0,0.947,0.053,"The Navy will christen its newest Expeditionary Fast Transport, the future USNS Newport (T-EPF 12), during a 10 a.m. CST ceremony Saturday, November 9, at the Austal USA shipyard in Mobile, Alabama.
The principal speaker is Rear Admiral Shoshana Chatfield, P… [+3066 chars]"
0.8225,0.0,0.84,0.16,"2020 will bring a host of new podcasts, returning podcasts, parenting content and live events to womens content network Mamamia, including a new parenting village and another live podcast tour, this time for its beauty title You Beauty.
At its 2020 upfronts … [+5533 chars]"
