compound,negative,neutral,positive,text
0.0772,0.044,0.905,0.05,"We all know how blockchain is decentralized, it operates all over the world and has no geographical boundaries. Like the internet, you can be part of the conversation regardless of where you are in the world (give or take a few places). 
But depending on whe… [+12128 chars]"
0.0,0.0,1.0,0.0,"Opinion, advice, and analysis by the TNW community
Story by
Conrad Egusa
CEO, Publicize &amp; Espacio Media Incubator —
 Conrad lives in Medellin &amp; NYC and profiles startup ecosystems during his travels. He is a Global Mentor at 500 Startups, Techstar… [+11949 chars]"
0.8481,0.0,0.827,0.173,"Apart from ICICI Bank on which we are positive, we are quite bullish on Karur Vysya Bank and Federal Bank. These are the other two names where we see that the return on equity would definitely improve going forward, says Sanjeev Zarbade, analyst, Kotak Securi… [+4296 chars]"
0.5023,0.074,0.751,0.175,"There is no easing into the NBA season.
One week into the grind we have Stephen Curry with a fractured hand (on a block/charge play worth discussing), which is bad news but clarifies the path forward in Golden State.
Joel Embiid and Karl-Anthony Towns are s… [+740 chars]"
0.4137,0.0,0.942,0.058,"Who will take home the NBA MVP hardware this season: Giannis Antetokounmpo? James Harden? Stephen Curry?
What about Rookie of the Year? Can anyone top Zion Williamson? What would it take for Ja Morant or anyone else to get into the conversation?
Finally, wh… [+688 chars]"
0.3899,0.0,0.951,0.049,"What are the odds that one of the teams from Los Angeles is in the NBA Finals?
Could the Utah Jazz surprise the Lakers and Clippers, returning to the Finals for the first time since Stockton and Malone?
Or is it Denvers turn to step up? Maybe James Harden a… [+713 chars]"
0.7184,0.0,0.875,0.125,"Leading cement manufacturer The India Cements Ltd. (ICL) has posted a standalone net profit of 8.72 crore for the second quarter ended September 2019, due to improved realisation on sale of cement and reduction in cost of power and material, among others.
Th… [+1972 chars]"
0.7184,0.0,0.875,0.125,"Leading cement manufacturer The India Cements Ltd. (ICL) has posted a standalone net profit of 8.72 crore for the second quarter ended September 2019, due to improved realisation on sale of cement and reduction in cost of power and material, among others.
Th… [+1972 chars]"
0.7269,0.0,0.878,0.122,"Few companies are as synonymous with PC gaming as Razer. Its Blackwidow is probably the best known keyboard on the market, finding its home in department store displays for most of the last decade. Last year, the company surprised us with a brand new addition… [+11487 chars]"
0.2023,0.081,0.825,0.095,"Mumbai: IDFC First Bank reported a loss of Rs 680 crore due to taking a one-time impact on deferred tax asset markdown as against Rs 617 crore in the quarter ago period.
The profit before tax came at Rs 100 crore, as against a loss of Rs 583 crore in the yea… [+2293 chars]"
0.2732,0.066,0.825,0.11,"Sharekhan's research report on Relaxo Footwears
Revenue grew by 14.5% y-o-y, led by premiumisation, a favourable product mix and price hikes in select products. Benign input costs and a better product mix drove up gross margins by 309 bps, while comparable O… [+874 chars]"
0.5719,0.048,0.824,0.128,"Prabhudas Lilladher's research report on ICICI Bank
ICICIBC reported earnings of Rs6.55bn (PLe: Rs0.25bn) as it marked down DTA of ~Rs29.0bn, while all round contribution to PBT was from strong NII growth, other income and comparatively lower provisions. Ban… [+1179 chars]"
0.8442,0.0,0.771,0.229,"Prabhudas Lilladher's research report on ITC
ITC has posted another steady quarter with 3% cigarette volume growth in a challenging environment. Overall business momentum is sustained with 6.5% comparable FMCG growth, strong margin outlook in paperboards and… [+1229 chars]"
0.8271,0.0,0.828,0.172,"Is Permian Basin Royalty Trust (NYSE:PBT) a good stock to buy right now? We at Insider Monkey like to examine what billionaires and hedge funds think of a company before spending days of research on it. Given their 2 and 20 payment structure, hedge funds have… [+6164 chars]"
0.8999,0.0,0.778,0.222,"If you are searching for a long-term dividend play with leverage to higher oil &amp; gas pricing, Permian Basin Royalty Trust (PBT) is getting more interesting by the day. If you can stomach some volatility the next year or two in the trust price, a turnaroun… [+6163 chars]"
0.6597,0.064,0.752,0.184,"ICICI Direct's research report on Kansai Nerolac Paints
Kansai Nerolacs (KNL) Q2FY20 aggregate performance was split between a strong decorative segment (with volume and value growth of 12% and 8%, respectively) and weak industrial segment performance (de-gr… [+1559 chars]"
0.8316,0.03,0.763,0.207,"ICICI Direct's research report on Asian Paints
Asian Paints reported strong volume growth in the decorative segment (I-direct estimate: ~14% YoY) in Q2FY20, higher than our estimate of 12%. Volume growth was largely driven by demand staying intact in tier II… [+1486 chars]"
0.8074,0.056,0.701,0.242,"State Bank of India, the country's largest lender, has reported a strong set of numbers for the quarter ended September 2019, backed by a substantial reduction in slippages. Its net interest income has also beaten market expectations. The bank's profit before… [+1314 chars]"
0.4404,0.0,0.937,0.063,"Private sector bank Kotak Mahindra Bank is scheduled to report its September quarter earnings on October 22, 2019.
Research and broking firm KR Choksey expects Kotak Mahindra Bank to report a net profit at Rs 1,511 crore up 32.3 percent year-on-year (up 11.1… [+1949 chars]"
0.0,0.0,1.0,0.0,"Copyright © 2001-2011 Madshrimps, All rights reserved.Graphic Design by Dennis Kestelle, Programming by Maarten Menten,
Overall Site design by John Meys
All information and graphics contained in Madshrimps are sole property of the Madshrimps crew and
may n… [+75 chars]"
