compound,negative,neutral,positive,text
0.6124,0.0,0.848,0.152,"Amazon seemingly didnt realize what it had on its hands with the original Echo. Released five and a half years back for a select number of Amazon Prime users, the first Alexa device ushered in a consumer electronics revolution. 
According to numbers from Can… [+3238 chars]"
0.7184,0.0,0.875,0.125,"Today, everybody can say whatever via social media, Salameh, who came to this job from Merrill Lynch, told me. I have read various so-called biographies of myself, and am discovering I did not know who I was before. He smiled a wan smile. My contribution over… [+1737 chars]"
0.9638,0.0,0.649,0.351,"I like to think Im pretty decent with Excel. I know my way around a pivot table, I love automating anything and everything with formulas and conditional formatting, and I am as skilled with a vlookup as the awesome new xlookup. Excel macros, however, are an e… [+2225 chars]"
-0.4939,0.1,0.9,0.0,"Image copyrightGloria Yusuff 
Finding a decent, affordable place to live is a common problem facing young people in many places. But in Nigeria's booming commercial hub, Lagos, it is almost impossible as landlords demand a year's rent in advance.
For two-be… [+7515 chars]"
0.5245,0.034,0.868,0.098,"The Shelby GT500 is a beast on the track. It’s not a surprise. After a day driving around Las Vegas, I found something that surprised me: The GT500 is as comfortable on the road as it is on the track.
The Shelby GT500 is an icon of motoring. The name implies… [+7353 chars]"
-0.4215,0.089,0.911,0.0,"WASHINGTON (Reuters) - Britain’s new Brexit deal has a “decent chance” of clearing parliament on Saturday and the alternative is to leave the European Union in two weeks’ time without anything to soften the economic shock, finance minister Sajid Javid said. … [+2745 chars]"
0.4588,0.0,0.902,0.098,"If you've been waiting to purchase a Nintendo Switch, or want to update your existing unit, Amazon has a decent deal on the console. If you take advantage of an onsite coupon, you can get $24 off the console, making it $275, instead of $299. Note that the dis… [+679 chars]"
-0.9263,0.235,0.765,0.0,"Two years ago, GoPro took its first stab at a 360-degree action camera with the GoPro Fusion. It wasnt a particularly good stab. It was bulky, it required two micro SD cards, and the footage was a royal pain to work with. In the intervening years, weve seen d… [+13523 chars]"
0.1779,0.0,0.963,0.037,"Its a wonder that Echo Buds didnt arrive sooner. Earbuds (I still cant write hearables without cringing a bit) are the clearest path to making Alexa work outside of the home. Amazon, after all, has been unable to crack the smartphone category. Half a decade l… [+5518 chars]"
0.3182,0.0,0.953,0.047,"The new all-electric Mini Cooper SE, the first Mini designed from the ground up as an electric car, is going to retail in the U.S. starting at $29,900 (plus an $850 Destination and Handling fee) before any tax incentives are applied. That puts final pricing a… [+1327 chars]"
0.5834,0.0,0.884,0.116,"TL;DR:Swarovski watches are on sale for 15% off in the Sparkling Week Sale.
When it comes to gifts, there are very few guaranteed winners. You can try your luck getting something unique, or you could experiment with homemade gifts, but nothing is going to pl… [+799 chars]"
0.8555,0.03,0.735,0.235,"TL;DR: Order the Google Pixel 4 or 4XL and get a free HP Chromebook 14 worth £229.
The Google Pixel 4 and 4XL have finally launched, and you can still scoop a free HP Chromebook 14 if you order with Carphone Warehouse.
If you have a weird feeling of déjà vu… [+893 chars]"
0.5423,0.078,0.782,0.14,"TL;DR: The Call Of Duty: Modern Warfare PS4 Pro bundle is available for £299 on Amazon, and includes free delivery.
Call of Duty: Modern Warfare has received a lot of press since its release in late October, and not all of it has been good. 
The game's prov… [+771 chars]"
0.6369,0.0,0.874,0.126,"TL;DR: The efficient iRobot Roomba 671 robot vacuum cleaner is on sale for £249.99 on Amazon, saving you 37% on list price.
When it comes to strategically mastering deals, there are basically two schools of thought. You either take the slow and steady route,… [+987 chars]"
0.4019,0.0,0.942,0.058,"Theres an LTE model, too
Image: Samsung
Samsung announced today that the Galaxy Tab Active Pro, its newest rugged tablet designed for people who work outdoors or in industrial areas, is now available in the US for $599.99. (Previously, it was only available… [+2158 chars]"
0.5563,0.055,0.812,0.134,"There are all kinds of speedrunning strategies out there, from finding ways outside the boundaries of the game world to manipulating seemingly random elements for favorable outcomes. Some of the most interesting utilize legitimate gameplay mechanics in intere… [+3051 chars]"
-0.296,0.048,0.952,0.0,"Sony’s live TV streaming service, PlayStation Vue, is shutting down. The service will no longer be available as of January 30, 2020, the company announced today. The news comes only days after rumors circulated which claimed Sony was in search of a new owner … [+2404 chars]"
-0.5994,0.117,0.883,0.0,"When an airline overbooks a flight, theyll tempt travelers with money, meals or overnight hotel stays in a last-ditch effort to avoid involuntarily bumping passengers. But how do overbooked hotels cope with this same problem?
Unsurprisingly, hotels, too, par… [+3261 chars]"
-0.5994,0.163,0.754,0.084,"We're only a few hours into the Disney+ world and it already has people talking whether about pivotal Star Wars scenes or the curious content warnings playing before some previously archived films.
Some warnings feel standard, such as ""tobacco depictions"" in… [+1755 chars]"
-0.1531,0.046,0.922,0.032,"Washington (CNN)Louisiana Governor John Bel Edwards has been forced into a runoff election in his bid for reelection, where he will face Republican businessman Eddie Rispone, CNN projected Saturday. 
Edwards was the top vote getter but will fall short of the… [+1441 chars]"
