compound,negative,neutral,positive,text
0.7717,0.0,0.868,0.132,"ATLANTA Substitute Nick DeLeon scored in the 78th minute as Toronto FC rallied to beat defending champion Atlanta United FC 2-1 Wednesday and advance to the MLS Cup final for the third time in four years.
DeLeon took a pass from Alejandro Pozuelo, pivoted at… [+5242 chars]"
0.0,0.0,1.0,0.0,"© Spaceshift Studio
+ 26
<ul><li>
Lead Architect
</li><li>
Design Team
Apichart Srirojanapinyo, Chanasit Cholasuek, Phark Lertchanyakul, Panfan Laksanahut
</li><li>
Clients
</li><li>
Structural Engineer
</li><li>
Mechanical Engineer
</li><li>
La… [+2894 chars]"
0.0,0.0,1.0,0.0,"© DOF Sky|Ground
+ 33
<ul><li>Architects
Authors of this architecture project
Stu/D/O Architects</li><li>Area
Area of this architecture project
</li><li>Project Year
Brands with products used in this architecture project 
</li><li>Photographer
Create… [+3473 chars]"
0.0,0.0,1.0,0.0,"in designing the office headquarters of thai technology company macrocare in bangkok, Stu/D/O architects has developed a building of interlocking masses and tilting planes with various green pockets that visually connect nature with interior spaces. a large v… [+2745 chars]"
0.0,0.0,1.0,0.0,"Stu/D/O architects’gliding villa comprises two two-story residences built on a single land next to the khao-yai mountains, thailand, and topped with triangular roofs that visually connect the separate structures on site. the two villas are each located along … [+1659 chars]"
0.7644,0.0,0.863,0.137,Here’s a photo I took during the Autumn Workshop (which you should sign up for!) when we went up to the top of Coronet Peak. I have a list of like 10 of my favorite places to take the group… I usually wait till the very last minute to decide based on the weat… [+189 chars]
0.0,0.0,1.0,0.0,"Stu/D/O architects has completed a building combining a six-bedroom private residence and four service apartment units in bangkok, thailand, designed to provide all occupants with the highest amount of privacy while still maintaining a close connection to the… [+3058 chars]"
0.0,0.0,1.0,0.0,"Tamron Hall issued a statement in response to reports she confessed to selling drugs.
 (Photo: Paras Griffin, Getty Images for Tyler Perry Stu)
Tamron Hall is clearing the air after it was reported she revealed she used to ""facilitate"" selling cocaine as a … [+2060 chars]"
0.0,0.0,1.0,0.0,"Quick Stats: Stu Cook, bassist, Creedence Clearwater Revival/RevisitedDaily Driver: 2012 BMW 650i (Stu's rating: 9.5 on a scale of 1 to 10)Other cars: See belowFavorite road trip: Pacific Coast HighwayCar he learned to drive in: 1941 ChevyFirst car bought: 19… [+10728 chars]"
0.6908,0.0,0.86,0.14,"Stuberis now available on Blu-ray and digital, and we have an exclusive clip from the Kumail Nanjiani/Dave Bautista buddy comedy to mark the occasion. The clip is part of several special features included on home media release, and it’s titled “Joke-O-Rama” j… [+2492 chars]"
-0.8242,0.188,0.759,0.053,"I haven't played even one second of Red Dead Redemption 2's singleplayer mode—I decided instead to skip right to Red Dead Online. This is partly because Andy compared RDO to the early days of DayZ, one of my favorite games ever, and partly because I wanted to… [+5506 chars]"
-0.5574,0.077,0.923,0.0,"The Michican punk band Dogleg named their new song “Fox” after Fox McCloud from the Star Fox video game franchise. Their 2016 EP Remember Alderaan? is a Star Wars reference. Their self-titled debut EP had a song called “Spaceman Stu,” which apparently is a Mc… [+879 chars]"
-0.128,0.037,0.963,0.0,"SOCORRO, N.M. (KRQE) – New Mexico Tech has unveiled the university’s new mascot logo. 
Friday’s unveiling comes after a year-long initiative to formalize NMT mascot. Last year, students, faculty, and alumni overwhelmingly selected the Miners to be the face o… [+163 chars]"
-0.4767,0.07,0.93,0.0,"On the Glenn Beck Radio Program Monday, Glenn and Stu discussed former Vice President Joe Biden's seemingly incompetent campaign staff who still haven't answered any of the much-asked questions regarding his or his son's involvement in Ukraine. Case in point,… [+1679 chars]"
0.9274,0.045,0.665,0.29,"The Royal Meteorological Society (RMS) has announced the winner of its Weather Photographer of the Year award, with lightning strikes and billowing storms among the top entries. Gareth Mon Jones won the overall prize for his image of a cloud inversion filling… [+3825 chars]"
0.0,0.0,1.0,0.0,"LOS ANGELES, CALIFORNIA - JULY 10: Dave Bautista (L) and Kumail Nanjiani attend the premiere of 20th Century Fox's ""Stuber"" at Regal Cinemas L.A. Live on July 10, 2019 in Los Angeles, California. (Photo by Rodin Eckenroth/Getty Images)
Getty Images
Stuber m… [+9209 chars]"
0.7783,0.0,0.863,0.137,"June 6, 1992, was a joyous moment in Stacy McCall’s life. That day, the 18-year-old graduated from Kickapoo High School in Springfield, Missouri, before going to parties that evening.
Before she left home for the night, she told her mom she was running late … [+2556 chars]"
