compound,negative,neutral,positive,text
0.5799,0.0,0.891,0.109,"Most renewable energy researchers are focusing on a type of battery called a flow battery for storing energy, in which electricity is stored in a tank of liquid electrolyte. However, making this technology cost-effective on the scale required for the power gr… [+1038 chars]"
0.0,0.0,1.0,0.0,"The European Union aims to reduce carbon emissions by at least 80 percent by 2050. Former California Governor Jerry Brown signed an executive order last year calling for the state, the fifth-largest economy in the world, to go carbon neutral by 2045. Meeting … [+4151 chars]"
0.6249,0.0,0.887,0.113,"Presidential candidates are in the business of making big promises, and few of the Democratic contenders for the 2020 nomination have promised more than Andrew Yang. An entrepreneur turned politico, Yang has styled himself as the techies candidate. His platfo… [+3528 chars]"
0.0772,0.069,0.835,0.096,"Trump failed. Its that simple, said Tom Sanzillo, director of finance at the Institute for Energy Economics and Financial Analysis, a nonprofit research firm that supports the shift to renewable power. They had the keys to the kingdom, the coal industry did, … [+1030 chars]"
0.5423,0.0,0.901,0.099,"On Thursday, amid reports of his involvement in Trumps conversation with Ukraines president, Energy Secretary Rick Perry announced he would step down by the end of this year; this news comes just one week after acting Homeland Security Secretary, Kevin McAlee… [+13201 chars]"
0.2732,0.0,0.956,0.044,"Tesla CEO Elon Musk forecast that the company’s energy business will eventually be the same size as or even bigger than its automotive sector, the latest sign that the company plans to put more time and resources to scaling up its solar and storage products.… [+1863 chars]"
0.0,0.0,1.0,0.0,"For Mr. Cogitore and Ms. Dembélé, that something has been clearing out the piece, rendering the stage spare and lucid, and permeating it with street and club dance not just krump but also flex, vogue, break, electro and more to empower the works others to rep… [+1381 chars]"
0.1779,0.045,0.896,0.06,"Image copyrightReutersImage caption
 New coal power plants are planned in Asia
The chief of the United Nations has warned Asia to quit its ""addiction"" to coal in a bid to tackle climate change. 
UN Secretary General António Guterres said countries in the r… [+2047 chars]"
0.2263,0.064,0.827,0.109,"The House Energy and Commerce Committee and the Massachusetts attorney generals office are investigating exactly who spammed millions of bot posts promoting e-cigarettes while downplaying or misleading viewers on its effects on human health.
House investigat… [+3859 chars]"
0.2732,0.0,0.948,0.052,"The program goes far beyond appliances, light bulbs and electronics, also certifying everything from roofing panels and insulation to entire apartment buildings. All told, more than 60,000 products bear the Energy Star label, including a dizzying 872 refriger… [+1118 chars]"
0.3535,0.042,0.887,0.071,"If you have a house, you probably have some sort of hot water heater. But theres no universal temperature for hot waterthis is something you have to set yourself. So whats the ideal hot water heater temperature? Heres what you need to know.
For most homes, i… [+3291 chars]"
0.6808,0.0,0.83,0.17,"But we want to work toward a world where everyone has access to renewable energy, including our suppliers and their communities. 
As a part of this, weve committed to invest approximately $150 million into renewable energy projects in key manufacturing regio… [+1090 chars]"
0.0516,0.054,0.888,0.058,We started the competition with ten hardware startups vying to take home the Disrupt Hardware Battlefield cup at TechCrunch Shenzhen 2019. They all pitched their hearts out to our team of judges who deliberated at length and chose their 4 favorites who came b… [+534 chars]
0.4588,0.067,0.778,0.156,"ISTANBUL (Reuters) - The United States has sanctioned Turkey’s energy ministry in response to the Turkish cross-border offensive in northeast Syria, raising questions about the impact on the country’s wider energy sector. 
Two Turkish state companies are aff… [+3096 chars]"
0.3818,0.069,0.811,0.12,"Its been an eventful year for carbon-free energy in the UK. First, Great Britain went a week without coal for the first time since the Industrial Revolution. Then the country fired (wound?) up the worlds largest offshore wind farm. 
And on Monday, a new anal… [+3550 chars]"
0.8957,0.07,0.639,0.291,"I love a good scientific mysterystuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from … [+3607 chars]"
0.3818,0.0,0.942,0.058,"EV Connect, the Los Angeles-based company that sells software to manage electric vehicle charging, has raised $12 million in a Series B round led by investors Mitsui &amp; Co. and Ecosystem Integrity Fund.
The company has raised $25 million to date.
EV Conn… [+1765 chars]"
0.5083,0.05,0.815,0.135,"Probably the most efficient way to convert solar energy into electricity is the old fashioned way, heating water into steam and turning a turbine. This remains a messy affair though and you don’t really want a steam boiler on your roof, so solar cells are pop… [+1052 chars]"
-0.802,0.2,0.771,0.029,"Walmart has dropped a lawsuit that accused Tesla of breach of contract and gross negligence after rooftop solar panel systems on seven of the retailers stores allegedly caught fire.
A settlement has been reached and stipulation of dismissal has been filed wi… [+1528 chars]"
