compound,negative,neutral,positive,text
0.5106,0.035,0.855,0.111,"ABERDEEN, SCOTLAND — The Scottish First Minister Nicola Sturgeon closed out her Scottish National Party conference in Aberdeen with a demand for a second referendum next year, as well as a general election.
The speech came as recent polling suggests that Bre… [+5126 chars]"
-0.2263,0.071,0.878,0.051,"Media captionBrexit: What happened on Monday?
Boris Johnson will try for a fourth time to secure an early general election, after MPs rejected his plan.
The prime minister will publish a bill proposing a poll on 12 December that would only need a simple maj… [+5057 chars]"
-0.3818,0.11,0.833,0.056,"LONDON (Reuters) - Britain is expected to hold an election next month that will determine the outcome of its three-year Brexit crisis, with each of the major parties taking a different stance toward how, when and whether the country should leave the European … [+3150 chars]"
0.7506,0.0,0.847,0.153,"Boris Johnson is close to securing agreement from the UK Parliament for a general election, as the House of Commons prepares to pass a piece of legislation which would allow the British people to elect a new government in December.
Members of Parliament on M… [+2495 chars]"
0.4215,0.0,0.939,0.061,"LONDON (Reuters) - The European Union and the British government have finally clinched a new deal setting the terms of Britain’s exit from the bloc. 
However, the deal needs to be approved by the British parliament in order to take effect. Prime Minister Bor… [+2000 chars]"
0.1027,0.05,0.891,0.059,"(LONDON) — Two British opposition parties on Sunday proposed an even earlier election date than Prime Minister Boris Johnson has offered, trying to force his government to delay a final decision on its European Union divorce deal.
The chess move by the Liber… [+4765 chars]"
0.7096,0.051,0.749,0.199,LONDON (Reuters) - British financial markets reacted calmly on Wednesday to the prospect of a snap election before Christmas after a fractious UK parliament finally agreed to a nationwide poll on Dec 12 that may help break the political deadlock over Brexit. … [+8662 chars]
-0.2023,0.108,0.798,0.093,"LONDON (Reuters) - British Prime Minister Boris Johnson will on Tuesday make a new attempt to get lawmakers to approve an early national election to try to break the deadlock over Brexit. 
On Monday he failed in his third attempt to win backing for an early … [+3022 chars]"
0.5423,0.046,0.818,0.136,"BRUSSELS (Reuters) - The European Union agreed on Monday to delay Brexit until Jan.31, said the bloc’s chairman, Donald Tusk. 
“The EU27 has agreed that it will accept the UK’s request for a Brexit flextension until 31 January 2020,” Tusk said of the idea of… [+2697 chars]"
-0.3818,0.126,0.78,0.094,"Image copyrightGetty Images
The UK parliament has just rejected Boris Johnson's bid to call a snap general election - for a third time - despite the prime minister arguing it would help ""get Brexit done"". But there remains a chance that the UK could have a p… [+4510 chars]"
0.0,0.0,1.0,0.0,"Image copyrightGetty ImagesImage caption
 At stake in this election is not just Britain's future relationship with the EU, but its standing in the world
And they're off. At 00:01 on Wednesday, the UK Parliament was dissolved. Hours later, the Conservative l… [+4867 chars]"
0.4939,0.035,0.88,0.086,"Demand for a Scottish independence referendum will become ""irresistible"" if the SNP wins the majority of Scottish seats at the General Election, Nicola Sturgeon has said.
Scotland's first minister, speaking on BBC Radio 4's Today programme, outlined her inte… [+2972 chars]"
0.128,0.09,0.788,0.123,"Glasgow, United Kingdom - General election fever gripped Scotland this week after the House of Commons voted on Tuesday to trigger a United Kingdom-wide poll. 
Mired in a political crisis which has seen Parliament repeatedly prove itself either unwilling or … [+3691 chars]"
0.4215,0.0,0.939,0.061,"LONDON (Reuters) - The European Union and the British government have clinched a new deal setting the terms of Britain’s exit from the bloc. 
However, it needs to be approved by the British parliament in order to take effect and Prime Minister Boris Johnson’… [+5550 chars]"
0.4019,0.0,0.941,0.059,"""An independence referendum must happen next year.""
This was the key line in Scottish National Party (SNP) leader Nicola Sturgeon's address to her party's conference on Tuesday, and the choice of words is revealing. 
Notice the use of ""must"", rather than ""w… [+7179 chars]"
0.4215,0.0,0.933,0.067,"Glasgow, United Kingdom -Scotland's first minister, Nicola Sturgeon, addressed a rally of thousands of activists in Glasgow's George Square on Saturday, calling for a new referendum on independence to be held in 2020.
This was her first appearance in person … [+4024 chars]"
0.3818,0.035,0.869,0.096,"LONDON (Reuters) - Scottish National Party (SNP) leader Nicola Sturgeon said on Friday she would make a demand before Christmas for the powers to hold another independence referendum. 
As the law stands, to hold another referendum legally, Scotland would nee… [+508 chars]"
0.128,0.051,0.886,0.063,"LONDON (Reuters) - Scottish nationalists said on Friday they would support ‘progressive politics’ if the election threw up a hung parliament and refused to rule out propping up Labour to get another independence referendum. 
When asked if the Scottish Nation… [+673 chars]"
0.0,0.0,1.0,0.0,"LONDON (Reuters) - Prime Minister Boris Johnson faces a Brexit showdown with parliament on Saturday after clinching a last-minute divorce deal with the European Union that his Northern Irish allies oppose. 
In an extraordinary Saturday sitting, the first sin… [+5773 chars]"
0.4019,0.0,0.938,0.062,"LONDON (Reuters) - The Scottish National Party (SNP) will not vote for Prime Minister Boris Johnson’s Brexit deal in parliament because it poses a much harder exit from the European Union, leader Nicola Sturgeon said on Thursday. 
“The Brexit envisaged by Bo… [+337 chars]"
