compound,negative,neutral,positive,text
0.8155,0.0,0.825,0.175,"Make way for the future. This weekend, WIRED25 returns to San Francisco for two days packed with forward-thinking talks and activities by some of the worlds most innovative and influential people.
Well have climate activists and CEOs, actors and authors, sci… [+3024 chars]"
0.0,0.0,1.0,0.0,"Rocket Lab is launching its ninth Electron rocket today, with the launch set for 00:41 UTC (8:41 ET/5:41 PT). The mission, called “As The Crow Flies,” will be taking off from the company’s LC-1 launchpad in New Zealand, carrying a payload from Astro Digital t… [+627 chars]"
0.4497,0.0,0.941,0.059,"NASA and its commercial astronaut program partners are laser-focused on getting crew into space, but to get to space you first have to get to the rocket, and that’s where the Airstream Astrovan II comes in. This vehicle, which is the sequel to the original As… [+1791 chars]"
0.7351,0.026,0.833,0.14,"NASA astronauts Jessica Meir (L) and Christina Koch (R), preparing to leave the International Space Station for the first all-female spacewalk | Image: NASA “Men are definitely not inherently better.” On Friday, NASA celebrated a monumental first in its 61 ye… [+10026 chars]"
0.7003,0.0,0.884,0.116,"Some people's creativity is really just out of this world.
Sisters Charlie, 5, and Ellie, 2, dressed up as the lunar module and an astronaut for Halloween this year. And while that lunar module looks pretty hefty for a 5-year-old, the costume is apparently m… [+891 chars]"
0.2235,0.0,0.961,0.039,"CARIBOU, Maine The first Maine woman to travel to space used a rare Earth-to-space call to tell students from her alma mater to never stop dreaming big.
The astronaut is Jessica Meir, a native of Caribou, who became the 15th woman to walk in space when she r… [+490 chars]"
0.6369,0.0,0.887,0.113,"The base layer looks like something you'd wear on a cold jog, and that's partly because Under Armour retrofit the UA RUSH, mineral-infused fabric that it sells to athletes. The company says this will help with temperature regulation and sweat management.
The… [+997 chars]"
-0.5106,0.078,0.922,0.0,"NASA astronauts Christina Koch and Jessica Meir made history on Friday, embarking upon the first ever all-female spacewalk. Finally.
Residents of the International Space Station, the pair ventured outside the ISS to replace a power controller that failed dur… [+3226 chars]"
-0.6808,0.182,0.745,0.073,"NASA has rescheduled its first all-women spacewalk for this Friday.
The milestone was initially scheduled for this past spring, but spacesuit troubles forced NASA to scrap the event. United States astronauts Christina Koch and Jessica Meir will leave the Int… [+2592 chars]"
0.4019,0.0,0.938,0.062,"Space is becoming a major area of startup and commercial investment, and so I’ve decided to start providing a weekly round-up of the biggest news in aerospace, space science and space-related technologies. Let me know if you appreciate this or have suggestion… [+4280 chars]"
0.4767,0.069,0.784,0.147,"When Disneys chief executive, Robert A. Iger, announced the entertainment giants bold venture into the streaming wars, he made a lofty promise: Were going to launch big, and were going to launch hot.
Two years later, the official debut of Disney Plus, the ne… [+487 chars]"
0.8932,0.082,0.659,0.259,"These new stats let us dig deeper. Many of the most popular existing emoji would not have passed Unicode's search criteria if they'd been in place at the time: smiling face with smiling eyes, face with tears of joy, loudly crying face, sparkle heart, eggplant… [+3688 chars]"
0.0,0.0,1.0,0.0,"(CNN)  In her high school yearbook, NASA astronaut Jessica Meir wrote ""go for a spacewalk"" on the list of her plans for the future, Meir said Monday during a news conference from the International Space Station.
Now, she can check that box. Meir, alongside f… [+6087 chars]"
0.6597,0.0,0.844,0.156,"Netflix is ready to take its lower-cost, mobile-only plan beyond India as it looks to expand the reach of its service in other international markets. The American on-demand video streaming giant launched a new price tier for users in Malaysia that would allow… [+1589 chars]"
0.4019,0.0,0.94,0.06,"Bosch is set to launch a new AI-based sensor system to the International Space Station that could change the way astronauts and ground crew monitor the ISS’s continued healthy operation. The so-called “SoundSee” module will be roughly the size of a lunch box,… [+1511 chars]"
0.0,0.0,1.0,0.0,"NASA astronauts Christina H Koch and Jessica Meir will make history this morning, as they take part in the first ever spacewalk in the agency’s history featuring only women. The two astronauts will be venturing outside of the International Space Station in or… [+1468 chars]"
0.5423,0.0,0.901,0.099,"In 1977, NASA launched two spacecraft, Voyager 1 and 2, on a grand tour of the solar system and into the mysteries of interstellar space. Famously attached to each of these probes is the Voyager Golden Record containing a message for any extraterrestrial inte… [+1574 chars]"
0.2023,0.084,0.837,0.079,"Source: Jennifer Locke / Android Central
There are a lot of amazing PlayStation 4 controllers on the market, and the DualShock 4 is not one of them — even if some of my colleagues would disagree. Still, I know premium controllers a hard sell to people when t… [+3047 chars]"
0.2263,0.041,0.882,0.077,"A day after NASA debuted the space suits set to be worn by the first woman on the moon, Virgin Galactic showed of its own gear at an event in New York. Created in collaboration with fitness wear company, Under Armour, the gear is designed for wear by Virgins … [+1903 chars]"
0.8625,0.0,0.833,0.167,"If you are a CBC Radio listener you will surely recognize the name and the voice of Quirks &amp; Quarks host Bob McDonald. 
The host of the show since 1992, McDonald is also the go to science guy for CBC News Network and The National.
He’s won awards and ha… [+6425 chars]"
