compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Spotify Kids is coming. 
Spotify
Spotify is looking to bring in a new generation of subscribers with its new app, Spotify Kids. Currently in beta in Ireland, the new app will have content intended for children with the parents in full control. 
Spotify Kid… [+822 chars]"
0.1027,0.06,0.849,0.092,"Social workers have to make important decisions every day when investigating child abuse. Trained social workers are the best at shouldering that responsibility, but they aren’t always available to train new workers. That’s where virtual reality could make a … [+5291 chars]"
0.7269,0.0,0.864,0.136,"Back when I was a youngin in the late '80s and early '90s, the top gifts for the holidays were action figures, Nerf guns, and Power Wheels. Fast-forward to 2019 and Ive got two kids of my own a 4-year-old and 5-month-old and holiday shopping for a child is co… [+6589 chars]"
-0.8779,0.194,0.782,0.024,"Media captionAmira, Heba and Hamza are stranded, in danger and they want to come home
The case of three children believed to be from the UK, trapped in Syria after their parents joined the ""Islamic State group"" and subsequently died, has raised questions abo… [+3982 chars]"
0.5106,0.056,0.826,0.118,"Winning the European Open title last month has given Andy Murray new hope for his tennis future post surgery
Andy Murray believes he is closer to beating Roger Federer, Rafael Nadal and Novak Djokovic than he was ""seven or eight"" weeks ago, leaving him feeli… [+5217 chars]"
0.6597,0.081,0.695,0.224,"Image copyrightParty DelightsImage caption
 Party retailers have reported a huge sales increase in gender reveal merchandise
On Saturday, a woman died at a gender reveal party - a celebration announcing whether expectant parents will be having a boy or girl… [+6475 chars]"
0.743,0.0,0.849,0.151,"An Australian anti-vaxxer mom said she was giving trick-or-treaters chicken-pox tainted lollipops for Halloween, claiming the candies would help give kids the infection that her son has so they can get the chicken pox over with and be immune for life, accordi… [+3836 chars]"
-0.4767,0.063,0.937,0.0,"It may appear that the trolling of women is an unpleasant by-product of the internet era. 
In fact, the tactics used are remarkably similar to those employed in ancient times, especially if you compare the trolling of Greta Thunberg and the way the ancient G… [+6924 chars]"
0.8094,0.071,0.733,0.196,"Media playback is not supported on this device
Andy Murray wins first ATP title since surgery
Andy Murray said he would reassess his goals after a ""surprise"" win at the European Open, and joked that he needed to get back on tour to stop his family growing t… [+1503 chars]"
-0.0258,0.065,0.872,0.063,"Editor’s Note: Every Monday, Lori Gottlieb answers questions from readers about their problems, big and small. Have a question? Email her at dear.therapist@theatlantic.com. Dear Therapist, My fiancé and I met four years ago and have an incredible relationship… [+6500 chars]"
0.8885,0.0,0.792,0.208,"Brianne Boucher will soon celebrate her 18th birthday. She loves hiking, photography and hanging out with friends. She wants to attend post-secondary school and to study child psychology and interior design.
But Brianne’s life, and that of her family, is on … [+5798 chars]"
-0.1531,0.111,0.747,0.143,"Image copyrightAFPImage caption
 Woody Allen had filed a $68m (£52m) lawsuit over the termination of his contract with Amazon
Woody Allen has reached a legal settlement with Amazon Studios after it abandoned a four-film deal.
Allen initially filed a $68m (… [+2062 chars]"
0.8689,0.0,0.799,0.201,"When your child is newly diagnosed with Type 1 diabetes (T1D), everyone is quick to point out, “It’s a great time to be a diabetic.” To some degree, that’s true; thanks to genetically engineered insulin, more frequent or even continuous glucose monitoring (CG… [+1589 chars]"
-0.4767,0.116,0.839,0.045,"A child plays near communist-era apartment blocks in Hoyerswerda, Germany. After the collapse of the communist East German government that had redeveloped the area into an industrial hub, factories shut down and coal production declined. The population has su… [+7676 chars]"
0.0,0.0,1.0,0.0,"On Sunday's episode of ""Keeping Up With the Kardashians"" on E!, Kim Kardashian West revealed that her fourth child with Kanye West was almost named Ye instead of Psalm.
After Kim brought her newborn home from the hospital, Kris Jenner asked how the couple de… [+1559 chars]"
-0.2023,0.108,0.798,0.094,"No other planet has inspired more speculation as to its past and future suitability for life than Mars. Fourth planet from the Sun, Mars is one of the five “bright”, naked-eye planets visible in the night sky. Named after the Roman god of war, and often refer… [+5493 chars]"
0.128,0.0,0.962,0.038,"Unwed pregnant women in China face a legal gray zone where they are unable to access public services for themselves and their children.
I Gede Bhaskara Ryandika/Getty Images/EyeEm
When Liu, a 31-year-old Chinese insurance firm manager, learned she was pregn… [+7771 chars]"
0.8074,0.0,0.866,0.134,"Youve finally found the one, and now you have to figure out what to do about your finances. If happy couples on Instagram are any indication, you just mash every part of your life together and live happily ever after. And that mashing includes your money. 
I… [+4769 chars]"
-0.25,0.083,0.856,0.061,"Just in time for Halloween, doctors in France say they witnessed a real-life horror tale involving an antibiotic-resistant superbug. In less than a month, their patients infection evolved resistance to the last-resort drug they had used to treat it. Thankfull… [+2892 chars]"
-0.7947,0.207,0.708,0.085,"Call of Duty: Modern Warfare has some of the most difficult scenes I have ever seen in a video game. When I saw a couple of the scenes during a preview in May, I felt like they went too far. The violence made me more than uncomfortable.
Now that I’ve played … [+18651 chars]"
