compound,negative,neutral,positive,text
0.8402,0.026,0.803,0.172,"Deadlifts are a great way to work almost half the muscles in your bodyyour hamstrings and back especially. But if you cant hold onto the bar, its hard to benefit. Here are a few tips especially for deadlift newbies about how to make sure your hands arent your… [+4025 chars]"
-0.0516,0.055,0.894,0.051,"For people living with obesity and excess weight, fat around the belly may not be the only thing to worry about. A new study out Thursday seems to show that fat can build up in a persons lung airways, too. The discovery may help explain why some health proble… [+2848 chars]"
-0.128,0.091,0.828,0.081,"The advertising industry is a cesspool of manipulation and misinformation. And now you can use it to convince your partner to let you get a dog. Or convince them to settle your divorce out of court, because they caught you using hyper-targeted internet ads to… [+2876 chars]"
0.0,0.0,1.0,0.0,"So far, 130,000 references have been linked to 50,000 digitized books that are hosted by the Archive. To see an example of the new digital referencing in action, you can head to the Wikipedia page for Martin Luther King, Jr. If you look at the reference for A… [+1229 chars]"
0.3724,0.0,0.941,0.059,"Pixel 4 users have the least-intrusive version of Googles digital assistant, but a new redesign to the Google Assistant UI has started appearing on older Pixel devices. Dont be alarmed by the update, which gives your assistant a more streamlined look by allow… [+1537 chars]"
0.2962,0.178,0.605,0.217,"Watch two NASA astronauts conduct the first all-female spacewalk in history
– Goodness Bot, here to drown out mean and negative tweets with positivity, and help fight the epidemic of cyberbullying! (via)
– OMG! This Ride On Scooter! WANT!
– TED Masterclass… [+1203 chars]"
0.7184,0.046,0.801,0.153,"– This is a beautiful pot.
– “How do we understand that our 100,000-fold excess of numbers on this planet, plus what we do to feed ourselves, makes us a tumor on the body of the planet? I don’t want the future that involves some end to us, which is a kind of… [+1665 chars]"
0.34,0.0,0.947,0.053,"Robin Williams' daughter Zelda finally dressed up as a character from ""The Legend of Zelda"" for Halloween.
Zelda shared pictures and videos of her as the game's lead protagonist Link — who people often think is the game's titular Princess Zelda — to her Twit… [+2318 chars]"
0.4215,0.046,0.853,0.101,"Google recently announced that its letting loose a brand-new domain name.newwhich comes with one clever hitch. Those purchasing one have to use it to create a shortcut to an activity, action, or app. Or, to put it in Google terms, All .new domain names must b… [+1289 chars]"
-0.9337,0.266,0.734,0.0,"NEW YORK —U.S. health officials estimate that millions of cases of heart disease and other illnesses are linked to abuse and other physical and psychological harm suffered early in life.
In a report released Tuesday, the Centers for Disease Control and Preve… [+2835 chars]"
0.6369,0.0,0.892,0.108,"The world of phone-based AR has involved a lot of promises, but the future that’s developed has so far been more iterative and less platform shift-y. For startups exclusively focused on mobile AR, there’s been some soul-searching to find ways to bring more li… [+1756 chars]"
-0.6808,0.167,0.784,0.049,Nonprofit organization Physicians Committee for Responsible Medicine (PCRM) has called on the federal government to consider adding label to cheese products that would warn women about the risk of breast cancer. Doctors said hormones found in cow milk-based c… [+2571 chars]
0.0,0.0,1.0,0.0,"International art news, Africa-centric emojis, architecture, cassette tape clothing and more Shanghai’s Centre Pompidou x West Bund Museum Project Opens This Week Inside Shanghai’s David Chipperfield–designed West Bund Museum, acclaimed Paris contemporary art… [+3971 chars]"
0.5106,0.025,0.874,0.101,"Overdue Attention for Overlooked Women Old Masters
Several significant exhibitions of Old Masters have been announced, and while large shows of Renaissance and Baroque paintings aren’t anything new, this recent spate is solely focused on women painters of th… [+5902 chars]"
0.4939,0.0,0.935,0.065,"From biomimicry breakthroughs to advancements in quantum computing, our roundup of the internet this week The US Air Force Leans on Biomimicry for New Body Armor The US Air Force plans to research whether or not body armor can replicate the strength of an ara… [+7074 chars]"
0.2023,0.0,0.96,0.04,"This Brainless Blob Can Solve Puzzles, Sleep and More
Officially on display at the Paris Zoo from 19 October, this unicellular organism will be the first-ever “brainless blob” to be showcased in a zoo. Despite not having a brain, the mass can complete a bevy… [+5615 chars]"
-0.5939,0.116,0.855,0.029,"AT&amp;T dropped a huge deal this weekend: an Apple TV 4K for just $90. Thats nearly 50 percent off its regular $179 price tag and also the lowest price weve yet seen for the Apple TV 4K. Now, its no longer available online, but that doesnt mean all hope is l… [+1431 chars]"
0.0,0.0,1.0,0.0,"Oculus Link addresses one of the most requested features for the Quest standalone VR headset from Facebook.
Facebook announced the upgrade at its Oculus Connect 6 VR developers conference in September and, when Oculus Link arrives sometime in November, the O… [+5419 chars]"
0.3182,0.0,0.947,0.053,"Cheddar, brie, mozzarella, or Gouda? Some doctors say your choice of cheese should be none at all, especially if you're a woman. 
The doctors, members of the nonprofit Physicians Committee for Responsible Medicine, have petitioned the U.S. Food and Drug Admi… [+4073 chars]"
