compound,negative,neutral,positive,text
0.4927,0.0,0.939,0.061,"Even after the Astros tied the series, 2-2, outfielder Adam Eaton said the Nationals were unfazed.
I think its really easy to erase whats happened the last two games, he said after Game 4. Its what weve done all year get punched in the face and then come bac… [+979 chars]"
0.2732,0.078,0.798,0.124,"The state's 2016 ballot referendum, which was approved by a 16 percent margin, called for downgrading many felonies to misdemeanors, including simple drug possession and minor property crimes. The Legislature then approved a measure this year making that law … [+1265 chars]"
-0.1779,0.067,0.879,0.053,"Only a few years ago, Microsoft hoped that Cortana could become a viable competitor to the Google Assistant, Alexa and Siri . Over time, as Cortana failed to make a dent in the marketplace (do you ever remember that Cortana is built into your Windows 10 machi… [+1172 chars]"
-0.1027,0.036,0.936,0.028,"TL;DR: Get four months of Amazon Music Unlimited for £0.99, saving you over £30 on list price.
We don't know about you, but the thought of getting unlimited access to all the songs, on demand, without any adverts, sounds expensive. This is exactly what Amazo… [+1014 chars]"
0.0,0.0,1.0,0.0,"Halloween is here, and Americans are gearing up to buy loads of candy and costumes.
But, as with most discretionary purchases, Halloween spending follows the twists and turns of the broader economy.
The National Retail Federation runs an annual survey of US… [+1172 chars]"
0.0,0.0,1.0,0.0,"HALIFAX -- Atlantic Canada's once monochromatic electoral map, awash in Liberal red since 2015, received a slight makeover Monday as the Tories, NDP and Greens punched holes in the Liberals' East Coast fortress.
Four years ago, voters across the region hande… [+2861 chars]"
0.4927,0.028,0.88,0.092,"The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 9am Pacific, you can subscribe here.
1. Google is acquiring Fitbit for $2.1 billion
Google will pay $7.… [+2163 chars]"
0.5859,0.0,0.9,0.1,"Last year, after close to a year of intense public scrutiny over the company's treatment of user data, Facebook made the fascinating decision to release an always-online camera for people to put in their homes. The 2018 edition of Facebook Portal came and wen… [+6805 chars]"
0.25,0.0,0.935,0.065,"Ever since Amazon bought Twitch for a cool $970 million back in 2014, it seemed inevitable that eventually its catalog of movies and shows would make their way onto the streaming platform for live viewing get-togethers. It may have taken a hot minute, but Twi… [+2401 chars]"
-0.2023,0.149,0.736,0.115,"Clothes are easy to ignore because they are made far away and have throughout history been made by enslaved, unpaid and low-paid laborers, often by women. But clothing affects every other environmental problem we care about. Lets say you wear a cotton T-shirt… [+2206 chars]"
0.5106,0.0,0.934,0.066,"Its been nearly a month since the official September 19 launch of Apple Arcade. With my free 30-day trial of the subscription gaming service on the verge of expiring, I ask myself if Im getting enough out of it to give Apple five of my hard-earned dollars to … [+1858 chars]"
0.6486,0.0,0.867,0.133,"Amazon is turning up the heat once again in the world of groceries, and specifically grocery delivery, to make its service more enticing in face of competition from Walmart, as well as a host of delivery companies like Postmates. Today, the company announced … [+3295 chars]"
0.6808,0.0,0.859,0.141,"Many products featured on this site were editorially chosen. Popular Science may receive financial compensation for products purchased through this site.
Copyright © 2019 Popular Science. A Bonnier Corporation Company. All rights reserved. Reproduction in wh… [+47 chars]"
0.8316,0.039,0.761,0.2,"Like most small kitchens, mine lacks sufficient counter space, so I prefer using magnetic strips for storing knives in lieu of large, counter-hogging knife blocks. The best magnetic strip Ive tested is the Benchcrafted Mag-Blok, which is made of impressively … [+3050 chars]"
0.286,0.138,0.737,0.125,"Dolphins win. Not a sentence anyone has been able to utter since Week 14 of last season. Not a sentence many expected to be able to say at all this season as the Fins vied to be plain awful.
Miami finally got its first win of the season, beating the equally … [+269 chars]"
0.8481,0.0,0.797,0.203,"Dude, you're getting a ton of Dell deals this Black Friday.
The online computer retailer has just released its annual ad scan
 for the Nov. 29 shopping holiday, revealing huge savings on tech gifts like laptops, gaming gear, home theater equipment, smart ho… [+3403 chars]"
0.8126,0.0,0.811,0.189,"Sydney Kramer
<ul><li>Beyond Meat's post-initial public offering share lockup period expires on October 29.</li><li>On that date, 48 million shares — or 80% of the company's outstanding units — will become eligible to be bought and sold. </li><li>It could le… [+2879 chars]"
-0.5023,0.107,0.856,0.037,"Tesla is too small to make a serious dent in the sales of large automakers like Toyota, but a smaller, luxury competitor could have reason to worry, according to a Bloomberg survey of 5,000 Tesla Model 3 sedan owners.
More respondents traded in BMW vehicles,… [+1553 chars]"
0.0,0.0,1.0,0.0,"The motorcycle industry is shifting to electric. Harley-Davidson signaled the trend this year, becoming the first big gas manufacturer to release a street-legal e-motorcycle in the U.S., the LiveWire.
But before Harleys EV pivot, California-based startup Zer… [+5465 chars]"
0.7755,0.0,0.834,0.166,"(Reuters) - List of Most Valuable Player winners from Major League Baseball’s World Series. 
2019 - Stephen Strasburg (Washington Nationals) 
2018 - Steve Pearce (Boston Red Sox) 
2017 - George Springer (Houston Astros) 
2016 - Ben Zobrist (Chicago Cubs) … [+2629 chars]"
