compound,negative,neutral,positive,text
0.296,0.078,0.84,0.082,"In 2017, the La Tuna fire nearly destroyed multimedia artist Kevin Cooleys Los Angeles home. Cooley has long used controlled flame to produce his artwork, but even a close call with personal immolation wasnt enough to extinguish his interest in the subject. F… [+2091 chars]"
0.9501,0.0,0.702,0.298,"I think people have to walk that fine line of living in the moment and also capturing the moment as well, Love said. Thats what I hoped to gain out of it. Just documenting the happy times.
His travels with his girlfriend, Kate Bock, started in Phuket, Thaila… [+1481 chars]"
0.7184,0.0,0.86,0.14,"President Trump said on Friday that he would name Chad Wolf as the next acting secretary of the Department of Homeland Security on Friday, the fifth person to lead the agency responsible for securing the country for this administration. 
Mr. Wolf was the chi… [+723 chars]"
0.5423,0.0,0.901,0.099,"On Thursday, amid reports of his involvement in Trumps conversation with Ukraines president, Energy Secretary Rick Perry announced he would step down by the end of this year; this news comes just one week after acting Homeland Security Secretary, Kevin McAlee… [+13201 chars]"
0.802,0.0,0.814,0.186,"Tilting Point announced yesterday that it has acquired Gondola, a company that aims to increase to improve game monetization by optimizing in-game offers and video ads.
Tilting Point CEO Kevin Segalla described his company’s model as “progressive publishing”… [+1679 chars]"
0.0516,0.05,0.894,0.055,"(CNN)President Donald Trump appeared Friday to name Chad Wolf, an official at the Department of Homeland Security, as the agency's acting secretary, three weeks after Kevin McAleenan submitted his resignation to the White House. 
Speaking to reporters on the… [+2256 chars]"
0.033,0.094,0.832,0.074,"Washington (CNN)House Republican leader Kevin McCarthy on Tuesday did not endorse President Donald Trump's comparison of the impeachment inquiry to a ""lynching,"" saying, ""That's not the language I would use"" and ""I don't agree with that language, it's pretty … [+3042 chars]"
0.5719,0.0,0.883,0.117,"Under Armour's Kevin Plank scored a big payday as investors celebrated his departure as CEO, a spot he has held since founding the company in 1996.
<table><tr><th>Ticker</th><th>Security</th><th>Last</th><th>Change</th><th>Change %</th></tr>
<tr><td>UA</td>… [+1833 chars]"
-0.25,0.043,0.957,0.0,"Filmmaker Kevin Smith will serve as showrunner on the new Masters of the Universe: Revelation animated series for Netflix.
Netflix
Fans anxious to see Netflix's new Masters of the Universe: Revelation series will have to wait until next year to see He-Man i… [+1143 chars]"
0.7351,0.0,0.841,0.159,"Cameo is designed for celebrities to answer questions about themselves ""in their own style."" Prominent people are invited to create video recordings of themselves answering popular questions from the internet, and their answers are then shown in Google's sear… [+721 chars]"
-0.836,0.162,0.838,0.0,"Bombastic Shark Tank star Kevin O’Leary and his wife, Linda, are being sued for wrongful death by the family of one of the victims in last summer’s crash in Muskoka.
On Aug. 24, Linda O’Leary was driving a boat on Lake Joseph when it crashed into another boa… [+2343 chars]"
0.8679,0.101,0.652,0.247,"""I think that's not true. I think it's unfortunate,"" Feige says when asked about the notion that superhero movies are a negative for cinema. ""I think myself and everyone who works on these movies loves cinema, loves movies, loves going to the movies, loves to… [+4086 chars]"
-0.4019,0.083,0.875,0.043,"SEATTLE/WASHINGTON (Reuters) - Boeing Co (BA.N) on Tuesday replaced the top executive of its commercial airplanes division, Kevin McAllister, marking the first high-level departure since the fallout started over two fatal crashes of its 737 MAX. 
The company… [+2934 chars]"
0.0,0.0,1.0,0.0,"There are so many meme costumes to choose from, but this one really goes above and beyond. 
This past week, Twitter user Cody Palm dressed as the now ubiquitous ""woman yelling at a cat"" meme. Originally, Palm had planned on being the pink power ranger, but t… [+1389 chars]"
0.9501,0.0,0.697,0.303,"With Kevin Feige in charge of all things Marvel, it will be exciting to see him work his MCU magic across the board in movies, TV, comics and more.
Marvel Studios
Last week brought news that Marvel Cinematic Universe visionary Kevin Feige has been promoted … [+2355 chars]"
0.6908,0.08,0.742,0.178,"Kevin Lee's head kick was so powerful it left his opponent stiff, unconscious, and on the floor at UFC 244. The knockout was so nasty, the UFC rewarded Lee with a $50,000 bonus, MMA Junkie reports.
It is a massive turnaround in fortunes for the 27-year-old A… [+2400 chars]"
-0.296,0.052,0.948,0.0,"From a geographical perspective, the San Francisco Bay Area and Los Angeles startup ecosystems are no longer separated by a few hundred miles.
Top-tier VCs from SF visit LA regularly, and entrepreneurs raise from investors upstate and downstate in one proces… [+3472 chars]"
0.5267,0.0,0.901,0.099,"Kevin Hart flawlessly recreated a famous photo of Dwayne ""The Rock"" Johnson for Halloween.
The comedian posted a side-by-side photo of his costume and his ""Jumanji"" costar on Wednesday night, writing, ""This s--- makes me laugh.""
He also added the hashtags ""… [+797 chars]"
-0.5719,0.146,0.802,0.052,"LOS ANGELES - Comedian Kevin Hart says his ""world was forever changed"" after he suffered a serious back injury when the vintage muscle car he was riding in crashed nearly two months ago in California.
In a video posted Tuesday night on Instagram, the 40-year… [+527 chars]"
