compound,negative,neutral,positive,text
-0.8225,0.166,0.792,0.042,"Breast cancer could be detected up to five years before there are any clinical signs of it, using a blood test that identifies the body's immune response to substances produced by tumour cells, according to new research presented at the 2019 NCRI Cancer Confe… [+4521 chars]"
-0.2263,0.09,0.818,0.092,"MONDAY, Nov. 4, 2019 (HealthDay News) -- There's early promise in the quest for a blood test that might spot breast cancer up to five years before clinical signs of the disease appear, researchers say.
The test identifies specific immune system ""autoantibodi… [+1911 chars]"
-0.4939,0.094,0.858,0.047,"A simple blood test could detect breast cancer up to five years before any clinical signs of the disease, according to research.
Researchers are developing the test which they say identifies the body's immune response to substances produced by tumour cells.… [+1213 chars]"
0.34,0.034,0.898,0.068,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
Photo by Porapak Apichodilok
Open talent models are evolving so rapidly, its sometimes hard to keep up. Where is open sourcing going and how will that impact the future o… [+9415 chars]"
0.5574,0.0,0.907,0.093,"As a result of a fifty percent decline in shares from its IPO opening price of $87.33 and almost fifty percent decline from its IPO offering price of $72.00, Lyfts (LYFT) enterprise value is down to $8 billion ($11 billion market cap - $3 billion net cash). P… [+10320 chars]"
0.0,0.0,1.0,0.0,"KT와 경희대학교가 스마트관광도시 구현에 나선다. 양 기관은 도시 인프라를 시공간 제약 없이 연결하고, 수집된 데이터를 분석해 관광 만족도를 높이는 플랫폼을 만들 예정이다.
KT는 경희대학교 스마트관광연구소와 10월18일 서울시 동대문구 경희대학교 호텔관광대학에서 업무 협약을 맺고 스마트관광 도시 구현을 위한 서비스 연구와 솔루션 개발에 나선다고 밝혔다. 이번 협약식에는 KT 빅데이터사업지원단장 윤혜정 전무, 빅데이터솔루션 P-TF 주지호 상무, 경희대학교 … [+620 chars]"
-0.8402,0.219,0.679,0.103,"Annual mammograms give doctors the best chance at detecting breast cancer in its early stages when it can be treated and may be cured, according to The National Cancer Institute. And now scientists are developing a new breast cancer screening in the form of a… [+3153 chars]"
-0.296,0.055,0.945,0.0,"<li>1.Cahill, D. G., Watson, S. K. &amp; Pohl, R. O. Lower limit to the thermal conductivity of disordered crystals. Phys. Rev. B46, 61316140 (1992).
</li><li>2.Dresselhaus, M. et al. New directions for low-dimensional thermoelectric materials. Adv. Mater. 1… [+9240 chars]"
-0.296,0.055,0.945,0.0,"<li>1.Cahill, D. G., Watson, S. K. &amp; Pohl, R. O. Lower limit to the thermal conductivity of disordered crystals. Phys. Rev. B46, 61316140 (1992).
</li><li>2.Dresselhaus, M. et al. New directions for low-dimensional thermoelectric materials. Adv. Mater. 1… [+9240 chars]"
-0.1511,0.042,0.958,0.0,"The interplay between topology and crystalline symmetries in materials can lead to a variety of topological crystalline insulator (TCI) states. Despite significant effort towards their experimental realization, so far only Pb
1
x
Sn
x
Te
has been confir… [+1205 chars]"
0.296,0.0,0.944,0.056,"LOS ANGELES--(BUSINESS WIRE)--HyreCar Inc. (NASDAQ: HYRE), the carsharing marketplace for ridesharing, announced that it had filed a Shelf Registration Statement on Form S-3 with the Securities and Exchange Commission (SEC) on November 5, 2019. At the present… [+5705 chars]"
0.0,0.0,1.0,0.0,"LOS ANGELES--(BUSINESS WIRE)--HyreCar Inc. (NASDAQ: HYRE) (the Company), the carsharing marketplace for ridesharing, today announced that Brian Allan, Senior Vice President of Strategic Partnerships, will be speaking at the 2019 J.D. Power Auto Revolution Con… [+2790 chars]"
0.3182,0.0,0.909,0.091,"Gasoline vs Electric Vehicle Future Fuel Costs
This was originally a comment on David Middleton’s post, https://wattsupwiththat.com/2019/10/31/the-oil-age-is-doing-just-fine-bloomberg-new-energy-finance-notwithstanding/
The original comment was from Detengi… [+10338 chars]"
0.8934,0.059,0.657,0.284,"4th Smart Home Asia Summit &amp; Mini Expo 2020 (Feb. 13-14th Shanghai China)
With the focus on smart home emerging technology and development pain point, Smart Home Asia has become one of flagship events in Asia. Based on three consecutive successful Smart … [+3305 chars]"
-0.9001,0.247,0.709,0.045,"Scientists at Yale University have developed an anticancer platform that harnesses CRISPR technology to activate multiple cancer-related genes, which signals the bodys immune system to recognize, attack, and kill the cancer cells. Initial tests showed that th… [+5871 chars]"
-0.4939,0.089,0.867,0.044,"Glasgow, UK: Breast cancer could be detected up to five years before there are any clinical signs of it, using a blood test that identifies the body's immune response to substances produced by tumour cells, according to new research presented at the 2019 NCRI… [+4746 chars]"
0.0,0.0,1.0,0.0,"SACRAMENTO, Calif.--(BUSINESS WIRE)--Today Electro Scan Inc. announced that it has been selected to inspect the Town of La Grange, North Carolina's entire wastewater collection system. Representing over 30-miles (160,000 feet) of sewer main, Electro Scan will… [+5482 chars]"
0.8553,0.0,0.778,0.222,"NEW DELHI: In signs of the growing clout of India in the world energy market, Russia's most powerful oligarch Igor Sechin accompanied Oil Minister Dharmendra Pradhan during his visit to Far East Russia, which New Delhi is eyeing for boosting its energy presen… [+3751 chars]"
0.5267,0.0,0.888,0.112,"<ul><li>Hyundai BS&amp;C, GEMS Education and ThreeD Capital join other corporates, family offices and VCs for the TODAQ first investment round</li><li>Hyundai BS&amp;C's Dae Sun Chung among new senior advisors to join TODAQ Advisory Board </li></ul>SEOUL, Oct… [+2435 chars]"
-0.4939,0.092,0.861,0.046,"A new blood test could detect breast cancer up to five years before any clinical signs of the disease, according to new research.
Researchers are developing the simple test which they say identifies the body's immune response to substances produced by tumour… [+5170 chars]"
