compound,negative,neutral,positive,text
0.296,0.0,0.945,0.055,"Citation: Savocco J, Nootens S, Afokpa W, Bausart M, Chen X, Villers J, et al. (2019) Yeast -arrestin Art2 is the key regulator of ubiquitylation-dependent endocytosis of plasma membrane vitamin B1 transporters. PLoS Biol 17(10):
 e3000512.
https://doi.org/… [+91210 chars]"
0.0,0.0,1.0,0.0,"Organocopper(I) compounds are recognized as carbon nucleophiles, while organocopper(III) complexes are involved in copper catalysis as intermediates to undergo a cross-coupling reaction with various anionic nucleophiles. In contrast to the chemistry of organo… [+1209 chars]"
0.0,0.0,1.0,0.0,"Human clinical samples from HVTN 908
We acquired cryopreserved PBMC from participants enrolled in HVTN 908 (ClinicalTrials.gov NCT00908323), a parallel sub study of the HIV vaccine trial, HVTN 205 (ClinicalTrials.gov NCT00820846), in which volunteers were va… [+14116 chars]"
0.25,0.0,0.944,0.056,"The activation and conversion of CH4 have been investigated substantially in solidgas heterogeneous catalysis. However, it is rarely explored in electrocatalysis, especially for structurereactivity studies at the atomic level. The advantage of electrochemical… [+1272 chars]"
0.0,0.0,1.0,0.0,"Synthesis and characterization details; catalytic data; XRD patterns, dependences of product yield and ethanol selectivity on temperature, time, and yield, mass spectra, kinetic isotopic effects on ethanol yield, Raman spectra, TPR profiles, XPS spectra, XAS,… [+232 chars]"
0.0,0.0,1.0,0.0,"We investigated the oxidation of CH4 on oxygen-pre-covered IrO2(110) surfaces using temperature-programmed reaction spectroscopy (TPRS) and density functional theory (DFT). Our TPRS results show that on-top oxygen (Oot) species hinder CH4 adsorption, providin… [+1772 chars]"
0.0,0.0,1.0,0.0,"Amsterdam is the first city to host three European DrupalCons: 2005 (first DrupalCon ever), 2014 and 2019 (ongoing). How many community members attended all three of them?
We analyzed all user profiles published on drupal.org to find out this and much more.… [+6008 chars]"
0.0,0.0,1.0,0.0,"Abstract
Arthropod-specific juvenile hormones control numerous essential functions in development and reproduction. In the dengue-fever mosquito Aedes aegypti, in addition to its role in immature stages, juvenile hormone III (JH) governs post-eclosion (PE) d… [+73218 chars]"
0.0,0.0,1.0,0.0,"Citation: Xue Y, Chiu JC, Zhang Y (2019) SUR-8 interacts with PP1-87B to stabilize PERIOD and regulate circadian rhythms in Drosophila. PLoS Genet 15(11):
 e1008475.
https://doi.org/10.1371/journal.pgen.1008475
Editor: Maria Fernanda Ceriani, Fundacion Ins… [+57350 chars]"
0.0,0.0,1.0,0.0,"The genetic control of anterior brain development is highly conserved throughout animals. For instance, a conserved anterior gene regulatory network specifies the ancestral neuroendocrine center of animals and the apical organ of marine organisms. However, it… [+1085 chars]"
0.296,0.0,0.951,0.049,"With the proliferation of digital transformation and all of its associated  technologies such as RPA, cloud, AI etc. software vendors are swiftly adapting their current product offerings to meet the new wave of business demands. SAP, the behemoth in the ERP s… [+14613 chars]"
-0.5106,0.159,0.76,0.081,"Abstract
-Catenin is a multi-functional protein involved in cell adhesion and signal transduction and has a critical role in colorectal cancer development. -Catenin positively regulates the aryl-hydrocarbon receptor (AhR) mediated signal by both induction of… [+61708 chars]"
-0.3612,0.062,0.938,0.0,"Citation: Gupta S, Ylä-Anttila P, Sandalova T, Sun R, Achour A, Masucci MG (2019) 14-3-3 scaffold proteins mediate the inactivation of trim25 and inhibition of the type I interferon response by herpesvirus deconjugases. PLoS Pathog 15(11):
 e1008146.
https:… [+64034 chars]"
