compound,negative,neutral,positive,text
-0.6486,0.132,0.868,0.0,"As TV genres go, national politics in the Trump era is as on-the-nose as it getsdelicious instability, blatant backstabbing, legislative high-drama, and daily presidential temper tantrums. The political shade-serving is squarely, unmistakably, reality TV. Its… [+3273 chars]"
0.0,0.0,1.0,0.0,"I barely slept last night, Jessica Zahn told me a few weeks ago. In Redmond, Washington, where she was, it was 9 in the morning. In New Zealand, though, it was 5 the following morning, and the moment Zahn and her team at Microsoft had been working toward for … [+4232 chars]"
0.0,0.0,1.0,0.0,"Image copyrightLisa VanderpumpImage caption
 Lisa Vanderpump is a well-known celebrity in the US
The BBC's weekly The Boss series profiles different business leaders from around the world. This week we speak to entrepreneur and reality TV star Lisa Vanderpu… [+6601 chars]"
0.34,0.0,0.938,0.062,"Despite early-stage virtual reality market and augmented reality market valuations softening in a transitional period, total global AR/VR startup valuations are now at $45 billion globally include non-pure play AR/VR startups discussed below, and that amount … [+1491 chars]"
0.5719,0.0,0.903,0.097,"But Facebook is also focused on AR
Illustration by Alex Castro / The Verge
Snaps future depends on how well it builds its augmented reality platform. The company announced in its quarterly earnings call today that it added more users 7 million in the last q… [+2098 chars]"
0.2023,0.071,0.819,0.111,"Image copyrightCHANNEL SEVENImage caption
 Nicole Prince (left) and Fiona Taylor competed in a home renovation show in 2017
An Australian reality TV star who says she was unfairly portrayed as a bully has won a landmark compensation case.
Nicole Prince sai… [+1831 chars]"
-0.6662,0.123,0.877,0.0,"Its not just that President Trump serially lies in plain sight. (Whats The Washington Posts latest tally? 13,435? Whatever: Just imagine a whirring odometer on a shuttle to Mars.) Its that hes surrounded by occluders and toadies, nihilist tricksters spun dire… [+2422 chars]"
0.6597,0.0,0.881,0.119,"The digital experiment is part of an ongoing effort to broaden the Louvres appeal, with France laying new plans to promote its art treasures with virtual reality tours and some lower-tech alternatives.
In September, Franck Riester, Frances minister of cultur… [+828 chars]"
-0.0516,0.096,0.811,0.092,"For Fielding, accepting the job meant reframing the way he saw himself and his work. Unfortunately for me, I did go to art school, and I do have that snobby art school cool thing, he said. His more avant-garde tastes felt at odds with fronting apopular realit… [+1298 chars]"
0.0,0.0,1.0,0.0,"The biggest Apple rumor outside of Apple Car has been revived in a big way. 
According to a report by The Information, Apple is planning to launch an augmented reality (AR) headset in 2022, followed by a sleeker pair of AR glasses in 2023. 
While we've hear… [+2874 chars]"
0.0772,0.085,0.801,0.114,"(CNN)A former reality TV contestant who was portrayed in a negative light while filming Australian renovation show, House Rules, has won a landmark compensation case against Channel Seven.
In a ruling that could have ramifications for reality franchises acro… [+856 chars]"
0.0,0.0,1.0,0.0,"Apple wont be launching new augmented reality products until at least 2022 to 2023, the Information reported on Monday, citing an internal Apple presentation described by sources.
Apple has been rumored to be developing products in the augmented reality spac… [+2876 chars]"
0.7096,0.0,0.869,0.131,"The first human vaccine against the often-fatal viral disease Ebola is now an official reality. On Monday, the European Union approved a vaccine developed by the pharmaceutical company Merck, called Ervebo.
The stage for Ervebos approval was set this October… [+2726 chars]"
0.7096,0.0,0.862,0.138,Richard Branson’s Virgin Galactic wil find out what the public markets think of its ambitious plan to make commercial space tourism a reality on Monday. The company’s shareholders have approved a merger announced earlier this year with Chamath Palihapitiya’s … [+1334 chars]
0.8047,0.0,0.847,0.153,"How funding rounds are classified these days has much more to do with positioning than any VC definitions, but it’s still true that nothing has quite the pizazz as the “strategic investment” celebrity party round.
Sandbox VR, a location-based virtual reality… [+3434 chars]"
-0.4767,0.161,0.716,0.123,"WeWork, the co-working empire once valued at $47BN before reality struck plunging the business and its investors into crisis, has another problem to add to its growing pile — one which doesn’t exactly reflect well on its core business of kitting out and maint… [+3841 chars]"
0.0,0.0,1.0,0.0,"A couple of years ago, the cofounder and CEO of the blood-testing company was publicly taken to task for implying in articles and professional profiles that he has a PhD when in reality, he’d left a prestigious graduate group three years after enrolling, with… [+5157 chars]"
-0.128,0.074,0.862,0.064,"Here’s a horror scenario for you: you’re flying in a small plane and suddenly the single pilot who knows how to fly passes out. In the movies, somebody would probably talk one of the passengers through safely landing the plane. In reality, that’s unlikely. Fl… [+2773 chars]"
-0.25,0.106,0.83,0.064,"There’s too much hype about mythical “10X developers”. Everyone’s desperate to hire these ‘ninja rockstars’. In reality, it’s smarter to find ways of deleting annoying chores for the coders you already have. That’s where CTO.ai comes in.
Emerging from stealt… [+5265 chars]"
-0.296,0.048,0.952,0.0,"Adobe’s ambitions around augmented reality (AR) are no secret — there’s plenty of potential for building the right design tools for AR developers, after all. At last year’s Max event, the company first demoed its Aero AR authoring app and today, it is launchi… [+1437 chars]"
