compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"We report here an extensive study of transport and electronic structure of molecular junctions based on alkyl thiols (CnT; n = 7, 8, 9, 10, 12) and dithiols (CnDT; n = 8, 9, 10) with various lengths contacted with different metal electrodes (Ag, Au, Pt). The … [+1275 chars]"
-0.6486,0.122,0.878,0.0,"SAVANNAH, Ga. (WSAV) – Officials have arrested a local business owner accused of conspiring with others to have large amounts of crystal methamphetamine shipped to him from across the country to be distributed throughout Chatham County and the surrounding are… [+2047 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.8462,0.0,0.788,0.212,"Abstract
Carbon nanotubes (CNTs) have unusual physical properties which are valuable for nanotechnology and electronics but the chemical synthesis of chirality and diameterspecified CNTs and conjugated CNT segments is still a great challenge. Herein we repor… [+904 chars]"
0.8481,0.0,0.805,0.195,"After some careful consideration and actual implementation of the module, some of the definitions I made during the design phase had to be changed. This should be a familiar scene for anyone who has ever worked with an eager client who dreams about an ideal p… [+20272 chars]"
0.2023,0.0,0.951,0.049,"Abstract
Engineering the morphology and structure of lowdimensional carbon nanomaterials is important to study their mechanical and electrical properties and even superconductivity. Herein, first the techniques that are used to engineer carbon nanotubes, inc… [+524 chars]"
0.8519,0.0,0.751,0.249,"Myocardial microenvironment plays a decisive role in guiding the function and fate of cardiomyocytes, and engineering this extracellular niche holds great promise for cardiac tissue regeneration. Platforms utilizing hybrid hydrogels containing various types o… [+1770 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.0,0.0,1.0,0.0,"Experimental details, characterizations of PDA-mediated Fe3O4 NPs (PFe3O4 NPs), characterizations of PDA-decorated CNTs, electric conductivity of the PDA-based ferrofluid, microstructures of the PFeCNT-PAM hydrogel, CLSM micrographs of the hydrogels with diff… [+566 chars]"
0.7178,0.0,0.87,0.13,"IMAGE: An illustration shows the wetting behavior of carbon nanotubes, which both repel water and hold it in place.
 view more 
Credit: University of Pittsburgh
PITTSBURGH (Nov. 12, 2019) -- Carbon nanotubes (CNTs) are valuable for a wide variety of applic… [+3201 chars]"
0.7096,0.0,0.827,0.173,Carbon nanotubes (CNTs) have been considered a preferred channel material for constructing high-performance radio frequency (RF) transistors with outstanding current gain cutoff frequency (fT) and power gain cutoff frequency (fmax) but the highest reported fm… [+1149 chars]
0.4215,0.031,0.89,0.079,"Recent interest in the fields of human motion monitoring, electronic skin, and humanmachine interface technology demands strain sensors with high stretchability/compressibility ( &gt; 50%), high sensitivity (or gauge factor (GF &gt; 100)), and long-lasting el… [+1875 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.1027,0.0,0.968,0.032,"With Jharkhand reporting one of the highest incidents of mob-lynching, the Congress manifesto for the upcoming Assembly election in the State is likely to propose an anti-lynching law on the lines of the recent law cleared by the Congress government in Rajast… [+2327 chars]"
0.8126,0.0,0.797,0.203,"Abstract
Biological soft robots have attracted extensive attention and research because of their superiority in executing designed biomedical missions compared with conventional robots. Here, inspired by the crawling mechanism of snakes and caterpillars, a n… [+1145 chars]"
0.8126,0.0,0.797,0.203,"Abstract
Biological soft robots have attracted extensive attention and research because of their superiority in executing designed biomedical missions compared with conventional robots. Here, inspired by the crawling mechanism of snakes and caterpillars, a n… [+1145 chars]"
0.8126,0.0,0.797,0.203,"Abstract
Biological soft robots have attracted extensive attention and research because of their superiority in executing designed biomedical missions compared with conventional robots. Here, inspired by the crawling mechanism of snakes and caterpillars, a n… [+1145 chars]"
-0.4019,0.063,0.937,0.0,"In the title of this article, the word principle should be principal. The correct title is: Bioactivity-guided isolation of rosmarinic acid as the principal bioactive compound from the butanol extract of Isodon rugosus against the pea aphid, Acyrthosiphon pis… [+1358 chars]"
0.3182,0.0,0.94,0.06,"Synthetic schemes for intermediate 7 and nanohoop 2S, synthetic procedures, 1H NMR, 13C NMR, 19F NMR, and mass spectrometry analysis of synthesized compounds, absorption and emission data for 2 and 3 in solution, X-ray crystallography data, experimental detai… [+164 chars]"
0.5984,0.0,0.871,0.129,"1 Introduction
Because of the large surface area of nanoparticles, controlling the interface between nanoparticles and their surroundings is important for most nanotechnology applications. This is particularly true for applications that require hybrid nanoma… [+26065 chars]"
