compound,negative,neutral,positive,text
0.4939,0.0,0.89,0.11,"Experts estimate that ants outnumber humans by a ratio of about 140,000 to 1. When you multiply that number by the estimated 7.6 billion people alive today, you get a number that will make your head spin. And not only are these diminutive, ubiquitous insects … [+1742 chars]"
0.6808,0.0,0.88,0.12,"Marvel
Director Peyton Reed has reportedly signed on for Ant-Man 3. Reed also directed the first two Marvel Cinematic Universe films about the almost microscopic superhero: 2015's Ant-Man and 2018's Ant-Man and the Wasp. 
Plot details and the release date r… [+951 chars]"
0.5267,0.0,0.914,0.086,"Cataglyphis bombycina) in the desert at Douz, Tunisia.""/&gt;
 Enlarge/ A soldier Saharan silver ant (Cataglyphis bombycina) in the desert at Douz, Tunisia.
6 with 6 posters participating
Saharan silver ants routinely brave the blazing-hot midday sun in the… [+3672 chars]"
0.8074,0.0,0.86,0.14,"You would think that being Paul Rudd is pretty great, what with the career that just keeps skyrocketing and the face that just keeps not aging. 
But it turns out that when you're Ant-Man and also a Ghostbuster, you can't tell anyone anything, and it's exhaus… [+396 chars]"
-0.2263,0.103,0.812,0.085,"36Kr, a Chinese news and data website that tracks startups, fell 10% in its Nasdaq debut on Friday.
The disappointing debut followed 36Kr’s decision to slash the size of its offering from 3.6 million shares to 1.4 million and pricing its shares at $14.5, the… [+1736 chars]"
0.7096,0.0,0.859,0.141,"There are some jokes that get old quickly, while others get progressively funnier with each retelling.
For everyone except Conan O'Brien, Paul Rudd's Mac and Me joke falls firmly into the latter category.
In a nutshell, for the past 15 years, Rudd has been … [+745 chars]"
-0.5023,0.114,0.856,0.03,"Experiments on ants show how they avoid traffic congestion.
PHOTO: ALLGORD/ISTOCKPHOTO
Traffic congestion is a daily challenge for humans pursuing individual objectives. Ants also live, work, and commute in crowded circumstances but avoid gridlock. Poisonni… [+1016 chars]"
0.5267,0.051,0.83,0.119,"An old photo of Paul Rudd has been brought back from the grave for a fun Halloween treat.
Last year, the “Ant-Man” star dressed as iconic parodist “Weird Al” Yankovic — mini accordion and all — for Halloween while trick-or-treating with one of his kiddos, wh… [+925 chars]"
0.6597,0.0,0.878,0.122,"With Halloween coming fast, I needed a quick and cheap costume. Luckily, as I was cleaning my garage and moving around cardboard boxes, I realized I had a goldmine. I must have had over 200 cardboard boxes, which got me thinking: I could use them to create a … [+8077 chars]"
-0.0964,0.07,0.848,0.083,The Sahara Desert. Where daytime temperatures can reach 140 degrees Fahrenheit. Not many organisms can survive in this harsh environment. But an insect called the Saharan silver ant thrives. They scurry out onto the sand from their protected nests to gather u… [+2030 chars]
0.296,0.0,0.948,0.052,"PRESIDENT Rodrigo Duterte “arrived safely” in Thailand on Friday night to join his fellow Southeast Asian leaders at the 35th Association of Southeast Asian Nations (Asean) Summit and Related Summits this week, his spokesman said.
“We confirm that President … [+3695 chars]"
-0.0258,0.071,0.86,0.069,"TORONTO – Hundreds of thousands of wood ants that were trapped in an underground bunker survived by eating the corpses of their nestmates, researchers say.
 The researchers detail their findings in a paper that was published last week in the Journal of Hymen… [+2274 chars]"
-0.0258,0.071,0.86,0.069,"TORONTO Hundreds of thousands of wood ants that were trapped in an underground bunker survived by eating the corpses of their nestmates, researchers say.
The researchers detail their findings in a paper that was published last week in the Journal of Hymenopt… [+2219 chars]"
0.9524,0.052,0.615,0.333,"Iron Man, Thanos, Ant-Man, Star-Lords weird planet dad. The Marvel Studios movies love, love, love fathers. 
In a new video, Wisecrack explores the philosophical underpinning of Spider-Man: Far From Home and its preoccupation with fathers. Like a lot of the … [+800 chars]"
0.8281,0.0,0.809,0.191,"So you're a Marvel fan thinking about getting a Disney+ subscription. Or you're a Disney+ subscriber thinking about getting deeper into Marvel. Either way, you're probably wondering what, exactly, the new streaming service has for you. We're here to break it … [+5687 chars]"
0.3182,0.0,0.952,0.048,"The Ant-Man will ride again. But will the Wasp?
The Hollywood Reporter has word that Reedwho stepped in to take over the original Ant-Man in the wakes of Edgar Wrights departure from the project, and then returned for Ant-Man and The Waspwill return for a th… [+1090 chars]"
0.0,0.0,1.0,0.0,"(Bloomberg) -- The European Bank for Reconstruction and Development is against Turkeys appointment of a convicted banker as head of the stock exchange, saying it now has the right to exit its 10% stake in Borsa Istanbul.
We were not consulted on the appointm… [+1838 chars]"
0.9136,0.0,0.764,0.236,"Just like the movies that so many of us love from Disney, there is seemingly a last-minute bit of excitement before Disney+ goes live tomorrow. A new thread from the official Disney+ account gave us an early present with newly announced Marvel titles for laun… [+904 chars]"
