compound,negative,neutral,positive,text
0.6597,0.0,0.888,0.112,"In the body, cells don't just sit there in a pile. They get physical support from water, collagen proteins and nutrients, which help the cells grown and align. ""To grow muscle tissues that resembled meat, we needed to find a 'scaffold' material that was edibl… [+1583 chars]"
0.25,0.0,0.947,0.053,"Microsofts recent victory in landing a $10 billion Pentagon cloud-computing contract called JEDI could make life more complicated for one of the software giants partners: the independent artificial-intelligence research lab OpenAI.
OpenAI was created in 2015… [+3337 chars]"
-0.1531,0.038,0.962,0.0,"The solvent, a mixture of ethanol and water, keeps the fibers from falling apart as they fling out of the supercharged cotton candy machine. The fibers themselves are made of pig-derived gelatin, which is a product of broken-down collagen. In a regular steak,… [+2096 chars]"
-0.0258,0.041,0.919,0.039,"Like other automakers, Tesla relies on computer modeling to find problems long before a fully-built sedan or SUV goes crashing into a wall, but it also shows off the Model 3's specially-designed front passenger airbag that wraps around the occupant to keep th… [+448 chars]"
0.6249,0.0,0.896,0.104,"It follows you around with your stuff, like a little robot butler
Piaggio Fast Forward, Vespas innovation lab, is launching its first consumer product: the Gita. The little spherical robot is meant to trail people on the go, carrying up to 40 pounds of their… [+2037 chars]"
-0.1779,0.093,0.848,0.059,"Android: The Google Creative Lab has kicked six new experimental apps out into the wild, all designed with one purpose in mindto get you to stop obsessing over every notification, checking every social network, and generally gluing your phone to your face (or… [+4083 chars]"
0.0516,0.054,0.887,0.059,"Nearly 50 years agobefore Interstellar, A Brief History of Time, and certainly the Event Horizon Telescopepostdoctoral researcher William Unruh was attempting to explain black holes to a crowd at an Oxford University colloquium. There were no reference points… [+12503 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.0,0.0,1.0,0.0,"Rocket Lab is launching its ninth Electron rocket today, with the launch set for 00:41 UTC (8:41 ET/5:41 PT). The mission, called “As The Crow Flies,” will be taking off from the company’s LC-1 launchpad in New Zealand, carrying a payload from Astro Digital t… [+627 chars]"
-0.2732,0.06,0.903,0.037,"NASA’s Mars 2020 rover will have to operate on its own in a harsh environment, hundred of millions of miles from the nearest mechanic. But for now, it’s still in development at NASA’s Jet Propulsion Lab and every milestone is an important one. Including suppo… [+1270 chars]"
-0.8316,0.177,0.823,0.0,"Rusada head Yuri Ganus fears Russia will be banned from the next Olympics and Winter Olympics
Russia must expect to be banned from the 2020 Olympics in Tokyo for inconsistencies in laboratory data sent to investigators, says the head of Russia's anti-doping … [+1927 chars]"
0.0,0.0,1.0,0.0,"Rocket launch startup Rocket Lab is all about building out rapid-response space launch capabilities, and founder/CEO Peter Beck is showing off its latest advancement in service of that goal: A room-sized manufacturing robot named ‘Rosie.’
Rosie is tasked wit… [+1462 chars]"
0.0,0.0,1.0,0.0,"Crowdsourced transit app Pigeon, developed within Google’s Area 120 lab for experimental projects, is today rolling out to five new cities across the U.S., in addition to New York — including Boston, Chicago, Los Angeles, San Francisco, and Washington D.C. Un… [+2682 chars]"
-0.5319,0.081,0.919,0.0,"NASA’s next Venus probe could be an atmosphere-skimming robotic stingray designed by the University of Buffalo. UB’s CRASH Lab, which is the institution’s Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early… [+1029 chars]"
0.5267,0.0,0.914,0.086,"Researchers are growing human, ape, and monkey brain tissue in the lab in order to understand what makes us different. Human brains are clearly unique in some way, given that were the only animal that can make and post memes online and fly into space. But que… [+3599 chars]"
0.4019,0.0,0.938,0.062,"Synthetic meat products might come even closer to the texture of slaughtered meats with the help of what are essentially modified cotton candy machines.
Scientists at universities and private companies are attempting to recreate the flavor and texture of ani… [+3503 chars]"
0.2263,0.0,0.955,0.045,"In our latest step toward becoming a full dystopian nightmare, the Wall Street Journal reports that Google has been collecting the health data of millions of Americans without their knowledge or consent.
It's all part of Google's secret ""Project Nightingale""… [+2416 chars]"
0.5499,0.0,0.925,0.075,"Rocket Lab has been increasing the altitude of its missions in recent months, but now it wants to venture much, much farther. The private spaceflight firm now intends to help launch missions to higher Earth orbits, lunar orbit and even Lagrange points. It'll … [+978 chars]"
-0.2732,0.049,0.951,0.0,"Most scientists labs dont fly. Most scientists labs are also not packed in the interior of a DC-8 jet doing loopy maneuvers at low altitudes. This joint NASA and National Oceanic and Atmospheric Administration (NOAA) mission, though, is not a typical science … [+9105 chars]"
