compound,negative,neutral,positive,text
0.891,0.0,0.788,0.212,"These are the best office and desk chairs
 (Photo: Reviewed / Kyle Hamilton)
Our editors review and recommend products to help you buy the stuff you need. If you make a purchase by clicking one of our links, we may earn a small share of the revenue. However… [+16888 chars]"
0.4404,0.0,0.919,0.081,Esports organization Complexity Gaming recently announced a partnership with iconic furniture manufacturer Herman Miller to improve esports furniture ergonomics. The partnership sees Herman Miller act as Complexitys official seating partner and title sponsor … [+1436 chars]
0.5574,0.0,0.887,0.113,"Aeron ChairArguably nothing symbolized the dot-com bubble more than the Aeron chair. Launched by Michigan office furniture manufacturer Herman Miller in 1994, it ballooned in popularity among status-conscious tech startups despite its $1,000-plus price tag, a… [+1723 chars]"
0.4019,0.0,0.934,0.066,"In an effort to facilitate submission of applications for frequent travellers, the Regional Passport Office, Chennai will be holding Special Passport Mela on Saturday at Post Office Passport Seva Kendras (POPSK), at Vellore, Kallakurichi and Krishnagiri.
All… [+806 chars]"
0.4215,0.0,0.936,0.064,"The Platinum Card® from American Express and The Business Platinum® Card from American Express both come with a Priority Pass membership, which gives you access to more than 1,000 airport lounges worldwide including some of our favorites in Europe.
The cards… [+2257 chars]"
-0.2732,0.045,0.955,0.0,"Norwegian Air will drop its nonstop service between New York JFK and Madrid, ending the service less than two years after it began.
Norwegian had been flying the route four times a week with Boeing 787 Dreamliners. But the last Madrid departure from JFK appe… [+1545 chars]"
0.0214,0.067,0.865,0.069,"RBloggers|RBloggers-feedburner
Intro:
After developing the package RAthena, I stumbled quite accidentally into the R SDK for AWS paws. As RAthena utilises Pythons SDK boto3 I thought the development of another AWS Athena package couldnt hurt. As mentioned i… [+9328 chars]"
0.0,0.0,1.0,0.0,"Last week my team was busy with the migration of one microservice to our
central platform, which bundles CI/CD, a Kubernetes based runtime,
metrics and other goodies. This exercise is meant to provide a blueprint
to accelerate moving a fleet of ~150 more i… [+11010 chars]"
0.0,0.088,0.823,0.088,"Image source: The Motley Fool.
Wyndham Destinations, Inc. (NYSE:WYND)Q3 2019 Earnings CallOct 30, 2019, 8:30 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morni… [+50430 chars]"
0.4019,0.0,0.938,0.062,"Australian Radio Network (ARN) has announced a two year extension for its partnership with the Victoria Racing Club (VRC) which will see Kiis 101.1 and Gold 104.3 support the 2019 and 2020 Melbourne Cup Carnivals.
The announcement:
ARN ANNOUNCES TWO-YEAR EX… [+1864 chars]"
0.7391,0.0,0.814,0.186,"The dhb Aeron Lab Winter Sock is warm and comfortable yet non-bulky and lightweight. A sophisticated mix of textiles that includes silk, wool and ceramic yarn gives them an excellent performance, but they are very expensive.
<ul><li>Pros: Carpet-slipper comf… [+6031 chars]"
0.7184,0.0,0.841,0.159,"Australian Radio Network (ARN) has become the exclusive sales representation for the IHeartRadio podcast network in Australia.
The agreement will see ARN become the entry point for all brands looking to target Australian downloads of IHeartPodcast original t… [+1731 chars]"
0.9299,0.039,0.69,0.271,"Considering how thin and lightweight it is, the dhb Aeron Equinox Thermal Jersey does a very impressive job of keeping you warm and its lack of bulk means it's great for layering when autumn gives way to winter. It's also great quality and decent value too.
… [+7722 chars]"
0.9783,0.0,0.616,0.384,"The dhb Aeron Lightweight Merino Sock is the thinnest in dhb's three-option range, but it's still pretty warm, relatively thick and extremely comfortable. Sizing and fit are great, and those muted colours look good if matched with other dhb kit, though the su… [+5916 chars]"
0.4404,0.0,0.917,0.083,"Kyle Sandilands and Jackie O Henderson will be on air on Australian Radio Networks (ARN) Kiis 106.5 in Sydney until at least 2022, with the media network renewing the duos contracts early.The network has also retained the talent for its other key Sydney break… [+5012 chars]"
0.1531,0.053,0.882,0.065,"People for the Ethical Treatment of Animals (PETA) has issued a media release hitting out at the Australian Radio Network (ARN) for refusing to run its radio ad about the Melbourne Cup.
PETA said the ad was designed to get people thinking ahead of the Melbou… [+967 chars]"
0.2263,0.0,0.959,0.041,"The dhb Aeron Equinox Short Sleeve Base Layer is a close-fitting under layer for cooler summer days and for spring and autumn. It's nice and airy but thicker across the front where the wind hits you.
<ul><li>Pros: Stretchy with extra thickness where you need… [+5620 chars]"
0.7906,0.025,0.814,0.161,"The dbh Aeron womens short sleeved merino base layer is a great shoulder-season underlayer that washes well, dries quickly and has a soft feel against the skin. It retains its shape well too, though it's on the thin side for serious winter use.
The dhb (from… [+2048 chars]"
0.9253,0.0,0.761,0.239,"These cosy tights are really warm
Wiggles Black Friday sale started today and you can pick up these dhb Aeron FLT Roubaix bib tights for just £54
Winter seems to be well and truly upon us now, but thankfully, you can get great quality winter kit at a very g… [+2690 chars]"
