compound,negative,neutral,positive,text
0.8074,0.0,0.852,0.148,"The seven-time Grammy Award winner reportedly left behind a vault containing so much music his estate could put out an album a year for the next century.
ABC News.
2025. Wildfires again sweep the West Coast. Windstorms bearing sand and ash cause mass evacua… [+4181 chars]"
0.5574,0.0,0.901,0.099,"DALLAS--(BUSINESS WIRE)--DE-CIX, the worlds leading Internet Exchange (IX) operator with the largest IX in the NY metro area, DE-CIX New York, announces that its DE-CIX Dallas exchange now ranks among the top 20 IXs across the United States based on the numbe… [+2945 chars]"
0.1779,0.0,0.96,0.04,"NEW YORK--(BUSINESS WIRE)--DE-CIX, one of the worlds leading Internet Exchange (IX) operators with the largest IX in the New York market, announces that it has enhanced its partnership with NYI, a leading global provider of managed hybrid IT solutions, with t… [+4273 chars]"
0.7424,0.0,0.877,0.123,"On October 30, CIX celebrated the 100th day since their debut with the reveal of their official fan club name!
CIX tweeted a graphic that begins by explaining that CIX stands for Complete In X. It then announces the fandoms name, FIX, and explains in English… [+633 chars]"
0.7096,0.0,0.882,0.118,"On October 13, SBSs Inkigayo was replaced by a broadcast of SBS Super Concert in Incheon, which took place on October 6.
The performers were TWICE, AB6IX, The Boyz, N.Flying, NATURE, Chungha, ASTRO, CIX, EXOs Chen, and NCT Dream.
Check out some of the perfo… [+382 chars]"
0.7096,0.0,0.871,0.129,"Industry executives and experts share their predictions for 2020.  Read them in this 12th annual VMblog.com series exclusive.By Dr. Christoph Dietzel, Global Head of Products &amp; Research at DE-CIX
For end-users, the
success of 5G hinges on a few key requ… [+6893 chars]"
0.9508,0.0,0.649,0.351,"The winners have been announced for V Lives first official awards ceremony V HEARTBEAT!
Previously, V Live held a celebratory party to honor the top 10 artists and top five rookies each year. This year, however, V Live will be holding the 2019 V Live Awards … [+895 chars]"
0.9694,0.0,0.63,0.37,"Many idols got creative as they wished their fans a Happy Halloween on October 31!
The stars showed off amazing costumes, put app filters to good use for fun photos, entertained fans with videos and special dance practices, and more. Many artists also shared… [+9198 chars]"
0.9771,0.0,0.64,0.36,"The 2019 MTV EMAs were held on November 3 (local time) in Seville, Spain to celebrate the best and brightest in music, with notable wins by BTS and ATEEZ, as well as an amazing performance by NCT 127!
BTS took home a total of two awards from the show after b… [+1070 chars]"
0.5093,0.0,0.932,0.068,"NCT 127 will be performing at the 2019 MTV Europe Music Awards (EMAs)!
On October 28, NCT 127 announced the upcoming performance via their official Twitter account. The 2019 MTV EMAs are scheduled to take place in Seville, Spain, on Sunday, November 3 at 9 p… [+730 chars]"
0.7506,0.0,0.842,0.158,"WESTBURY, N.Y.--(BUSINESS WIRE)--AM Property Holding Corp. announced the successful completion of a $21 million credit facility for 1025OCR, its 200,000-square-foot Technology Center located at 1025 Old Country Road in Westbury, New York. The transaction was … [+3150 chars]"
0.0,0.0,1.0,0.0,"TORONTO--(BUSINESS WIRE)--Chisel AI,a technology provider for the global insurance industry, today announced three recent appointments to its leadership team. The company has appointed Colin Toal as Chief Technology Officer, Pearl Chiu as Vice President, Oper… [+3184 chars]"
0.0772,0.0,0.966,0.034,"Navy News Service
Story Number: NNS191106-07Release Date: 11/6/2019 3:21:00 PM
From Commander, Naval Air Force Atlantic Public Affairs
NEWPORT NEWS, Va. (NNS) -- Capt. Todd Marzano, commanding officer, Pre-Commissioning Unit (PCU) John F. Kennedy (CVN 79) … [+2668 chars]"
0.8687,0.0,0.803,0.197,"Are you ready for everything K-pop has in store for November?
Get the scoop on the comebacks, debuts, and new releases on the way this month below!
November 1
IU shares her pre-release single Love Poem on November 1 ahead of her new album.
Jessi and Jay P… [+2783 chars]"
0.0,0.0,1.0,0.0,"NEWPORT NEWS, Virginia — Capt. Todd Marzano, commanding officer, Pre-Commissioning Unit (PCU) John F. Kennedy (CVN 79) and his crew officially unveiled the seal of the US Navy's second Ford-class aircraft carrier currently under construction at Newport News S… [+2778 chars]"
0.8625,0.0,0.777,0.223,"Before the end of the year, another Korean-related event, Kmet Festival, will be launched for anyone interested in Korean products and music. A Chi Activation, in collaboration with Chan Activation and K-Joy, is hosting the festival, which features several ac… [+1362 chars]"
0.7964,0.0,0.839,0.161,"Financial institutions have great expectations for the potential takeover of Interxion, one of the biggest operators of internet infrastructure in Europe, after a report that big-pocket investment funds were competing to take it over.
Their interest is peaki… [+11642 chars]"
0.4767,0.048,0.835,0.116,"CI Financial Corp is making an investment in Toronto-based fintech firm d1g1t Inc. No financial terms were disclosed. The capital will be used for product innovation and commercial expansion. Last year, d1g1t secured Series A funding from Purpose Financial, w… [+3796 chars]"
