compound,negative,neutral,positive,text
0.7184,0.0,0.854,0.146,"When Land Rover revealed the 2020 Defender a few months ago, it didn't skimp on providing glorious images of the new off-roader going off-road. But what you see here is different. This is next-level off-roading imagery. The new Defender will be featured in a … [+2228 chars]"
0.4019,0.0,0.942,0.058,"The Rocky Mountains are one of several mountain ranges in Canada.Credit: George Rose/Getty
Some time in mid- to late November, geophysicist David Eaton will head into the forests around Fort St. John, Canada, and help to nestle an array of 15 seismometers on… [+4899 chars]"
0.4019,0.0,0.942,0.058,"The Rocky Mountains are one of several mountain ranges in Canada.Credit: George Rose/Getty
Some time in mid- to late November, geophysicist David Eaton will head into the forests around Fort St. John, Canada, and help to nestle an array of 15 seismometers on… [+4899 chars]"
0.1779,0.042,0.901,0.057,"John Whisler became the CEO of Eon NRG Limited (ASX:E2E) in 2014. First, this article will compare CEO compensation with compensation at similar sized companies. Next, we'll consider growth that the business demonstrates. And finally we will reflect on how co… [+3265 chars]"
-0.6908,0.119,0.881,0.0,"The quality of Daniel Craig’s James Bond movies has varied dramatically since his stellar debut in Casino Royale, wavering with Quantum of Solace, recovering with Skyfall, and then dropping off the deep end with Spectre, probably the worst entry of his tenure… [+3135 chars]"
0.0,0.0,1.0,0.0,"UK event cinema specialist Secret Cinema saw record ‘box office’ and attendance on its latest production, Casino Royale.
According to the company, more than 120,000 customers attended the immersive event screening, which took in just over £8M ($10M) in ticke… [+1455 chars]"
0.0,0.0,1.0,0.0,"TORONTO Two decades ago, Blues Clues stormed childrens television with something colorless, low-tech and ordinary: silence.
Last winter, on the Toronto set of Blues Clues &amp; You! a reboot premiering Nov. 11 on Nickelodeon silence was still the star, even … [+1146 chars]"
0.2732,0.0,0.945,0.055,"Electronic music pioneer Jean-Michel Jarre has introduced EON, a new generative music application for iOS.
The application creates constantly changing music, composed by Jarre, paired with digital graphics by Alexis André of Sony Computer Science Laboratorie… [+1783 chars]"
0.7906,0.0,0.84,0.16,"Hello Nature readers, would you like to get this Briefing in your inbox free every day? Sign up here.
Today we hear that a second scientist has moved closer to creating gene-edited babies, discover how smoking might trigger diabetes and remember the first pe… [+4945 chars]"
0.7906,0.0,0.84,0.16,"Hello Nature readers, would you like to get this Briefing in your inbox free every day? Sign up here.
Today we hear that a second scientist has moved closer to creating gene-edited babies, discover how smoking might trigger diabetes and remember the first pe… [+4945 chars]"
-0.8201,0.146,0.825,0.029,"It only made its debut in September at the Frankfurt International Motor Show, but Land Rover's new Defender was already out and about for filming of the upcoming James Bond movie No Time to Die a year ago.
Land Rover on Wednesday gave us a look at the 4-doo… [+1550 chars]"
0.296,0.0,0.949,0.051,"Mapping the bonds and vibrational modes of molecules containing sulfur isotopes is helping to shed light on the chemical reactions that took place in Earth's atmosphere during the Archean era, before the atmosphere became oxygenated about 2.5 billion years ag… [+5035 chars]"
0.0,0.0,1.0,0.0,"Paul M. Sutter
 is an astrophysicist at The Ohio State University
, host of Ask a Spaceman
 and Space Radio
, and author of ""Your Place in the Universe.
"" Sutter contributed this article toSpace.com's Expert Voices: Op-Ed &amp; Insights
. 
The modern s… [+6547 chars]"
0.7003,0.0,0.894,0.106,"On the October 25 broadcast of MBC FM4Us Good Morning FM With Jang Sung Kyu, Kwak Dong Yeon appeared as a guest.
The actor talked about his friendship with Park Bo Gum, with whom he appeared in KBS 2TVs Moonlight Drawn By Clouds, and Lee Si Eon, with whom he… [+624 chars]"
-0.5994,0.087,0.913,0.0,"Image copyrightErik VoakeImage caption
 Jarre has been at the forefront of electronic music for five decades
French composer Jean-Michel Jarre talks about his latest project - an endless piece of music that will live on after his death.
As Jean-Michel Jarr… [+4571 chars]"
0.6369,0.052,0.813,0.135,"(Bloomberg) -- Germanys biggest generator of electricity is looking abroad for growth as it closes down coal-fired power plants targeted in the governments fight against climate change.
With many of the nations best sites for wind and solar farms taken and a… [+3760 chars]"
-0.2732,0.089,0.865,0.046,"As we saw in Harry Potter and the Sorcerers Stone, strange things can be hidden inside bank vaults. Sometimes, they have the ability to change the world. Dust has released a short film where a man is given a key to a mystery that threatens everything he ever … [+848 chars]"
0.2481,0.081,0.849,0.07,"Several members of the I Live Alone family came together for an early birthday celebration!
On October 13, Park Na Rae revealed on Instagram that her I Live Alone co-stars Sung Hoon, Han Hye Jin, Lee Si Eon, and Kian 84 had gotten together to celebrate her u… [+759 chars]"
-0.7269,0.127,0.873,0.0,"Earlier this year, multiple Emmy award-winner Phoebe Waller-Bridge was brought in to do a script polish on the upcoming James Bond film No Time to Die. During an interview this weekend with The Sunday Times, Bond actor Daniel Craig bristled at the suggestion … [+1951 chars]"
