compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Emerson College, founded in 1880 as the Boston Conservatory of Elocution, Oratory, and Dramatic Art, is one of the countrys most prestigious liberal arts colleges. We talked to its twelfth president, Lee Pelton, about his academic background, his personal wor… [+6502 chars]"
0.7845,0.0,0.861,0.139,"You dont need to be in the office to get work donebut sometimes its a good idea to make it look like youre there. 
As many office workers know, there are many advantages to being viewed as the person who is always at their desk. In some companies, you can ac… [+3996 chars]"
0.0,0.0,1.0,0.0,"Everybody has a plan for working from home right up until the moment your kid wakes up with a runny nose and a slight fever. At that point, many parents will tell you its just about getting through the day. But sometimes, with the right mindset and tactics, y… [+3008 chars]"
0.34,0.0,0.941,0.059,"Since its initial announcement, Microsoft says it's shared early HoloLens 2 prototypes with customers and received plenty of feedback. The shipping version hasn't changed much from the first units we've seen, according to Greg Sullivan, Microsoft's director o… [+1087 chars]"
-0.3182,0.062,0.907,0.031,"Those looking forward to the upcoming Disney+ may want to double-check their preferred devices can actually run the streaming service in the first place. According to Linux developer Hansdegoede, Linux PCs, Chromebooks, and some Android devices are incapable … [+2119 chars]"
0.765,0.0,0.83,0.17,"If you travel for work, then theres a good chance youre going to treat at least a few hotel rooms like home.
Hotel rooms can be great, but if youre using one for an extended period of time, then there are a few things you can do to make living in that hotel … [+2333 chars]"
-0.4949,0.103,0.861,0.037,"Whether youre losing your mind at a Pink Floyd tribute show or playing with your cat, theres hardly a situation that wouldnt be made better with a few lasers. Optical masers were first described by physicist Charles Townes in the late 50s and since then theyv… [+1589 chars]"
0.7003,0.0,0.886,0.114,"If youre looking to make your brain work better, you have plenty of options. You can start sleeping better, invest in a juicer, spend time at a decent gym. Orif youre pressed for timeyou can pop a bunch of pills. Amphetamine, in the form of Adderall, has been… [+13639 chars]"
-0.34,0.077,0.896,0.027,"You'll be able to choose the Object Selection tool from the Magic Wand group in the toolbar. To isolate a single object, just click on it. To select multiple objects, drag a rectangular marquee across them (or if you want to select multiple subjects without o… [+1183 chars]"
-0.4019,0.136,0.76,0.103,"We all know the placebo effect is a powerful thingit can ease pain, alleviate depression, turn CBD into a billion-dollar industry, and more. Less widely understood is why it workshow the human brain, in tandem with various other organs, can turn a simple suga… [+18238 chars]"
0.4019,0.0,0.942,0.058,"Theres an LTE model, too
Image: Samsung
Samsung announced today that the Galaxy Tab Active Pro, its newest rugged tablet designed for people who work outdoors or in industrial areas, is now available in the US for $599.99. (Previously, it was only available… [+2158 chars]"
-0.128,0.093,0.846,0.061,"Three years after Black Girls Window, Ms. Saar made her first, and arguably her most famous, explicitly political work: an assemblage that, thanks to her addition of a gun and a black power fist, turns the caricature of Aunt Jemima into a revolutionary. That … [+1168 chars]"
0.0,0.0,1.0,0.0,"The National Dance Institute involves thousands of children each year in classes, performances, school partnerships, professional development for educators, and dance programs for children with disabilities. We talked to executive director Traci Lester about … [+7124 chars]"
-0.2732,0.049,0.951,0.0,"Most scientists labs dont fly. Most scientists labs are also not packed in the interior of a DC-8 jet doing loopy maneuvers at low altitudes. This joint NASA and National Oceanic and Atmospheric Administration (NOAA) mission, though, is not a typical science … [+9105 chars]"
0.8537,0.049,0.737,0.213,"Ive exclusively worked from home for the majority of the last decade. Working fro home is great, but it can also be pretty distracting. One thing that makes it easier? Pretending youve gone to the office.
By putting yourself in an office mindset even though … [+2662 chars]"
0.5023,0.0,0.934,0.066,"You wouldnt think a guy who named his whole company after himself would be this nice. But when Brian Kelly started his travel and deals site The Points Guy, he didnt know hed be leading a large team writing a multi-section site for over 10 million readers a m… [+6662 chars]"
0.7579,0.0,0.874,0.126,"Gestures on a smartphone arent exactly new tech, but they are new to Googles Pixel 4. Thanks to a teeny tiny Project Soli radar, you can now wave at a Pixel 4 to poke Pokémon wallpapers, as well as control your music, timers, and phone calls. 
Thats all well… [+2441 chars]"
-0.1027,0.109,0.791,0.101,"New images taken by the Mars Reconnaissance Orbiter are providing fresh views of NASAs Insight lander and Curiosity rover on the Martian surface.
The Opportunity rover died last year after being smothered by dust, which means NASA has just two robotic probes… [+2618 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.4576,0.0,0.932,0.068,"One of the most interesting sessions at Adobe MAX is traditionally the Sneaks keynote, where engineers from the company’s various units show off their most cutting-edge work. Sometimes, those turn into products. Sometimes they don’t. These days, a lot of the … [+2770 chars]"
