compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"James Whitner adds yet another streetwear outpost to his retail empire with a new A Ma Maniére location in Houston, Texas, however this time, the pioneering entrepreneur has built a mini-restaurant that’s quaintly situation in the back of the space.
A Ma Man… [+2614 chars]"
0.5859,0.0,0.868,0.132,"If you want to know who really controls AMM S.p.a. (BIT:AMM), then you'll have to look at the makeup of its share registry. Generally speaking, as a company grows, institutions will increase their ownership. Conversely, insiders often decrease their ownership… [+4571 chars]"
0.9169,0.0,0.761,0.239,"We recently asked our TPG Lounge readers to share their best award flight redemptions of 2019 so far. Heres a look at some of our favorite answers. (Some responses have been lightly edited for style and clarity).
Redemptions to Hawaii, Nassau and Europe
Whe… [+6388 chars]"
-0.128,0.059,0.892,0.049,"Police have seized 35 guns and made 30 arrests in a security sweep of Don Muang ahead of the 35th Asean Summit in Bangkok next month. Thailand is this year's chair of the regional bloc.
Metropolitan Police Division 2 conducted the raids in communities from O… [+772 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3584 chars]"
-0.1298,0.107,0.831,0.062,"Crystalline semiconductors exhibiting innate low lattice thermal conductivity (l) are technologically very important for the development of thermal barrier coatings, thermal data-storage devices, and high-performance thermoelectrics. Here, using first-princip… [+916 chars]"
0.296,0.0,0.951,0.049,"Miley Cyrus went on Instagram Live on Sunday evening to share her experiences in the dating world. Earlier this year she split with her husband Liam Hemsworth, then began dating Kaitlynn Carter. Cyrus has since started a relationship with Cody Simpson, and du… [+2963 chars]"
0.1912,0.129,0.708,0.163,"It’s too early to say how well Istanbul’s new international airport will age, but as of now it looks great. Behemoth yet strangely tranquil, I found both the arrival and departure areas quite painless…albeit a tad annoying.
Arrival
I arrived in the afternoo… [+2605 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3660 chars]"
0.0,0.0,1.0,0.0,"SINGAPORE: Singapore is set to host a new lithium-ion battery recycling facility.
TES, the largest e-waste recycler in the country, will be opening two such facilities with the other being in France, Senior Minister of State for Trade and Industry Koh Poh Ko… [+3964 chars]"
0.3818,0.0,0.923,0.077,"Team V.R | 27 October 2019 | 56 MB
 Included:AB_LM v1.6.5 - AB Loudness MatchAMM v1.0.7 - Automatic Microphone MixerCS-3301 v1.6.0 - Channel StripCS-5501 v1.3.2 - Extended Channel StripdEQ6 v2.1.6 - Dynamic Equalizer / Multiband CompressordpMeter4 v4.1.2 - F… [+654 chars]"
0.0,0.0,1.0,0.0,"To install use this command:
pip install https://github.com/timoniq/vbml/archive/master.zip --upgrade
To add this project to your project requirements:
Simple usage example:
fromvbmlimportPatcherimporttypingfromvbml.validatorsimportValidatorManager,Abstra… [+746 chars]"
0.0,0.0,1.0,0.0,"Seasonal variation in physico-chemical parameters
The diversity of microalgae distribution is mostly influenced by seasonal variation at freshwater (Sadivayal check post S1, Perumalkovilpathi S2, Irutupallam S3) and stagnant water (Perumalkovilpathi S4, Irut… [+14049 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3263 chars]"
0.0,0.0,1.0,0.0,"LONDON, Nov. 13,  2019 /PRNewswire/ -- Fastmarkets, a leading source of pricing data for the global commodity markets, announced today that it has been selected by the London Metal Exchange (LME) as its partner to launch a Main Japanese Ports (MJP) Premium co… [+2540 chars]"
0.0,0.0,1.0,0.0,"IMAGE: Brookhaven Lab's Superconducting Magnet Division has a unique superconducting magnet (left) and research and development facility (right) for testing high-temperature superconducting cables and coils in a background magnetic field of...
 view more 
C… [+5629 chars]"
0.2732,0.0,0.945,0.055,"PRODUCT: Certain Gulfstream Aerospace Corporation (Gulfstream) Model G-IV and Model GIV-X airplanes.
ACTION: Final rule
SUMMARY: This AD was prompted by a revision to the airworthiness limitations section (ALS) of the aircraft maintenance manual (AMM) based… [+765 chars]"
-0.8176,0.237,0.702,0.061,"Con-artist fined for potty mouth
A crafty auntie who duped sympathetic Thais out of their hard-earned money by spinning a sob story about how a thief had made off with her belongings has fallen victim to her foul mouth rather than her duplicitious ways after… [+8619 chars]"
-0.5574,0.147,0.757,0.096,"Coxs Bazar: Aseans failure to help repatriate Rohingya refugees from Bangladesh this year should be a lesson that an inclusive approach would be key to handling the crisis and ensuring the refugees would voluntarily return to Myanmar, rights groups have said.… [+1939 chars]"
0.1027,0.053,0.885,0.062,"Citation: Bouain N, Korte A, Satbhai SB, Nam H-I, Rhee SY, Busch W, et al. (2019) Systems genomics approaches provide new insights into Arabidopsis thaliana root growth regulation under combinatorial mineral nutrient limitation. PLoS Genet 15(11):
 e1008392.… [+62015 chars]"
