compound,negative,neutral,positive,text
0.1007,0.05,0.893,0.057,"Disruption is happening everywhere! It is the new world mantra. Everyone is thinking about new things, innovation as we come to know it. We are in an age where new technologies are replacing old ways of doing things; nothing is the same again. From self-drive… [+5171 chars]"
0.929,0.0,0.684,0.316,"Abstract
In the field of allpolymer solar cells (allPSCs), all efficient polymer acceptors that exhibit efficiencies beyond 8% are based on either imide or dicyanoethylene. To boost the development of this promising solar cell type, creating novel electronde… [+1116 chars]"
-0.5848,0.076,0.924,0.0,"Whew, what a game. Im still hoarse from yelling! But, our Bears did what needed to be done and pulled out the W. I feel bad for the Tech fans (sarcasm intended) driving the 6.5 hours back to Lubbock after the loss...bless their hearts. 
Tailgating crashing w… [+1902 chars]"
0.2263,0.036,0.907,0.057,"Facebooks Libra has been a wake-up call for central bankers. Now one such official Gabriel Soderberg of Swedens Riksbank says cross-border payments are where policymakers need to play catch-up.
Libra showed there is a demand for something that central banks … [+3559 chars]"
-0.7783,0.144,0.833,0.023,"Six Bulgarian football fans were detained in Sofia on Wednesday for the racial abuse of English players at the Euro 2020 qualifier on Monday, with UEFA announcing an immediate inquiry into the matter and Bulgarian Football Union president Borislav Mihaylov re… [+3525 chars]"
0.0258,0.043,0.912,0.045,"Kim Do Wan participated in an interview and photo shoot with bnt where he talked about his latest work, JTBCs Moments of 18, his role model, and his goals for the future.
When asked what it was like working with Ong Seong Wu on the drama, as the two actors a… [+1278 chars]"
0.2263,0.036,0.907,0.057,"Facebooks Libra has been a wake-up call for central bankers. Now one such official Gabriel Soderberg of Swedens Riksbank says cross-border payments are where policymakers need to play catch-up.
Libra showed there is a demand for something that central banks … [+3732 chars]"
0.0,0.0,1.0,0.0,"Song Ji Eun marked the end of her hiatus with a colorful pictorial with BNT International.
On October 18, the publication released photos of the singer-turned-actress posing in three different concepts for fall.
In the accompanying interview, Song Ji Eun be… [+4151 chars]"
0.6239,0.0,0.915,0.085,"On November 6, BNT International released photos from BDCs first pictorial!
In the accompanying interview, the members introduced themselves and the group.
Im Kim Si Hun, whos the charming leader in charge of dance in the group, he said. Hong Seong Jun stat… [+2433 chars]"
0.5994,0.0,0.871,0.129,"Thermal-stable dielectric capacitors with high energy density and power density have attracted increasing attention in recent years. In this work, (1 x)Bi0.5Na0.5TiO3xNaTaO3 [(1 x)BNTxNT, x = 00.30] lead-free relaxor ferroelectric ceramics are developed for c… [+1085 chars]"
-0.3164,0.106,0.835,0.058,"Former Produce X 101 contestants and OUI Entertainment trainees Kang Seok Hwa, Hidaka Mahiro, and Wang Jyun Hao recently participated in an interview and photo shoot for bnt!
In the interview that followed the photo shoot, the three trainees spoke about thei… [+2557 chars]"
0.6249,0.049,0.814,0.137,"(Bloomberg) -- Bulgarias ruling party is headed for its first-ever runoff in elections for the countrys capital city, signaling a weakening position for Prime Minister Boyko Borissov.
Sofia Mayor Yordanka Fandakova won 35% of votes in Sundays ballot, with Ma… [+994 chars]"
0.5106,0.0,0.922,0.078,"Historically, buying small-cap stocks into year-end has been savvy because of the ""January Effect"", a period of strong excess performance by small-cap stocks that stretches from mid-December through the following May. Over the past decade, the median return o… [+9193 chars]"
0.0,0.0,1.0,0.0,"The Ethereum (ETH) network was not really rolled back after the DAO hack, explained the projects co-founder, Vitalik Buterin. Instead, the record was altered in the state of the DAO.
The “Surgical Intervention” Did Not Roll Back General Transactions
Innocen… [+3120 chars]"
0.5187,0.0,0.898,0.102,"Visit the website of any stock exchange platform, like the Nasdaq or the New York Stock Exchange, and the listing fees for new companies are there to see. There is hardly any controversy when it is clearly stated like this, but the same cannot be said for the… [+9467 chars]"
0.6597,0.052,0.764,0.185,"Free
 Published Online: 22 October 2019
Appl. Phys. Lett. 115, 173902 (2019);
 https://doi.org/10.1063/1.5121894
Pyroelectric energy harvesters based on lead-free ceramics cannot meet the requirement for practical applications due to their low energy conv… [+26872 chars]"
0.6597,0.052,0.764,0.185,"Free
 Published Online: 22 October 2019
Appl. Phys. Lett. 115, 173902 (2019);
 https://doi.org/10.1063/1.5121894
Pyroelectric energy harvesters based on lead-free ceramics cannot meet the requirement for practical applications due to their low energy conv… [+26872 chars]"
-0.4003,0.059,0.941,0.0,"Advertisement
Disruptions happen everywhere! It is the mantra of the new world. Everyone thinks about new things, innovations, how we get to know them. We are at a time when new technologies are replacing old methods. nothing is the same again. From self-dri… [+5346 chars]"
0.0,0.0,1.0,0.0,"DETROIT, Oct. 22, 2019 /PRNewswire/ -- To date, cryptocurrency exchanges and decentralized financial markets have grown alongside each other with little overlap. That's about to change. 
Now, through a partnership with Cryptowatch and Totle, you can use Krak… [+3354 chars]"
0.4939,0.0,0.924,0.076,"Joshua Pynadath, Gilbert Fuentes, and Noah Jones headline the U.S. Under-17 Men’s National Team roster for the upcoming Nike International Friendlies competition.
The tournament will run from November 14th-18th in Lakewood Ranch, Fla. and will also feature t… [+3205 chars]"
