compound,negative,neutral,positive,text
0.8689,0.045,0.735,0.22,"My friend and frequent collaborator, Brian Eno, read my piece about the encouraging rise in divestment from fossil fuels and took issue with my concerns regarding the safety of nuclear power. His argument is a good oneI, too, have read that nuclear is the onl… [+4301 chars]"
0.8555,0.0,0.788,0.212,"With similar sensations to those evoked by a sun-soaked daydream, Odessa’s latest single “Live On” carries a message of empowerment. Through the California native’s lyrics and bright sonic palette, the song basks in opportunity and celebrates shedding limitat… [+206 chars]"
-0.2263,0.085,0.849,0.066,"Dozens of musicians have signed an open letter addressing claims of hypocrisy levelled at artists who speak out about the climate crisis. Among the musicians, label heads, festival directors, actors, and other public figures to sign the letter are Thom Yorke,… [+1443 chars]"
0.6124,0.0,0.889,0.111,"Sam Smith delivered on their promise of new music Friday by dropping a cover of a disco classic. 
Smith teamed up with longtime collaborator Guy Lawrence of Disclosure for a revamped take on Donna Summer’s “I Feel Love.” Commissioned for a Target holiday cam… [+1567 chars]"
0.4215,0.045,0.84,0.116,"Many years ago, Brian Enocalled dub legend Lee Scratch Perry one of the geniuses of recorded music. Now, the two have collaborated for a new song called Here Come the Warm Dreads. The name is a play on the title track from Enos 1974 record Here Come the Warm … [+1143 chars]"
-0.6142,0.131,0.869,0.0,"There's no mention of a corresponding update to the 13-inch model, although that's not surprising. Apple only just updated the smaller laptop in July -- it's a bit soon for a refresh, let alone a major one. And while Intel does have 10th-generation laptop chi… [+555 chars]"
-0.8074,0.211,0.734,0.055,"""Whatever you find weird, ugly, or nasty about a medium will surely become its signature,"" writes Brian Eno in his published diary A Year with Swollen Appendices. ""CD distortion, the jitteriness of digital video, the crap sound of 8-bit all these will be cher… [+3787 chars]"
0.5165,0.054,0.822,0.124,"When people hear Anna-Maria Hefele sing, they wonder how she does it, and not just because of her impressive traditional chops. ""While most of us struggle to voice one clear, distinct note,"" writes the Independent's Christopher Hooton, the polyphonic overtone… [+3174 chars]"
0.1027,0.057,0.857,0.086,"Here we have a meeting of two geniuses responsible for transforming the way many of us hear music. Dub legend Lee “Scratch” Perry has teamed with glam pioneer-turned-ambient icon Brian Eno on a new track called “Here Come The Warm Dreads.” Sadly, it is not a … [+1218 chars]"
0.0,0.0,1.0,0.0,"Coldplay are releasing a double album on November 22, the BBC reports. In a letter to fans, the band wrote, for the last 100 years or thereabouts we have been working ona thing called Everyday Life. The note continues, in the classifieds you might write doubl… [+691 chars]"
0.5267,0.0,0.911,0.089,"Every so often, Jimmy Kimmel takes his late-night talk show east, taping a week of shows at the Brooklyn Academy Of Music. When he does that, he likes to invite New York luminaries onto his show. On Monday night, he got a sit-down audience with Bruce Springst… [+1918 chars]"
0.0,0.0,1.0,0.0,"Eartheater
So many artists, so little time. Each week we review a handful of new albums (of all genres), round up even more new music that wed call indie, and talk about what metal is coming out. We post music news, show recaps, track premieres, and more all… [+7935 chars]"
-0.4767,0.063,0.937,0.0,"Roxy Music singer and mastermind Bryan Ferry grew up in the sooty industrial North. His father tended to pit horses in the local mine in Washington, where the glum employment options for men were the mine or the steel factory. Roxy Music keyboardist and troub… [+11558 chars]"
0.7845,0.0,0.835,0.165,"From a meditative tune to an effervescent disco banger, our favorite tracks from this week Fiona Apple: The Whole of the Moon Five years after Fiona Apple wrote and recorded “ Container ” for the opening credits of Showtime’s The Affair, she’s contributed ano… [+4260 chars]"
0.6486,0.0,0.862,0.138,"<ul><li>Capcom Store Tokyo has a lot of amazing merchandise.</li><li>There's a perfume collection featuring various Capcom games. </li><li>The perfumes seem to be exclusive to the Capcom Store Tokyo launch. </li></ul>
Capcom is a somewhat eccentric company a… [+2277 chars]"
0.6369,0.0,0.887,0.113,"Lee “Scratch” Perry reunited with former collaborator and fellow dub innovator Adrian Sherwood for this year’s Rainford, and now they’re releasing a dub version of the album titled Heavy Rain. The record also features some special guests, like Brian Eno who c… [+1545 chars]"
0.9008,0.0,0.781,0.219,"FYI: If you sign up for a MasterClass course by clicking on the affiliate links in this post, Open Culture will receive a small fee that helps support our operation.
To have watched some of the greatest film and television in the last thirty-five years is to… [+3191 chars]"
0.5859,0.039,0.827,0.134,"For decades we've been hearing promises about how communication technology will one day eliminate distance itself, making everyone around the globe feel as if they might as well be in the same room. Such a future would have its downside as well as its upside,… [+2890 chars]"
