compound,negative,neutral,positive,text
-0.0258,0.106,0.79,0.104,"The same update also brings unspecified ""camera quality improvements"" to Pixel 4 owners, while those with older models also see improvements for Google Assistant's hotword, Xbox Bluetooth controller mapping and problems with getting stuck during the boot proc… [+156 chars]"
0.4215,0.0,0.938,0.062,"Nicolas Pepe has scored three goals in 12 appearances since joining Arsenal for a record fee in the summer
Substitute Nicolas Pepe rescued Arsenal with two sublime free-kicks in the last 10 minutes of their Europa League group game against Vitoria Guimaraes … [+1120 chars]"
0.6597,0.0,0.841,0.159,"But those looking for a casual night of comedy might want to read the fine print before attending. The tickets come with a host of stipulations: Not only will the performances be phone-free experiences (Yondr cases will be provided and required, an increasing… [+1343 chars]"
0.5106,0.0,0.924,0.076,"Image copyrightAmazon StudiosImage caption
 Jillian Bell takes on her first lead role as Brittany
In an era of body positivity, the film Brittany Runs A Marathon would, on paper, seem completely off message.
Stripped back, it's a story of a plus-sized, sha… [+7976 chars]"
-0.4939,0.107,0.825,0.069,"Quittin your job can feel great, but before you tell off that coworker who always annoyed you, kick your feet up and do nothing for two weeks, and ride off into the sunset, you should take a quick moment to think about what you want to take with you. No, prob… [+6870 chars]"
0.9428,0.0,0.729,0.271,"If the trailer for Netflix's Let It Snow makes you think the words ""teen Love Actually,"" you're not wrong and you're in for a treat. Based on the 2008 novel by John Green, Maureen Johnson, and Lauren Myracle, Let It Snow tells three loosely interwoven love st… [+667 chars]"
0.8689,0.0,0.795,0.205,"If movies have taught us anything, it's that the holidays are a make-or-break time for all kinds of love. The season for romantic Hail Marys starts the day after Halloween (or earlier, depending on which department store display you ask), and from then on its… [+4024 chars]"
0.2023,0.0,0.965,0.035,"DJI just announced the latest member of its Mavic line, and it is tiny. The foldable Mavic Mini is roughly the size of three smartphones stacked on top of each other and weighs just 249 grams. Thats just light enough to mean you dont have to register a Mavic … [+2349 chars]"
0.4215,0.046,0.853,0.101,"Google recently announced that its letting loose a brand-new domain name.newwhich comes with one clever hitch. Those purchasing one have to use it to create a shortcut to an activity, action, or app. Or, to put it in Google terms, All .new domain names must b… [+1289 chars]"
0.0,0.0,1.0,0.0,"November
11, 2019
6 min read
This story appears in the 
October 2019 
issue of
Green Entrepreneur. Subscribe »
A few years ago, edibles started showing up in the last place anyone wanted to see them. The obituaries. 
First, 19-year-old student Levy Th… [+6220 chars]"
0.0,0.0,1.0,0.0,"DUBAI/ABU DHABI (Reuters) - Analysts provided wide valuation estimates for Saudi Aramco, ranging between $1.2 trillion and $2.3 trillion, fund managers who have seen research notes said, as the oil giant kick-started its initial public offering (IPO) on the l… [+1891 chars]"
0.0,0.0,1.0,0.0,"WASHINGTON (Reuters) - U.S. President Donald Trump on Friday said he was not concerned about the impeachment inquiry as House Democrats prepare to kick off public hearings next week, dismissing witnesses’ testimony transcripts released by Congress so far. 
T… [+264 chars]"
0.0,0.0,1.0,0.0,"(Reuters) - Saudi Arabia’s state oil company finally kick-started its initial public offering (IPO) on Sunday, announcing its intention to list nearly four years after Crown Prince Mohammed bin Salman first floated the idea. 
Here are the key events on Aramc… [+6601 chars]"
0.5994,0.0,0.883,0.117,"WASHINGTON (Reuters) - The U.S. House Intelligence Committee will kick off a series of open hearings in its impeachment inquiry into Republican President Donald Trump next week, the panel’s Democratic chairman said on Wednesday. 
William Taylor, the top U.S.… [+345 chars]"
0.0,0.0,1.0,0.0,"LG today announced that it will let G8 ThinQ owners in South Korea ""preview"" the upcoming Android 10 soon. While the Android 10 'preview program' for G8 ThinQ will launch later this month, owners of the LG V50 ThinQ will have to wait until next month for the … [+990 chars]"
0.0,0.0,1.0,0.0,"A week after kicking off the Android 10-based One UI 2.0 beta program for the Galaxy S10 series smartphones, Samsung has now announced that the Galaxy Note 10 beta program is ""coming soon."" The post on Samsung's Korean Community forums seems to suggest the ro… [+948 chars]"
0.7985,0.068,0.718,0.214,"It's much, much easier to throw a very bad first pitch than it is to throw a memorable one. Just ask 50 Cent, or this fan.
Simone Biles doesn't have to worry, though. Three years ago, the decorated Olympian proved her awesome pitch-throwing credentials, and … [+188 chars]"
0.6101,0.0,0.898,0.102,"The flavor profile of the Thanksgiving meal hasnt changed much over the years, but that doesnt stop the endless parade of wine pairing guides that appear each November. I dont know why were still talking about this, as I solved this riddle last yearthe only w… [+1312 chars]"
0.5267,0.0,0.914,0.086,"November is already here, which means that Black Friday will be here before we even know it. There are already a ton of deals to be had, including a bunch of 'Happy HoliDeals' offers that are running right now, but Amazon has just taken the wraps off of some … [+1873 chars]"
