compound,negative,neutral,positive,text
-0.1022,0.06,0.887,0.052,"Professional chefs get to work with some of the best equipment on the market it is their job but for the average home cook, shelling out hundreds of dollars for knives, pans and other cooking essentials just isnt realistic. Thankfully, there are quality tools… [+8122 chars]"
0.9284,0.034,0.682,0.284,"Passport Freebies!
I wanted to give you two free videos that we released to Stuck In Customs Passport Members earlier this year! This is obviously an incentive to get you to join. When you do, you’ll get fresh videos every Sunday! Also, I’d appreciate your s… [+858 chars]"
0.5849,0.061,0.799,0.139,"By May|source:Nov 3rd, 2019Video games have seen a steady evolution over time.  One of the most popular video games of all time, Counter-Strike: Global Offensive is celebrating its 20th anniversary next year.  The game is well-known for its skins, custom visu… [+1179 chars]"
-0.296,0.074,0.876,0.05,"A patient with depression once described their condition as ""being enclosed in the most narrow confined space imaginable, it was like a sack over my head."" Another said it was as if he was locked in a metal cage ""from the shoulders up,"" or in a ""mental prison… [+17916 chars]"
-0.1027,0.059,0.892,0.049,"Bendable light beams have significant applications in optical manipulation, optical imaging, routing, micromachining and nonlinear optics. Researchers have long explored curved light beams in place of traditional Gaussian beams for line-of-sight light communi… [+8510 chars]"
0.5267,0.0,0.92,0.08,"Already Denver and Oakland have passed decriminalization legislation, and Berkeley is aiming to hold their final vote by December, 2019. It's time San Francisco, the birthplace of the psychedelic revolution, become a leader in standing for justice, nature and… [+7161 chars]"
-0.8313,0.17,0.83,0.0,"We independently select these products—if you buy from one of our links, we may earn a commission.
You’ve probably heard it before: A dull knife is far more dangerous than a sharp one. With a dull knife, you could end up hacking away at something until you s… [+6020 chars]"
0.5719,0.0,0.885,0.115,"The video game industry is growing so fast that some believe it will reach over $300 billion by 2025. With billions of dollars in profit and over 2.5 billion gamers around the world, we can expect video game platforms to continue developing in 2020.Besides th… [+8497 chars]"
-0.2363,0.049,0.923,0.028,"Plot twist! In October, our typical top-of-the-charts picks were crushed by a new contender: EVA Birkenstocks. Not only are celebrities and Wirecutter staffers fans of Birkencrocs, but more than 4,000 of our readers are now, too. If you wear sandals across al… [+4210 chars]"
0.048,0.078,0.86,0.061,Welcome to the October 2019 edition of the lithium miner news. This past month saw generally slightly lower lithium prices and some forecasts that lithium prices could go even lower not helped by the recent EV sales slowdown and lithium oversupply. There was … [+27424 chars]
0.8718,0.0,0.826,0.174,"A great sale on Italian cycling shoes
If you're after new shoes for road or MTB riding then DMT makes some excellent shoes.
As one of the crucial clothing contact points with your bike, it's very important to get the right pair of shoes for not only your fe… [+2670 chars]"
0.8744,0.0,0.785,0.215,"Edward Snowdens book tour took him this week to the Joe Rogan Experience, the popular podcast for MMA and DMT enthusiasts, where the former NSA agent shared what he found about aliens after snooping around the governments most secret intelligence networks. Th… [+2301 chars]"
-0.7783,0.18,0.82,0.0,"Galaxy Resources (OTCPK:GALXF-7.4%) will scale back operations at its Mt Cattlin mine in 2020 and is expected to reduce the amount of material mined by ~40%, amid pressure from weak pricing and lower than expected demand from China.
The Mt Cattlin operation … [+483 chars]"
0.7351,0.087,0.718,0.195,"A teenage boy has admitted supplying Ecstasy to a talented 15-year-old show jumper who later died.
The youth, who was 14 at the time but is now 16 years old, dealt the Class A drug to horse loving teen Hannah Bragg before she collapsed.
The teen, who cannot… [+3195 chars]"
0.4215,0.0,0.941,0.059,"Joe Rogan, popular podcaster and DMT Inquisitor, scored one of his biggest gets yet when he was able to hook Edward Snowden for a marathon, 3-hour conversation that covered a wide range of topics.
Snowden talks about what you might expect -- what is life lik… [+1414 chars]"
-0.7184,0.124,0.854,0.022,"Our brains are programmed to stop us dwelling on thoughts of our own deaths, scientists believe.
The brain processes information about death as something more likely to happen to others than ourselves, the authors of a study due to be published in the journa… [+2473 chars]"
0.0,0.0,1.0,0.0,"FKA twigs has met her period of transfiguration. At a glance, the artwork for twigs latest effort, MAGDALENE (painted by London-based artist Matthew Stone), can be interpreted as a DMT-fueled apparition, but through the course of nine tracks, twigs raw portra… [+2945 chars]"
0.4215,0.0,0.903,0.097,"FAIRFIELD Oct 19, 2019 (Thomson StreetEvents) -- Edited Transcript of Acme United Corp earnings conference call or presentation Friday, October 18, 2019 at 4:00:00pm GMT==========================================================================================… [+32492 chars]"
-0.2263,0.054,0.946,0.0,"Amino-functionalized nucleosides are key fragments for the development of antiviral agents, nucleic acids technologies, and bioconjugates. While the introduction of aza-functionalities at the 5-position is relatively straightforward because of the limited eff… [+15186 chars]"
0.0,0.0,1.0,0.0,"The Lowdown:FKA twigs has met her period of transfiguration. At a glance, the artwork for twigs’ latest effort, MAGDALENE (painted by London-based artist Matthew Stone), can be interpreted as a DMT-fueled apparition, but through the course of nine tracks, twi… [+4545 chars]"
