compound,negative,neutral,positive,text
0.8553,0.0,0.798,0.202,"this week’s instagram worthy account is full of some truly inspirational interiors. we’re viewing author, photographer, and interior stylist @idamagntorn who’s based in both paris and sweden (lucky gal!). ida magntorn has several books out including home stor… [+334 chars]"
0.0,0.0,1.0,0.0,"PSTET 2018 will be conducted on December 15, 2019. File Photo
PSTET 2018: The Punjab School Education Board (PSEB) will conduct the state Teacher Eligibility Test (TET) 2018 on Sunday, December 15, 2019. The application process for the TET has started on Sun… [+1402 chars]"
-0.3818,0.091,0.872,0.036,"The problem is not expected to be resolved until 6am on Thursday, said the Swedish Transport Administration, which urged travellers to keep an eye on their departure for more information.
All trains on the route are affected by the delays and cancellations, … [+604 chars]"
0.4215,0.0,0.935,0.065,Spelstudion Artix Entertainment har meddelat att heavy metal-bandet Alice in Chains kommer att gästspela i deras MMORPG-spel AdventureQuest 3D den här månaden. Det är andra gången en digital version av ett rockband dyker upp i spelet efter det att Korn tidiga… [+672 chars]
-0.5719,0.133,0.867,0.0,"NEW DELHI: The officers of the Indian Telecommunication Services (ITS) have demanded the Centre to repatriate them from the state-owned telecom companies Bharat Sanchar Nigam Limited and Mahanagar Telephone Nigam Limited (MTNL), and sought to widen the select… [+2484 chars]"
-0.6597,0.122,0.878,0.0,"This article is available to Members of The Local. Read more Membership Exclusives here.
More than 62,000 drivers are involved in wildlife accidents on Swedish roads every year, according to official statistics by the National Wildlife Accident Council, and … [+1940 chars]"
0.5106,0.0,0.927,0.073,"With her symbolic gesture of putting on an Islamic veil during an overseas visit, Crown Princess Victoria, the eldest child of King Carl XVI Gustaf and the heir apparent to the Swedish throne, has sparked strong republican feelings.Swedish Crown Princess Vict… [+3647 chars]"
0.0,0.0,1.0,0.0,"För att tjäna pengar visar vi annonser, så kallade banners. Vi har ett annonssystem som håller reda på om ni har sett annonsen eller inte, hur många gånger och om ni har klickat på den. Vi sparar ingen personlig information om dig i annonssystemet. Retargetin… [+949 chars]"
0.4003,0.0,0.944,0.056,"Toppa laget! väser jag i örat på tränaren. 
 Aldrig, alla ska få spela, svarar tränaren, en ovanligt sympatisk och klok man som avskyr när små barn behandlas olika inom idrott. 
Jag är på min allra första cup som fotbollsmamma och det kan möjligen ha lockat… [+1312 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
TerraForm Power (NASDAQ:TERP)Q3 2019 Earnings CallNov 12, 2019, 9:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good day, ladies an… [+27711 chars]"
-0.6249,0.093,0.907,0.0,"According to recent statistics, 94 percent of immigrants who've arrived in Sweden since the migrant crisis of 2015, rely on state benefits.The government-run website Sweden.se has landed in hot water for marketing Sweden abroad as a place where immigrants can… [+4518 chars]"
-0.5859,0.118,0.882,0.0,"A skewed gender balance among animals which have been stuffed and placed in museums can lead a distorted picture about the species, Dagens Nyheter, one of Sweden's largest dailies has warned, its journalistic focus sparking netizens' wide disbelief.According … [+2718 chars]"
0.0,0.0,1.0,0.0,"This article is available to Members of The Local. Read more Membership Exclusives here.
Almost all trains heading to and from southern Sweden pass through or into Stockholm via the so-called getingmidjan the famously narrow railway linking together Stockhol… [+2772 chars]"
0.0,0.0,1.0,0.0,"Brynäs underpresterar rejält och pressen är stor på spelarna inför mötet med nykomlingen Oskarshamn. IKO har allt att vinna och den lågt streckade tvåan känns bra att ta med. 
Kupongen har två klara favoriter i Luleå och Frölunda. Jag litar på Luleå som tar … [+455 chars]"
-0.4404,0.062,0.938,0.0,"A railroad switch between Flemingsberg and Södertälje, south of central Stockholm, was damaged early on Monday morning, and will now need to be changed. This is going to affect train traffic significantly in the meantime.
""We will be driving on one of the tw… [+1496 chars]"
0.3612,0.0,0.94,0.06,"The government on Thursday announced the decision to grant 33.5 million kronor to the Swedish Association of Local Authorities and Regions (SKL) to develop the 1177 Healthcare Guide (Vårdguiden), a website where people can find out information about different… [+1412 chars]"
0.4215,0.0,0.933,0.067,"Seinfeld
Foto: United Archives GmbH / Alamy Stock Photo
1. Yada, yada, yada.... Den nihilistiska 90-talsserien Seinfeld skapades av Jerry Seinfeld tillsammans med Larry David som senare fick en hit med en egen tv-serie. Vilken? 
Community
Parks and recrea… [+3134 chars]"
0.0,0.0,1.0,0.0,"Vi använder cookies för att förbättra funktionaliteten på våra sajter, för att kunna rikta relevant innehåll och annonser till dig och för att vi ska kunna säkerställa att tjänsterna fungerar som de ska. Läs mer i vår cookiepolicy."
0.0772,0.142,0.672,0.186,"Mats Löfving, head of the police's national operations department Noa, on Sunday ordered police to treat the wave of violent crime in recent weeks as a so-called ""special national incident"".
This means creating a temporary task force that is given increased … [+2186 chars]"
