compound,negative,neutral,positive,text
0.743,0.0,0.858,0.142,"Michael R. Bloomberg flew to Arkansas on Tuesday morning to personally file paperwork to become a presidential candidate in the states Democratic primary, sending a highly public signal about his strong interest in entering the 2020 race.
Mr. Bloomberg arriv… [+733 chars]"
-0.7351,0.165,0.782,0.053,"Good morning.
(If you dont already get California Today by email, heres the sign-up.)
Once again, fires and power outages sowed chaos across much of California on Tuesday.
Thousands of people were still out of their homes as the Kincade fire raged in the N… [+733 chars]"
-0.8658,0.188,0.812,0.0,"A hunter in northern Arkansas has died after he shot a deer that then got up and attacked him, according to the Arkansas Game and Fish Commission.
The attack happened around 6:30 p.m. Tuesday in Marion County, Ark. after Thomas Alexander, 66, shot a buck wit… [+1141 chars]"
0.3818,0.0,0.947,0.053,Thats how the world works. A lot of people get opportunities because of who their parents are. Cindy Crawfords daughter is now a model. Andrew Cuomo's father was the governor of New York before him. And do you think Harry Potter would have gotten all that att… [+2974 chars]
0.0,0.0,1.0,0.0,"Liturgythe Brooklyn-based black metal band led by Hunter Hunt-Hendrixhave surprise-released a new album, H.A.Q.Q. Stream it below. H.A.Q.Q. stands for Haelegen above Quality and Quantity and, according to a press release, represents Hunt-Hendrixs uniquely mar… [+500 chars]"
0.0772,0.051,0.892,0.057,"I noticed that it was that time of the century and made a mashup up the film’s legendary intro, complete with Vangelis’s soundtrack, with real contemporary footage of LA. The main difference is, of course, what’s on fire. LA, November 2019: smoking hot, yes, … [+1633 chars]"
-0.4724,0.099,0.86,0.041,"Hey, you! Yeah, you all in the ceremonial robes about to perform a sacrifice in the name of the Almighty Blob! Stop it right now! Also, you over there, building the blob survival shelter. You may also stop.
This has gotten out of control. I know you all read… [+4967 chars]"
-0.4588,0.064,0.936,0.0,"Source: 343 Industries
In our last article, we went over the events of Halo 5: Guardians, in which Cortana returned and, with control of the Domain and of the Guardians, began to subjugate the galaxy and establish her rule, arguing that ""Created"" artificial … [+14172 chars]"
0.4215,0.0,0.93,0.07,"Enlarge/ A stand of TikTok (Douyin) at The First International Artificial Products Expo Hangzhou on October 18, 2019 in Hangzhou, China.
5 with 5 posters participating
A week after members of Congress expressed concern about Chinese ownership of popular sho… [+3586 chars]"
0.0772,0.051,0.892,0.057,"I noticed that it was that time of the century and made a mashup up the film's legendary intro, complete with Vangelis's soundtrack, with real contemporary footage of LA. The main difference is, of course, what's on fire. LA, November 2019: smoking hot, yes, … [+1868 chars]"
0.0,0.0,1.0,0.0,"Indeed, the Wolves from the Ark have just been set afloat! So set your old tools aside because a digital revolution is about to begin."
0.0,0.0,1.0,0.0,Junya Watanabe MAN joins military specialists Air Ark (civilian brand of Arktis) for a storm-ready canvas parka. The coat is made from Air Ark’s resin-treated cotton fabric and sees familiar Junya Watanabe MAN patchwork detailing in the form of corduroy pocke… [+416 chars]
-0.6908,0.16,0.792,0.048,"In the latest edition of Ordinary Adventures, Peter &amp; Kitra return to Star Wars: Galaxy’s Edge in Disneyland Resort to investigate a new mystery… a mysterious artifact in Dok Ondar’s Den of Antiquities has gone missing.
Where has the Lost Ark from the In… [+565 chars]"
-0.4404,0.062,0.938,0.0,"The old town of Nessebar is near-enough an island: a half mile of weathered wooden fishing houses with terracotta-tiled roofs that sit atop a rocky head, strung to the Bulgarian coast by only a narrow land bridge. It’s also a dense stack of ruins layered on t… [+10850 chars]"
-0.8658,0.22,0.78,0.0,"In a letter to Apple CEO Tim Cook on Friday, a bipartisan group of legislators criticized the tech company for having removed an app from its App Store that aided pro-democracy protesters in Hong Kong.
The lawmakers highlighted Apple’s hypocritical failure t… [+2085 chars]"
-0.0129,0.114,0.753,0.133,"If youre in the mood for an intelligent, unconventional thriller of sorts, get out on the town and treat yourself to Bong Joon-Hos Parasite. Come for the promise of nail biting class tension, struggle and all-out war, but stay for the interpersonal relationsh… [+3360 chars]"
0.5542,0.0,0.834,0.166,"Target RedCard entitles you to 5% off most items, free shipping for online orders, and an extended return period."
