compound,negative,neutral,positive,text
0.6705,0.042,0.785,0.173,"The ubiquity of APIs and cloud solutions have opened up a world of interesting ways for businesses to create a service without having to build every part of it themselves. But they have unleashed something else, too: an increased risk of breaches resulting fr… [+4730 chars]"
0.743,0.0,0.847,0.153,"Dactyl gets more dexterous
Photo: OpenAI
Artificial intelligence research organization OpenAI has achieved a new milestone in its quest to build general purpose, self-learning robots. The groups robotics division says Dactyl, its humanoid robotic hand first… [+10479 chars]"
0.7346,0.048,0.78,0.172,"New technologies have the potential to make supply chains more efficient and more transparent than ever before. Unfortunately, implementing the right technologies in the right way is often easier said than done. Here are tips for selling smart supply chain so… [+6429 chars]"
0.6808,0.055,0.746,0.2,"Gartner research has announced 10 ""strategic technology trends that will drive significant disruption and opportunity over the next 5 to 10 years."" And the trends include ""hyperautomation"" -- applying advanced technologies like AI and machine learning to task… [+2806 chars]"
0.6705,0.0,0.891,0.109,"With plenty of mics and cameras at disposal, AI has gotten good at seeing and listening. But one human sense it hasnt got around much is smell. Now, researchers at Google are trying to develop a neural network that helps an AI identify the smell characteristi… [+1977 chars]"
0.5859,0.0,0.873,0.127,"Microsoft and Massachusetts-based conversational AI firm Nuance are working together to accelerate the delivery of ambient clinical intelligence (ACI) — a suite of tech solutions that gather information from patient-clinician conversations, which is input dir… [+3873 chars]"
0.0,0.0,1.0,0.0,"Presented by Dialpad
There’s a new workplace reality, and it demands the kind of digital transformation too many businesses are dragging their feet in addressing. Work has become agnostic in device and location, with employees increasingly working remotely o… [+4568 chars]"
0.7351,0.053,0.771,0.176,The mind-bending calculations required to predict how three heavenly bodies orbit each other have baffled physicists since the time of Sir Isaac Newton. Now artificial intelligence (A.I.) has shown that it can solve the problem in a fraction of the time requi… [+1085 chars]
0.2732,0.0,0.951,0.049,"October
28, 2019
5 min read
Opinions expressed by Entrepreneur contributors are their own.
For most of us, online interactions slowly became an accepted norm. For children who were born into it, online interactions are the norm. While social networks, mes… [+4536 chars]"
-0.7845,0.144,0.822,0.034,"With the decade winding down its time for us to set our sights on the next one. The 2020s promises to be anything but dull. From the automation revolution and increasingly dangerous AI to geohacking the planet and radical advances in biotechnology, here are t… [+20416 chars]"
0.4767,0.0,0.921,0.079,"Micron Technology said it acquired Fwdnxt, a maker of hardware and software tools for artificial intelligence deep learning applications.
When combined with Micron‘s memory chips, Fwdnxt (pronounced “forward next”) will enable Micron to explore deep learning… [+5863 chars]"
-0.1027,0.093,0.844,0.064,"November
5, 2019
4 min read
Opinions expressed by Entrepreneur contributors are their own.
Tech leader Elon Musk is known for sounding the alarm bells on the risks of artificial intelligence.
Musk has said that he believes that AI will soon manipulate so… [+4249 chars]"
0.177,0.085,0.756,0.159,Artificial Intelligence (AI) has become one of the most popular buzzwords in the IT industry today. Its boosted the confidence of tech pundits but also instilled fear in the hearts of the salaried professionals and small business owners. Some businesses belie… [+4838 chars]
0.631,0.0,0.897,0.103,"October
18, 2019
11 min read
This story originally appeared on Authority MagazineOpportunities for women in tech are opening up, but there is still a lot of room for improvement. Currently, about one in four tech jobs are held by women.
In an effort to hi… [+12098 chars]"
0.7264,0.0,0.862,0.138,"I did a double-take last week when Micron Technology, one of the world’s largest memory chip makers, acquired artificial intelligence hardware and software startup Fwdnxt.
The move could be very interesting. If it bears fruit, Fwdnxt could bring Micron into … [+8888 chars]"
0.9153,0.0,0.753,0.247,"Mozilla, the nonprofit behind the free and open-source Firefox web browser, is partnering with Montreal-based artificial intelligence startup Element AI to push for ethical use of AI.
To that effect, the two companies are exploring the idea of data trusts, a… [+3003 chars]"
-0.1072,0.078,0.808,0.114,"Extended warranties are big business. How big? A report from Research and Markets estimates the segment will reach a whopping $50.2 billion by 2026. There’s unsurprisingly merchant interest in the opportunity, but most sellers lack the know-how and bandwidth … [+3377 chars]"
0.7579,0.0,0.866,0.134,"The best part about the term “Artificial Intelligence” is that nobody can really tell you what it exactly means. The main reason for this stems from the term “intelligence”, with definitions ranging from the ability to practice logical reasoning to the abilit… [+6536 chars]"
0.7096,0.0,0.862,0.138,"If you’ve ever tried buying a bike online, or ski equipment, or any number of expensive goods where it would be useful to know a lot more than you do, you might check out Curated, a two-year-old San Francisco-based startup that wants to help busy shoppers who… [+5152 chars]"
0.0,0.0,1.0,0.0,"Human biases are well-documented, from implicit association tests that demonstrate biases we may not even be aware of, to field experiments that demonstrate how much these biases can affect outcomes. Over the past few years, society has started to wrestle wit… [+8892 chars]"
