compound,negative,neutral,positive,text
0.4019,0.0,0.935,0.065,"Budding network TRON (TRX) pitches itself as Ethereums rival, with its smart contracts, dapps, and soon-to-be developed decentralized finance (DeFi) products.
Thats where the similarities between the two projects cease. TRX doesnt have any miners, as it does… [+4660 chars]"
0.3612,0.0,0.944,0.056,"On November 12, Disney will officially launch its streaming service, Disney+, as a competitor against other major platforms like Netflix and Hulu.
 And while weve known what to expect from the streaming service for some time, in a series of 300+ tweets, Disn… [+2319 chars]"
0.296,0.0,0.949,0.051,"OSLO German auto maker Audi's fully-electric e-tron sports utility vehicle was the top-selling car in Norway last month with an 8.3% market share, according to registration data.
Audi delivered 873 electric SUVs in October, ahead of Volkswagen Golf in second… [+499 chars]"
0.4588,0.038,0.868,0.094,"The 2020 Audi E-Tron is the first in whats meant to be an ever-increasing lineup of electric Audis. If this crossover is anything to go by, its a lineup were going to like. For the time being, the E-Tron is alone.
Many Audi dealerships have E-Trons ready for… [+5854 chars]"
0.7783,0.0,0.843,0.157,"November
4, 2019
2 min read
Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the revenue from the sale from our commerce partners.
As a b… [+2137 chars]"
0.9493,0.023,0.683,0.294,"Getty Images
This story is part of Holiday Gift Guide 2019, your source for the season's best gifts and deals, hand-picked by the experts at CNET.
 When it comes to buying gifts during the holidays, it can be hard to get creative. Which is why it's helpful … [+2161 chars]"
0.5719,0.0,0.928,0.072,"Lately, headlines have been flooded with news of dark mode rolling out to more apps than ever, but Opera is looking to one-up other apps with its own take on dark mode. While Opera Mobile has offered a dark mode for some time now, this latest update improves … [+1515 chars]"
0.6369,0.0,0.885,0.115,"Following is a transcript of the video.
AJ Caldwell: Concept cars. Built by automakers for a variety of reasons, from previewing upcoming vehicles to flaunting new technology, they're a major part of the auto industry and easily one of our favorites. As expe… [+5329 chars]"
0.4767,0.0,0.905,0.095,"Photo credit: Dodge
From Car and Driver
<ul><li>Muscle Cars and Trucks noticed a 2023-mile odometer reading in press photos of the 2020 Dodge Challenger, which they and others thought could signal that the next generation's release is in 2023.
</li><li>Dod… [+1694 chars]"
0.9146,0.0,0.744,0.256,"Normally, the cast of The Daily Show would never go onstage to accept an award. That honor is reserved for the writers and producers and Im talking the regular, full-time correspondents, not just the once-a-monthers like me. This never bothered me. But tonigh… [+3524 chars]"
0.9146,0.0,0.744,0.256,"Normally, the cast of The Daily Show would never go onstage to accept an award. That honor is reserved for the writers and producers and Im talking the regular, full-time correspondents, not just the once-a-monthers like me. This never bothered me. But tonigh… [+3524 chars]"
0.5859,0.0,0.893,0.107,"2 with 2 posters participating
<ul><li>
 The Bollinger B1 electric SUV goes into production in 2020, and the 125kWh version will cost $125,000 before any tax credits or incentives. 
</li><li>
 The B2 electric pickup is identical under the skin, and the sa… [+3376 chars]"
0.802,0.0,0.813,0.187,"This vision for the future still has a steering wheel in it, thankfully.
Presented at the 46th Tokyo Motor Show, the Lexus LF-30 is a conceptual direction that embodies Lexus’ vision for the future of electric vehicles. The LF-30 gains the distinction of a B… [+2804 chars]"
0.0,0.0,1.0,0.0,"In an epic tour de force, Disney took hype for its upcoming streaming service, Disney+, to a new level Monday morning. 
Disney+ posted an ostensibly endless Twitter thread that lists of all the movies and television shows that will be available for streaming… [+18105 chars]"
0.2617,0.0,0.937,0.063,"0 with 0 posters participating
<ul><li>
 This is Audi's new lineup of TFSI e plug-in hybrid EVs. We'll be getting the A7, A8, and Q5 PHEVs in the United States, but probably not that Q7. 
</li><li>
 The first to reach America later in 2019 is the Q5 TFSI … [+7748 chars]"
0.0,0.0,1.0,0.0,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
Samsung d'light store
Samsung
Justin Sun revealed on Twitter that Tron has now been integrated on Samsungs Blockchain Keystorea space that was up until now, only reserve… [+9825 chars]"
0.0,0.0,1.0,0.0,"Tron founder Justin Sun will appear on stage at the Samsung Developer Conference on Tuesday to announce a new partnership between his crypto company and the telecom giant.
Tron will be integrated into the software development kit (SDK) of the Samsung Blockch… [+1862 chars]"
0.3182,0.0,0.946,0.054,"2 with 2 posters participating
<ul><li>
 This is the XC40 Recharge, Volvo's new battery electric crossover. It goes on sale next year at about $55,000 before you take any tax incentives into account. 
</li><li>
 You'll know it's a battery EV XC40 because … [+5375 chars]"
0.8316,0.0,0.823,0.177,"TRX and crypto gaming at large will soon enjoy a boost thanks to a new partnership between the TRON Foundation and Coingaming Group.
The immediate effect of the new alliance is the addition of the TRX cryptocurrency to Bitcasino.io and Sportsbet.io, two of t… [+3338 chars]"
