compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"The path of least resistance is to go and see if the person has a wallet on them, he said. A drivers license or medical insurance card often leads to family members, he said. 
We still need a family member to identify the body, he said.
But this simple proc… [+1090 chars]"
-0.6486,0.091,0.909,0.0,"They were a family about to break up. The police found them Wednesday night behind their apartment door in Harlem  a 5-year-old girl, her mother and father  all dead.
The 46-year-old father was hanging in one bedroom, the police said. His 42-year-old wife wa… [+417 chars]"
0.9531,0.0,0.67,0.33,"During this weekends Hearthstone Championship tournament, Canadian player Eddie Eddie Lui triumphed over Hong Kongs Lo kin0531"" Tsz Kin, winning nearly $95,000 and the title of Bucharest Master Tour Champion. He also got a lovely trophy that immediately fell … [+1540 chars]"
-0.7717,0.229,0.669,0.101,"By Lizbeth Diaz
BAVISPE, Mexico, Nov 8 (Reuters) - Angry kin of nine American citizens massacred in a suspected gangland ambush in northern Mexico urged the government to accept U.S. help to destroy drug cartels that one grieving relative described as being … [+3908 chars]"
0.6705,0.0,0.901,0.099,"Thank you for your interest in spreading the word about Science.
NOTE: We only request your email address so that the person you are recommending the page to knows that you wanted them to see it, and that it is not junk mail. We do not capture any email addr… [+3 chars]"
0.4574,0.047,0.852,0.101,"It looks like Kik hasnt quite kicked the bucket yet (heh). MediaLab just acquired the popular anonymous chat app and plans to invest in its future, according to a company blog post Friday boasting how Kik is here to stay! The app had one foot in the grave eve… [+2435 chars]"
-0.0366,0.045,0.913,0.042,"This isnt a problem when the winds arrive after the rains do. But when they arrive before the seasonal rains are able to saturate the land, as they did this year, last year and in 2017 when the Thomas Fire burned for over a month, it sets the stage for wildfi… [+1938 chars]"
0.3182,0.0,0.92,0.08,"Structured Abstract
Abstract
Recent research not only confirms the existence of substantial psychological variation around the globe but also highlights the peculiarity of many Western populations. We propose that part of this variation can be traced back t… [+18352 chars]"
0.4404,0.0,0.942,0.058,"Last month, it was announced that Kik Messenger would be shutting down as the company pivoted to focus on its Kin cryptocurrency. As it turns out, Kik Messenger will live on thanks to an acquisition by MediaLab.
The announcement was made on the Kik blog, wit… [+2084 chars]"
0.8271,0.0,0.828,0.172,"In November 1974, Pioneer 11 became the first spacecraft from Earth to visit Jupiter. Humans have likely been fascinated by this bright spot in the sky since we started looking up to the heavens, and our oldest astronomical records show regular observations o… [+4150 chars]"
0.6705,0.0,0.897,0.103,The blog post noted that MediaLab plans to keep the app alive and also outlines ideas it has to improve the app moving forward. It is noted that the acquiring company plans to partner with Kik CEO Ted Livingston and the remaining 19 team members and is still … [+909 chars]
0.8692,0.0,0.799,0.201,"TL;DR: You can save $15 to $20 on dog DNA kits from Wisdom Panel and Embark by applying certain coupon codes at checkout.
Many dogs' ancestries can be somewhat determined just by looking at them. If your stocky little pooch has a squished-in face and a heart… [+3245 chars]"
-0.0516,0.065,0.874,0.061,The Jammu &amp; Kashmir High Court on Tuesday directed three close relatives of National Conference (NC) patron Farooq Abdullah to prove their house detentions after the police denied detaining them since the August 5 decision to revoke J&amp;Ks special statu… [+1886 chars]
-0.5859,0.132,0.868,0.0,"Employees of Telangana Revenue Department who gathered to participate in funeral procession of Abdullapurmet Tahsildar Ch. Vijaya Reddy have demanded government to pay ex-gratia to her family, job for family members of her driver K. Gurunatham who succumbed t… [+1309 chars]"
-0.9517,0.321,0.679,0.0,"Three soldiers were killed and three more were hospitalized on Sunday morning after a training accident at Fort Stewart-Hunter Army Airfield in Georgia.
The soldiers, members of the 1st Armored Brigade Combat Team, were killed when the Bradley Fighting Vehic… [+1069 chars]"
-0.6369,0.129,0.871,0.0,"HALIFAX -- Nova Scotia's police watchdog is investigating after a 29-year-old man fell to his death from a Halifax bridge following a ""slow-speed pursuit"" involving municipal officers.
The Serious Incident Response Team, or SIRT, confirmed Monday it's invest… [+1149 chars]"
0.4588,0.074,0.815,0.111,"Leaders of CPI, CPI(ML) and other Left parties came together for a sand march in the city to protest against the prevailing sand shortage in the State.
Participants dug sand from the Krishna river bank and distributed it for free to the public as a form of p… [+1008 chars]"
-0.2023,0.103,0.81,0.087,"An elderly Hawaii man died after falling into a 22 feet-deep lava tube in his yard, police said.
Lava tubes are natural underground channels that allow lava to pass beneath the surface of a lava flow—sometimes miles from the eruption site. After the lava dra… [+1080 chars]"
0.0,0.0,1.0,0.0,"Whenever I generalize about Tesla and the Model 3, I often point out that although the vehicle is in many ways revolutionary, if you boil it down to its automotive essence — and take out the battery pack and electric drivetrain! — it's a Toyota Corolla.
In o… [+1352 chars]"
0.3818,0.0,0.816,0.184,"Ready for tomorrow
Fast, insight-rich analysis of news that matters to you | long-reads that outlive the news cycle"
