compound,negative,neutral,positive,text
0.0258,0.045,0.907,0.047,"Laura Lewis and her team of researchers have been putting in late nights in their Boston University lab. Lewis ran tests until around three in the morning, then ended up sleeping in the next day. It was like she had jet lag, she says, without changing time zo… [+3590 chars]"
0.4841,0.101,0.752,0.146,"Image copyrightGetty ImagesImage caption
 Michael Stipe: ""We didn't want fame, we didn't want money, we wanted to be a vital creative band"".
REM's ninth album, Monster, is the most challenging and polarising record the band ever released.
When it arrived i… [+10031 chars]"
0.6808,0.0,0.859,0.141,"Many products featured on this site were editorially chosen. Popular Science may receive financial compensation for products purchased through this site.
Copyright © 2019 Popular Science. A Bonnier Corporation Company. All rights reserved. Reproduction in wh… [+47 chars]"
0.7783,0.0,0.84,0.16,"November
12, 2019
2 min read
Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the revenue from the sale from our commerce partners.
When … [+1130 chars]"
0.0,0.0,1.0,0.0,"Less than two weeks after Google announced it was buying Fitbit, a new update has been unveiled for Fitbit's lineup of smartwatches. Fitbit OS 4.1 will be released on December 3 for the Ionic, Versa 2, Versa, and Versa Lite, and it's chock-full of new feature… [+1901 chars]"
-0.2144,0.042,0.958,0.0,"Following is a transcript of the video.
Rebecca Robbins: All right. ""Many adults need five hours of sleep or less."" Now, this is a myth.
""Loud snoring is annoying but mostly harmless.""
David Rapoport: Loud snoring is actually a sign that there is a blockag… [+14844 chars]"
0.0,0.0,1.0,0.0,"Woah, I didn't see this coming! The HTTP Archive dropped this big ""state of the web"" report called Web Almanac with guest writers exploring data from 5.8 million websites. 
Una Kravetz and Adam Argyle wrote the CSS chapter. The point is to squeeze a digestib… [+4653 chars]"
0.8658,0.0,0.793,0.207,"If youre ready for smarter app and device features, new designer accessories, and more, then guess what? Youre ready for the Fitbit Versa 2. From its elevated and thoughtfully crafted design to its 6+ day battery life, Spotify, and the always-on display mode,… [+4191 chars]"
-0.1027,0.103,0.802,0.095,"I can tell you the exact night I stopped sleeping. Thursday, August 11, 2016. Before that, I slept like a monarch in my Cal king bed. I never thought much about the subject at all. Insomnia runs in my family, my mothers side, like bad apples on the ancestral … [+7253 chars]"
-0.1027,0.103,0.802,0.095,"I can tell you the exact night I stopped sleeping. Thursday, August 11, 2016. Before that, I slept like a monarch in my Cal king bed. I never thought much about the subject at all. Insomnia runs in my family, my mothers side, like bad apples on the ancestral … [+7252 chars]"
0.0,0.0,1.0,0.0,"This fall, Tribeca became Manhattans latest art destination as multiple galleries decamped there from Chelsea. The essential nonprofit Artists Space returns to its rootsit was founded in the neighborhood, in 1972inaugurating its new home on Cortlandt Alley wi… [+2736 chars]"
0.4404,0.0,0.937,0.063,"It began with a list. Ernest Hemingway and Virginia Woolf and David Foster Wallace. Hunter Thompson, Sylvia Plath, Yukio Mishima. Writers and poets were easy to find.
Id gone without REM sleep for 200 days by then and my doctors pharmaceutical treatment had … [+5058 chars]"
-0.2057,0.047,0.953,0.0,"Polar’s Vantage series multisport watches are designed for performance-focused athletes, especially those who include running in their training. It’s not surprising to see the Vantage V and Vantage M packed with metrics for running, swimming, and everything i… [+2756 chars]"
0.4404,0.0,0.937,0.063,"It began with a list. Ernest Hemingway and Virginia Woolf and David Foster Wallace. Hunter Thompson, Sylvia Plath, Yukio Mishima. Writers and poets were easy to find.
Id gone without REM sleep for 200 days by then, and my doctors pharmaceutical treatment had… [+5078 chars]"
-0.34,0.082,0.918,0.0,"Direct Link Between Sleep and Anxiety: 
New research, published in the peer-reviewed journal Nature Human Behavior, shows an intriguing connection between deep sleep and anxiety levels. The study used functional MRI and polysomnography to scan the brains of … [+5365 chars]"
-0.34,0.082,0.918,0.0,"Direct Link Between Sleep and Anxiety: 
New research, published in the peer-reviewed journal Nature Human Behavior, shows an intriguing connection between deep sleep and anxiety levels. The study used functional MRI and polysomnography to scan the brains of … [+5365 chars]"
-0.4215,0.065,0.935,0.0,"Why sleep has restorative—or damaging—effects on cognition and brain health has been an enduring mystery in biology. Researchers think cerebrospinal fluid (CSF) may flush toxic waste out, “cleaning” the brain and studies have shown that garbage clearance is h… [+6562 chars]"
0.0,0.0,1.0,0.0,"S,M,L,XL OMA, Rem Koolhaas, Bruce Mau The Monacelli Press, December 1995 Hardcover | 7 x 9 inches | 1,344 pages | English | ISBN: 978-1885254863 | $85.00 Book Description : A mammoth compendium of 20 years of OMA's projects, arranged in order of size, S,M,L,X… [+3743 chars]"
-0.4215,0.065,0.935,0.0,"Why sleep has restorative—or damaging—effects on cognition and brain health has been an enduring mystery in biology. Researchers think cerebrospinal fluid (CSF) may flush toxic waste out, “cleaning” the brain and studies have shown that garbage clearance is h… [+6562 chars]"
0.0,0.0,1.0,0.0,"Or by snail mail:CrooksandLiars.comPO BOX 66310Los Angeles, CA 90066"
