compound,negative,neutral,positive,text
0.128,0.0,0.968,0.032,"What's TeamTrees?
TeamTrees is a project launched by a small group of high-profile YouTubers to raise money for the Arbor Day Foundation. It aims to raise $20 million by the end of 2019 to bankroll the planting of 20 million new trees between now and the end… [+4034 chars]"
-0.296,0.05,0.95,0.0,"Netflix just released its results for Q3 in 2019 (PDF), showing that it added slightly fewer subscribers (6.77 million) than the 7 million it anticipated, while still notching an all-time record for the quarter. The company cited lower retention rates in the … [+821 chars]"
0.2732,0.0,0.951,0.049,"Interior design platform Havenly is raising $32 million in new funding to create its first private label brand as the startup aims to integrate its own products into its design recommendation engine.
The Denver-startup is an online interior design consultanc… [+1468 chars]"
0.0,0.0,1.0,0.0,"Disney’s new streaming service, Disney+, doesn’t launch until mid-November, but it may have already signed up over a million customers in the U.S., according to new data from analytics firm Jumpshot, out this week. The firm, which gathers data from a panel of… [+3522 chars]"
0.5267,0.143,0.655,0.202,"Ill hand it to malware creators; theyre certainly creative. Unfortunately, if you were one of the 10+ million downloads or 40+ million users of the Android app ai.type (which is also available on Apples App Store), you just dropped some pretty unpleasant malw… [+2607 chars]"
-0.2023,0.067,0.861,0.072,"(CNN)More than 2 million pounds of poultry products have been recalled in eight states over fears of contamination with foreign matter such as metal, federal health officials said.
Arkansas-based Simmons Prepared Foods, Inc. recalled the items produced from … [+625 chars]"
0.3818,0.0,0.938,0.062,"Paidy, a Japanese financial tech startup that provides instant credit to consumers in Japan, announced today that it has raised a total of $143 million in new financing. This includes a $83 million Series C extension from investors including PayPal Ventures a… [+2342 chars]"
0.3182,0.0,0.947,0.053,"Gradeup, an edtech startup in India that operates an exam preparation platform for undergraduate and postgraduate level courses, has raised $7 million from Times Internet as it looks to expand its business in the country.
Times Internet, a conglomerate in In… [+3835 chars]"
0.0,0.0,1.0,0.0,"Electric-bike maker Cowboy recently let me spend a couple of weeks with one of their e-bikes. Its a well-designed e-bike that makes biking effortless, even if youre going uphill.
Cowboy is a Brussels-based startup. The company raised a $3 million seed round … [+5317 chars]"
0.5574,0.032,0.85,0.119,"Eight years after raising a $1.5 million proof-of-concept fund, Boldstart Ventures, a New York-based venture firm whose portfolio companies have been enjoying some serious momentum lately, just closed two new funds with $157 million in capital commitments.
O… [+4524 chars]"
-0.6705,0.116,0.884,0.0,The publisher made the call to push back them back in the wake of disappointing sales performances of Ghost Recon Breakpoint and The Division 2. CEO Yves Guillemot suggested in a conference call Ubisoft didn't wait long enough between sequels for those games … [+1747 chars]
-0.7096,0.133,0.867,0.0,"The company reported a net loss of $463.5 million in the third quarter of 2019
Illustration by Alex Castro / The Verge
Lyft lost $463.5 million in the third quarter of 2019, which was almost twice the amount that the company lost over the same period of tim… [+1942 chars]"
0.3818,0.0,0.942,0.058,"EV Connect, the Los Angeles-based company that sells software to manage electric vehicle charging, has raised $12 million in a Series B round led by investors Mitsui &amp; Co. and Ecosystem Integrity Fund.
The company has raised $25 million to date.
EV Conn… [+1765 chars]"
0.6249,0.0,0.889,0.111,"Roku is beefing up its advertising business with the acquisition of Boston-based dataxu, a demand-side platform that will allow marketers to plan, buy and optimize their video ad campaigns that run on Roku’s devices and services. The deal, a mixture of cash a… [+1518 chars]"
-0.0516,0.028,0.972,0.0,"Wheels, the startup founded by Wag founders Jonathan and Joshua Viner, just announced a $50 million round led by DBL Partners. This round brings Wheels’ total funding to $87 million.
Wheels currently operates in six markets, including San Diego, Los Angeles,… [+1629 chars]"
0.0,0.0,1.0,0.0,"Crossing the fundraisers halfway point in under a week
YouTubers have raised more than $10 million as part of a fundraiser to plant trees across the globe, meeting more than half of the goal organizers laid out last week. The initiative, called Team Trees, h… [+2921 chars]"
0.7003,0.0,0.871,0.129,"Here's a way to improve your tarnished reputation: Donate $1 million for a worthy cause. 
After a quick Twitter back and forth with MrBeast, a YouTuber known for making large donations to various causes, Elon Musk pledged to donate $1 million to #TeamTrees. … [+660 chars]"
0.6249,0.0,0.879,0.121,"The specter of a pending public charge rule which could penalize green card applicants who use public benefits like Medicaid is causing many immigrant patients to decline enrollment, according to a Kaiser Family Foundation survey of community health centers. … [+1752 chars]"
-0.4019,0.136,0.807,0.057,"Jersey City, New Jersey, residents voted overwhelmingly in favor of strict short-term rental regulations on Tuesday, putting an end to the high-profile feud between Airbnb and local officials that had engulfed the city in political turmoil in recent months. T… [+3658 chars]"
0.0,0.0,1.0,0.0,"Competition for the show was apparently fierce, with Varietyreporting that Netflix dropped out of the running in mid-October as it sought global, not just domestic, rights -- it already has some rights to the show in the UK.
The deal covers all 23 seasons, p… [+771 chars]"
