compound,negative,neutral,positive,text
0.3818,0.0,0.938,0.062,"Nixeus this week took the wraps off its latest curved ultrawide NX-EDG34 gaming display, which blends together a large size, a WQHD resolution, a 144 Hz maximum refresh rate, and AMD’s FreeSync dynamic refresh rate technology. At present, only a few monitors … [+3347 chars]"
0.3612,0.0,0.945,0.055,"Nixeus has made their EDG 34 monitor available for pre-order through several retailers. The EDG 34, like the name not-so-subtly implies, carries a 34"" diagonal panel based on VA technology. The resolution available on this panel stands at 3440 x 1440, so it h… [+905 chars]"
-0.7469,0.143,0.787,0.07,"Ask A Swole Woman is an advice column for people who are sick of clean eating, perfect gym outfits, and chiseled abs. Casey Johnston, who is not a doctor or personal trainer but isn't afraid to tell gym bros to get the hell away from her squat rack, is here t… [+11462 chars]"
0.7809,0.042,0.804,0.154,"No era in history has seen so many successful Hispanic entrepreneurs thriving as they do today.  The U.S. Census Bureau predicts that 1 in 3 Americans will be Hispanic by the year 2060. As a result, count on even more Hispanic entrepreneurial success in the f… [+8466 chars]"
0.0,0.0,1.0,0.0,"In McLaren’s world, a windshield only gets in the way between you, the open road, and 804 horsepower: how else could you explain the new McLaren Elva roadster? A new addition to the British automaker’s Ultimate Series, the Elva strips off the roof and doesn’t… [+3980 chars]"
0.0,0.06,0.88,0.06,"Superslim. The thinnest 23.8"" monitor at 4 mm. Reduced to lowest price.The ThinkVision X24-20 is an extremely slim monitor. It offers a crystal clear borderless IPS display of 1920 x 1080 resolution and NTSC color gamut, providing vivid, accurate images from … [+1580 chars]"
0.7184,0.037,0.836,0.126,"Note - Non-Touchscreen A good price drop on this model if it's one you've had you're eye on. The next best is via Argos at £179.99 (Click &amp; collect price) and that's after the eBay code from today. If it weren't for that, you'd be looking at £199.99 and t… [+1219 chars]"
0.0,0.0,1.0,0.0,"Corresponding Author
E-mail address: pbalczew@cbmm.lodz.pl
http://orcid.org/0000-0001-5981-551X
Division of Organic Chemistry, Group of Functional Materials Synthesis, Centre of Molecular and Macromolecular Studies, Polish Academy of Sciences, Sienkiewicza… [+294 chars]"
0.7717,0.0,0.835,0.165,"Boarding Announcement
“Ladies and Gentelmen, TWA is pleased to announce boarding for TWA Flight 1962 with nonstop, first class – Ambassador Service back to the year 1962.  All passengers holding tickets for flight 1962, please proceed to gate #1.  Thank you.… [+5134 chars]"
0.4404,0.0,0.903,0.097,"Oxidative rearrangement of tetrahydro--carbolines
The tricyclic spirooxindole core, in particular the spiro[pyrrolidine-3,3-oxindole], is a privileged scaffold featured in a variety of medicinal agents (anti-tumor, anti-microbial, anti-viral, and anti-malari… [+22907 chars]"
0.0,0.0,1.0,0.0,"Long gone are the days when CHS was covering two Capitol Hill design reviews per week. Wednesday night, the East Design Review Board will take up its first Capitol Hill project in over two months — and only one of two on the schedule for the rest of the year.… [+1644 chars]"
0.0772,0.077,0.822,0.101,"Round 1:The first round consisted of an on paper test, it consisted of a large quantity of sort based questions like worst case, average case etc . Good knowledge with masters theorem was also required .It was an one hour test with around 25 questions other t… [+2246 chars]"
0.6444,0.0,0.881,0.119,"With a sizzling intensity that feels almost menacing, Lankum draw deeply from the well of Ireland’s ancient music, transporting both familiar and long-forgotten tunes to surreal new heights while adding a handful of worthy originals to the canon. The Dublin f… [+2193 chars]"
0.6239,0.0,0.909,0.091,"Skip navigation!
Now ReadingDeepica Mutyala's Makeup Bag Essentials
The day Deepica Mutyalas YouTube video showing how to use red lipstick to neutralize under-eye circles went viral, she quit her job. I always wanted my own beauty brand, says Mutyala, who w… [+1041 chars]"
0.0,0.0,1.0,0.0,"A baking sheet is just one of those tools that you need in your kitchen. Whether you are baking cookies, roasting vegetables, reviving frozen foods, or making a fancy jelly roll, you need a baking sheet (also known as a cookie sheet). 
All of the baking shee… [+1696 chars]"
0.6369,0.0,0.724,0.276,"<table><tr><td></td><td>
</td><td>The Best Ad Jobs
Visit Campaign Brief for Australian creativeadvertising news</td><td></td></tr></table>"
0.0516,0.062,0.871,0.066,"I think I’ve talked about Fortnite enough here (and on Twitter) that y’all know I enjoy the game. And, assuming you weren’t living under a rock and that rock somehow also didn’t get sucked into a black hole, you’re probably aware that the game recently had a … [+8535 chars]"
0.4767,0.0,0.911,0.089,"Grab the bug spray, we’ve got another infestation on our hands. A mere 3 months since the last insect invasion hit our shores, Earth Defense Force: Iron Rain invades Steam today. It’s another one of those, absolutely, with plenty of opportunities to turn thou… [+2006 chars]"
0.4019,0.0,0.941,0.059,"The latest car in the Ultimate Series, the Elva roadster marks several firsts for McLaren: it is the brand’s first open-cockpit road car, the lightest and features several innovations, such as the Active Air Management System, which allows the driver and pass… [+19292 chars]"
