compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"8 with 7 posters participating
Tesla's next ""Gigafactory"" will be in the Berlin area, Elon Musk announced at an event in Germany on Tuesday evening. Techcrunch's Kirsten Korosec reports that Musk made the comments during an on-stage conversation with Volkswa… [+1758 chars]"
0.0,0.0,1.0,0.0,"It's getting harder to get permission to erect the turbine towers. Local regulations are getting stricter. Bavaria decided back in 2014 that the distance between a wind turbine and the nearest housing must be 10 times the height of the mast, which, given the … [+2112 chars]"
0.9001,0.0,0.761,0.239,"The Green Supply Chain Corporate Information Transparency Index (CITI), curated by non-governmental agency Institute of Public and Environmental Affairs (IPE), on Thursday named Apple the first recipient of its Outstanding Brand award for superior supply chai… [+2578 chars]"
0.0,0.0,1.0,0.0,"AviationPublished on October 14th, 2019 |
 by Jennifer Sensiba
0
October 14th, 2019 by Jennifer Sensiba 
In a recent US Patent application (h/t The Drive), we find not only a seemingly outlandish device that could change the course of human history, but a… [+5394 chars]"
-0.4019,0.083,0.872,0.045,"Amplifier designer Vinnie Rossi has the looks of a dapper clotheshorse. His gear is also stylish and eye-catching, kind of steampunk-techno. But there's substance there, too. 
Rossie's hi-fi designs have advanced over 15 years at a furious clip. The latest e… [+1172 chars]"
0.0,0.0,1.0,0.0,"PARSIPPANY, N.J.--(BUSINESS WIRE)--Wireless Telecom Group, Inc. (NYSE American: WTT), a leader in wireless communications and radio frequency instrumentation, announced it will release its third quarter 2019 financial results on Thursday November 14th, 2019, … [+1641 chars]"
0.0,0.0,1.0,0.0,"LOUGHBOROUGH, England--(BUSINESS WIRE)--CommAgility, a Wireless Telecom Group company (NYSE American: WTT), announced today the availability of its 3GPP Release 15 compliant protocol stack software for 4G and 5G product developers. This new version of CommAgi… [+4858 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
Central Puerto S.A. (NYSE:CEPU)Q3 2019 Earnings CallNov 12, 2019, 5:00 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning, and… [+14769 chars]"
0.4404,0.0,0.923,0.077,"PARSIPPANY, N.J.--(BUSINESS WIRE)--Microlab, a Wireless Telecom Group company (NYSE American: WTT) and RF Connect, have partnered to develop a new and innovative in-building GPS signal distribution system. The new system consists of an integrated GPS repeater… [+5538 chars]"
0.6808,0.0,0.852,0.148,"The USS Enterprise with Einsteins mass-energy equivalence on its flight deck
USN Official Photograph
President Donald Trumps energy dominance narrative fueled by the prolific production of oil and gas from Americas Shale Gale recently got a boost from the U… [+11626 chars]"
0.0,0.0,1.0,0.0,"(Adds details, information on other deals and background)
By Khanh Vu
HANOI, Nov 8 (Reuters) - AES Corp. on Friday signed a memorandum of understanding with the Vietnamese government to build a $1.7-billion gas-fired power plant in Vietnam, the U.S. Embassy… [+1923 chars]"
0.476,0.0,0.913,0.087,"(Adds details, context)
By Markus Wacket
BERLIN, Nov 12 (Reuters) - The German government will not force hard coal power plants to close over the next seven years, a draft law expected to be approved by the cabinet next week showed on Tuesday.
A previous b… [+2185 chars]"
-0.3612,0.06,0.94,0.0,"SunPower Corporation(NASDAQ:SPWR) has spent the last few years just trying to survive in the solar industry, and has made some mistakes along the way. It's gone from expanding solar farm development to exiting utility-scale development entirely, even abandoni… [+4066 chars]"
0.6705,0.0,0.854,0.146,Brookfield Renewable Partners(NYSE:BEP) has been actively wheeling and dealing over the past year to bolster both its renewable energy portfolio as well as its balance sheet. Those initiatives paid off during the third quarter as the company delivered signifi… [+4283 chars]
0.5719,0.0,0.892,0.108,"TerraForm Power(NASDAQ:TERP) continued to grow during the third quarter. While the renewable energy company's growth rate slowed considerably from the second quarter, that's due entirely to the roll-off of the impact from its acquisition of Spanish wind and s… [+4374 chars]"
0.7506,0.057,0.714,0.229,"Clean PowerPublished on October 28th, 2019 |
 by Saurabh
0
October 28th, 2019 by Saurabh 
Struggling to attract sufficient bids for its wind energy tenders, India has decided to increase the maximum tariff bid by 2.8% for its latest national-level tender.… [+2308 chars]"
0.6369,0.0,0.882,0.118,"MUMBAI: India plans to build a string of renewable energy projects along its sun-baked, wind-whipped western border, officials said Monday (Oct 21), as New Delhi continues an ambitious programme to reduce the country's dependence on fossil fuels.
Mired in an… [+1807 chars]"
0.4404,0.0,0.929,0.071,"sustentator/Wikimedia Commons
The six communities of the Tilhqotin Nation in British Columbia are looking ahead to better electricity access and C$175,000 in annual revenue after completing construction of a solar farm west of Williams Lake that is expected … [+1434 chars]"
0.6486,0.0,0.872,0.128,"Vietnam offers a massive opportunity for North American natural gas producers, power generators and LNG transportation and infrastructure, asserts Roger Conrad, editor of Conrad's Utility Investor.
Starting from zero, the country expects to ramp up LNG impor… [+3673 chars]"
0.6369,0.0,0.88,0.12,"New Delhi continues an ambitious programme to reduce the country's dependence on fossil fuels. PHOTO: REUTERS 
MUMBAI: India plans to build a string of renewable energy projects along its sun-baked, wind-whipped western border, officials said on Monday, as N… [+2224 chars]"
