compound,negative,neutral,positive,text
0.4215,0.0,0.907,0.093,"Beyond Meat (NASDAQ:BYND) delivered solid third-quarter results after the market closed on Monday. Yet on Tuesday, shares of the plant-based food purveyor plunged.
The likely reason? Beyond Meat's initial public offering lock-up period ended today, and many … [+2880 chars]"
-0.1531,0.104,0.805,0.091,"By Richa Naidu and Nivedita Balu
(Reuters) - Shares of Beyond Meat Inc &lt;BYND.O&gt; plunged more than 20% on Tuesday as investors rushed to cash in after a restriction on selling stock lifted and worries mounted about rising costs and increased competition… [+3527 chars]"
0.9153,0.0,0.766,0.234,"Boy over the years at SaaStr we’ve done a lot of posts (and videos and sessions) on hiring your first great sales team.  I recently re-read a bunch using our excellent Algolia-powered search and wanted to share some of my favorites:
1. Your First VP Does Not… [+3751 chars]"
0.3597,0.097,0.756,0.147,REUTERS: Shares of Beyond Meat Inc plunged more than 20per cent on Tuesday as investors rushed to cash in after a restriction on selling stock lifted and worries mounted about rising costs and increased competition at the hugely popular plant-based meat produ… [+3238 chars]
0.2732,0.0,0.951,0.049,Life cycle assessment [LCA] is an analytical methodology that is employed to calculate the carbon footprint of fuels (as well as many other products). The fundamental premise underlying LCA is that a fuel's carbon footprint encompasses more than just the gree… [+10103 chars]
0.0,0.0,1.0,0.0,"Democratic presidential candidate Sen. Bernie Sanders, I-Vt., left, former Vice President Joe Biden, center, and Sen. Elizabeth Warren, D-Mass., raise their hands to speak during a Democratic presidential primary debate hosted by CNN/New York Times at Otterbe… [+3699 chars]"
-0.4404,0.091,0.909,0.0,"Image source: The Motley Fool.
USD Partners LP (NYSE:USDP)Q3 2019 Earnings CallNov 7, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlemen,… [+18735 chars]"
-0.5106,0.107,0.893,0.0,"Alberta's environment ministry wasn't spared by the government's provincial budget cuts  and an incremental slash to the department's funding is prompting concern from environmentalists that climate change isn't a priority.
Over the next four years, the Albe… [+2193 chars]"
-0.2023,0.088,0.848,0.064,"Image source: The Motley Fool.
Suncor Energy Inc (NYSE:SU)Q3 2019 Earnings CallOct 31, 2019, 9:30 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlemen … [+24283 chars]"
-0.4404,0.091,0.909,0.0,"Image source: The Motley Fool.
Imperial Oil Ltd (NYSEMKT:IMO)Q3 2019 Earnings CallNov 1, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlem… [+57215 chars]"
-0.4404,0.091,0.909,0.0,"Image source: The Motley Fool.
Green Plains Inc (NASDAQ:GPRE)Q3 2019 Earnings CallNov 6, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlem… [+57661 chars]"
-0.4404,0.091,0.909,0.0,"Image source: The Motley Fool.
Green Plains Partners LP (NASDAQ:GPP)Q3 2019 Earnings CallNov 6, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and … [+57667 chars]"
0.6124,0.0,0.889,0.111,"Kathryn Judge is a professor at Columbia Law School. This post is based on her recent article, forthcoming in the Journal of Corporation Law.
Todays financial markets are awash with instruments that holders accept at face value with minimal investigation int… [+7823 chars]"
0.4019,0.138,0.691,0.171,"Earlier this year, the Supreme Court agreed to hearModa Health Plan, Inc. v U.S., a case about the Affordable Care Acts risk corridors program. Dozens of insurance companies are arguing that they are owed $12 billion in risk corridor payments associated with … [+12344 chars]"
0.0,0.0,1.0,0.0,"Torex Gold Resources, Inc. (OTCPK:TORXF) Q3 2019 Earnings Conference Call October 30, 2019 9:00 AM ET
Company Participants
Dan Rollins - VP, Corporate Development &amp; IR
Frederick Stanford - President, CEO &amp; Director
Jody Kuzenko - COO
Steven Thoma… [+21961 chars]"
0.0,0.0,1.0,0.0,"Vancouver Oct 30, 2019 (Thomson StreetEvents) -- Edited Transcript of Torex Gold Resources Inc earnings conference call or presentation Wednesday, October 30, 2019 at 1:00:00pm GMT===============================================================================… [+26878 chars]"
0.0,0.0,1.0,0.0,"Houston Nov 8, 2019 (Thomson StreetEvents) -- Edited Transcript of USD Partners LP earnings conference call or presentation Thursday, November 7, 2019 at 4:00:00pm GMT============================================================================================… [+20400 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
CVB Financial Corp (NASDAQ:CVBF)Q3 2019 Earnings CallOct 24, 2019, 1:30 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning , l… [+36762 chars]"
