compound,negative,neutral,positive,text
-0.1761,0.056,0.902,0.042,"Took me until my early twenties to learn how to read an analog clock, and it is still very difficult, says Lifehacker reader Albert Peters, commenting on our post about basic life skills. Others agreed. As digital clocks take over, people get less practice te… [+2033 chars]"
0.3291,0.032,0.904,0.065,"Some picklescucumbers, onions, and even carrotsare obvious, but grapes are not an obvious pickle. Grapes are a surprising pickle, an unexpected pickle, an intriguing pickle. If you leave them whole during the fermentation process, theyre a fizzy pickle.
They… [+2070 chars]"
0.8908,0.0,0.775,0.225,"Work-life balance for creative types is more like work-work-life. Youve got to find time for both your work responsibilities and your non-work responsibilities, plus time for the people you care about and the communities you support, plus time for rest and re… [+3221 chars]"
-0.4767,0.067,0.933,0.0,"School lunchesand the policies that shame the kids of parents who have lunch debtare in the news again. A school in New Jersey is reportedly now banning students from extra-curricular activities, such as dances and field trips, if their parents owe more than … [+2849 chars]"
0.8834,0.051,0.683,0.266,"Poop is funny when youre five. Okay, I know, people of all ages might enjoy a good fart joke. But occasionally, it is possible to grow tired of your kids potty jokesparticularly at the dinner tableand if you react strongly against it, youre probably only eggi… [+1986 chars]"
0.6808,0.0,0.877,0.123,"Not every day can come with an extra hour attachedso for the rest of the year, well have to figure out how to create our own. 
I use RescueTime to keep track of how Im spending my day, and the RescueTime blog recently shared a post about using time multiplie… [+3333 chars]"
0.4404,0.0,0.896,0.104,"If you want to achieve your financial goals, youre going to need to have some cash set aside for unexpected expenses. 
If you want to achieve your time-based goals, whether thats completing my work by 5 p.m. or writing a 50,000-word novel in November, youll … [+2142 chars]"
-0.6705,0.126,0.874,0.0,"Once you enabled the feature through the Nest app, instead of a standard ringtone, visitors will hear a rotating cast of characters that includes a ""cackling witch,"" a ghost, a vampire and a scary monster anytime they ring your doorbell. The feature also work… [+558 chars]"
0.0772,0.0,0.973,0.027,"Unlock Clock adds a live wallpaper to your smartphone that tracks the number of times you've unlocked your device throughout the day. In this way, you don't need to find your way to the Digital Wellbeing portion of Android's settings menu to find how many tim… [+1996 chars]"
0.5267,0.0,0.899,0.101,"Collectively, the one-offs will be titled Adventure Time: Distant Lands and will feature a bunch of familiar faces, including main characters Finn and Jake, as well as BMO, Marceline, Princess Bubblegum and Peppermint Butler, among others. The first two speci… [+714 chars]"
0.8074,0.089,0.696,0.215,"What makes a great button? No, really. While rankings of the best videogame controllers abound, a consideration of the importance of individual buttons has, scandalously, been ignored. Until now. Because what was gaming, really, until the N64 Z-trigger came a… [+3704 chars]"
0.0,0.0,1.0,0.0,"Terminator has been retconned within an inch of its own life. The long-lived franchise, which began in 1984 with The Terminator, has been sequelized (twice) and rebooted (three times) and adapted for TV (once). And because all of them involve some element of … [+2949 chars]"
-0.0772,0.052,0.882,0.066,"We dont mean to be impolite, butyour personal data is showing. Its everywhere. Facebook and Google and Amazon and a million other companies scoop it up and then dish it out, for billions of dollars, to advertisers and analysts and anyone else who wants to buy… [+2605 chars]"
0.5,0.0,0.9,0.1,They couldn’t have done it without swimmers-turned-citizen scientists Warning signs in the Pacific Ocean have had scientists on alert since July. The waters around Hawaii were so balmy that divers could swim without their usually obligatory wetsuits. Once-bri… [+11382 chars]
-0.9409,0.271,0.689,0.04,"Hurricane season may be winding down, but worry not, lovers of rapidly intensifying weather. Bomb cyclone season is upon us.
Okay, so its not an official meteorological season, but storms that bomb out along the East Coast tend to happen in late fall through… [+2484 chars]"
0.3283,0.055,0.84,0.105,"To start, both sides need to reset their expectations, and begin a step-by-step de-escalation that could create the basis for a longer-term resolution. The United States wont get Iran to the table without some economic relief either directly or through the Eu… [+2911 chars]"
-0.875,0.223,0.756,0.02,Mark Zuckerberg never calls me for advice. But he should. I would tell him to fire his entire communications and lobbying staff. They are incompetent. They have only made matters worse for the company. Did no one think to brief Zuckerberg on the two or three … [+4030 chars]
0.5023,0.0,0.928,0.072,"The recent iOS 13.2 update introduced some new HomePod features to the iPhone, but many users report that installing the patch left their HomePod speakers bricked. Apple pulled the update in response and promised to release a new build without the HomePod-rui… [+1485 chars]"
-0.0772,0.047,0.913,0.04,"In case you missed itand arrived at the office an hour early this morningDaylight Saving Time ended this Sunday. (Heres our post on the history of the time change.) Aside from changing your clocks, theres another reason its worth noting the change, particular… [+2420 chars]"
0.8126,0.0,0.741,0.259,"This work is licensed under a
Creative Commons Attribution-NonCommercial 2.5 License.
This means you're free to copy and share these comics (but not to sell them). More details."
