compound,negative,neutral,positive,text
0.1531,0.046,0.896,0.058,"This stretch of the Lower East Side used to be called the Seward Park Urban Renewal Area. During the 1950s, the citys powerful planning czar, Robert Moses, decided to bulldoze dozens of old tenements. These were buildings where, years before, Jewish and Itali… [+1872 chars]"
0.0,0.0,1.0,0.0,"Toomas Hendrik Ilves, son of Estonian refugees who fled the country during the 1944 Soviet takeover, saw his country regain independence in 1991. In 2006 he became Estonias fourth president. We had a long talk about his accomplishments as president, a positio… [+29972 chars]"
0.5719,0.0,0.907,0.093,"Arline Feilen (left) and her sister, Kathy McCoy, at their mother's home in the Chicago suburbs. The biggest chunk of Feilen's bill was $16,480 for four nights in a room shared with another patient. McCoy joked that it would have been cheaper to stay at the R… [+9636 chars]"
-0.5405,0.118,0.882,0.0,LA PAZ (Reuters) - Bolivia’s main federation of worker unions on Tuesday warned it would hold an indefinite strike and mobilize its members to the highland capital of La Paz if the country’s political and civic leaders do not restore constitutional order and … [+499 chars]
0.6605,0.0,0.872,0.128,"Mr. Thomass move into sculpture, though well-received, has been, to my mind, much less exciting. The sharpness and astuteness of his photography is often absent from three-dimensional objects, particularly the large-scale works that mimic sculptors like Claes… [+1246 chars]"
0.9665,0.0,0.66,0.34,"Wireless Bluetooth earbuds are on everyone’s wish lists nowadays, but the most popular choices easily cost over $100. Luckily, there are countless high-quality earbuds on the market that offer superb sound and features at a fraction of the price. Enter the 1V… [+969 chars]"
0.0,0.0,1.0,0.0,"Emerson College, founded in 1880 as the Boston Conservatory of Elocution, Oratory, and Dramatic Art, is one of the countrys most prestigious liberal arts colleges. We talked to its twelfth president, Lee Pelton, about his academic background, his personal wor… [+6502 chars]"
-0.4019,0.113,0.835,0.052,"Organizers and experts offer both optimistic and pessimistic explanations for Americans relative quiescence. Lets start with pessimism: Some people are burned out. In her book American Resistance: From the Womens March to the Blue Wave, Dana Fisher, a profess… [+1731 chars]"
-0.9201,0.256,0.716,0.028,"Police have launched a murder investigation after an 18-year-old was stabbed to death in west London.
Officers were called at about 4.40pm on Thursday to reports of a stabbing at Hillingdon Civic Centre in High Street, Uxbridge. The victim was taken to hospi… [+939 chars]"
0.7783,0.0,0.843,0.157,"November
9, 2019
1 min read
Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the revenue from the sale from our commerce partners.
You do… [+899 chars]"
0.5256,0.0,0.93,0.07,"A few years ago, I had received an 11-year-old Honda Accord from my grandparents that I was ultra-grateful for. It was a very valuable head-start in my adult life, when I needed a car for work. When I totaled it four years later on an icy road (I was very luc… [+3504 chars]"
0.4019,0.0,0.94,0.06,"For the 2020 model year the Honda Civic Si gets updated with exterior and interior changes, revised transmission gearing, Active Sound Control, and a host of new standard driver assists. The refresh includes tweaks to the front and rear bumpers, LED headlight… [+1057 chars]"
-0.5859,0.093,0.907,0.0,"Real Madrid last beat Barcelona in the league in April 2016
La Liga has asked for El Clasico on 26 October to be moved from Barcelona's Nou Camp stadium to Real Madrid's Bernabeu over fears of civil unrest.
There have been days of protest in Barcelona after… [+1332 chars]"
-0.296,0.051,0.949,0.0,"Twitter is ditching political ads. 
Angela Lang/CNET
Twitter will no longer sell political ads, CEO Jack Dorsey tweeted on Thursday, taking a position that sets his social network apart from Facebook, the industry giant. Dorsey, who unveiled the policy on h… [+1612 chars]"
0.0258,0.093,0.813,0.095,"The crucial question becomes: Do the people in the encounter feel secure enough to learn from it rather than to react with anxiety and fear? Right now, we are asking millions of Americans to accept high immigration while they are already living with maximum i… [+1833 chars]"
0.7579,0.072,0.718,0.21,"What would Vaclav Havel, a fan of the United States until his death in December 2011 and a proud Central European, have made of all this? I asked Michael Zantovsky, Mr. Havels biographer and longtime friend.
Mr. Zantovsky, who has served as ambassador to Was… [+2149 chars]"
0.0,0.0,1.0,0.0,"It’s the week before The Wing opens its first international location, and the final touches are being made to its five-story townhouse in London’s Fitzrovia. The space is the latest in The Wing’s roster of all-women members’ clubs and workspaces—there are sev… [+10335 chars]"
0.5667,0.048,0.812,0.14,"On its 60th anniversary of launching in the U.S., Honda wants to remind us that its dedication to automotive enthusiasts stretches back well before the current obsession with trucks and sport utility vehicles. So it will embrace its small-car roots and add so… [+2741 chars]"
