compound,negative,neutral,positive,text
0.6124,0.0,0.894,0.106,"If youre flying on Alaska Airlines this week you may want to swing by a Starbucks on your way to the airport. Starbucks Red Cups launch tomorrow, November 7th, and to celebrate the coffee chain is partnering with another Seattle-based company, Alaska Airlines… [+1059 chars]"
0.128,0.047,0.896,0.058,"To help you set your lineups and avoid starting a player who won't take the field, we will post fantasy-relevant updates and analysis here as NFL teams release their inactives lists, typically about 90 minutes before kickoff. Any rankings cited in this column… [+5874 chars]"
-0.3612,0.082,0.918,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
If you’re planning a cheap fall or winter getaway, pay attention because JetBlue has some low fares across the U.S… [+2222 chars]"
0.5859,0.0,0.858,0.142,"Calling All Legal Ops Leaders: The 2019 LDO Survey Is Live
Calling All Legal Ops Leaders: The 2019 LDO Survey Is Live
If you are your organizations operations head, please participate in this years survey and receive exclusive access to the complete results… [+459 chars]"
-0.5346,0.123,0.802,0.075,Arsenal captain Kim Little joined last year's Womens Super League top goalscorer on the scoresheet with a penalty. Slavia Praha managed to claw two goals back in the final 20 minutes from Katerina Svitková but the damage had already been done. Arsenals next l… [+575 chars]
0.0,0.0,1.0,0.0,"Virgin Atlantic has extended the life of its aging Airbus A340-600 aircraft yet again, meaning some U.S. flyers on the airline may find themselves in a far older cabin than Virgin’s A330 and Boeing 787, and especially than the brand-new A350.
The carrier’s r… [+1512 chars]"
-0.3595,0.052,0.948,0.0,"Southwest’s four-day sale is back! If you missed out on Monday’s Hawaiian Airlines deal for $84 round-trip, you can score a similar deal on interisland Southwest flights from $39 each way, or from $49 each way on the mainland.
To search, head directly to Sou… [+2285 chars]"
0.7096,0.0,0.862,0.138,"How many times have you heard someone telling you to “stream” a position? Whether it be quarterback, tight end, or defense, the idea of streaming is great, provided you get the players you want off the waiver wire. The issue with streaming week-to-week is tha… [+7231 chars]"
0.6597,0.0,0.878,0.122,"Adani Transmission (ATL) on Monday said it has signed a share purchase agreement and completed the acquisition of the WRSS XXI (A) Transco Ltd, incorporated by REC Transmission Projects Company. 
The acquisition was made for an undisclosed amount. 
With thi… [+1365 chars]"
-0.4215,0.057,0.943,0.0,"The 2019-20 fantasy hoops campaign officially tips off in eight days, which means we are in the stretch run of draft season.
Following up our previous mock drafts -- 10-team H2H categories, 10-team roto and 10-team H2H points -- we gathered our experts to dr… [+23062 chars]"
0.128,0.047,0.896,0.058,"To help you set your lineups and avoid starting a player who won't take the field, we will post fantasy-relevant updates and analysis here as NFL teams release their inactives lists, typically about 90 minutes before kickoff. Any rankings cited in this column… [+5088 chars]"
0.4404,0.0,0.932,0.068,"What are some ways to fly first class on Delta? You could purchase a ticket the conventional way, or upgrade yourself using points, mileage upgrades or certificates. Elite travelers may get a complimentary upgrade, although it’s getting harder these days. You… [+2511 chars]"
0.722,0.0,0.882,0.118,"Seeing as Summer Walker’s debut studio album Over It is doing so well on the charts, London On Da Track the album’s sole producer and Walker’s boyfriend has announced an acoustic version of the revered project.
London took to Instagram to confirm the news an… [+1634 chars]"
0.0,0.0,1.0,0.0,"Con el empate de Argentinos Juniors y la victoria de Lanús, lo que les permitió a ambos subirse a lo más alto del campeonato, culminó la fecha 12 de la Superliga Argentina 2019/20, que también tuvo modificaciones en la zona de descenso. A continuación repasam… [+1599 chars]"
0.2023,0.08,0.802,0.117,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
There’s a fare war to Puerto Rico being waged by Delta, JetBlue and United and that’s good news for those looking … [+1637 chars]"
-0.4404,0.065,0.935,0.0,"England striker Ellen White made her first full Manchester City start since moving to the club from Birmingham in the summer, having featured from the bench against Arsenal on Sunday. Englands World Cup top-scorer was denied in a one-on-one against former Ars… [+819 chars]"
0.4215,0.0,0.94,0.06,"Delta is running a flash sale on SkyMiles redemptions for business class trips to Europe. Book by November 14 for roundtrip travel December 24, 2019 through April 18, 2020.Most Delta flash sales are for coach travel. It’s nice to see the occasional business c… [+5048 chars]"
0.0,0.0,1.0,0.0,"Orlando’s third airport, Melbourne, on the Atlantic coast of Florida, is getting its first international scheduled flights. Leisure carrier TUI Airways has announced that it will switch its Orlando operations from Sanford (SFB) to Melbourne (MLB) from 2022.
… [+2034 chars]"
0.9403,0.04,0.685,0.275,"Delta SkyMiles is known for its periodic award flash sales, but some deals are (much) better than others. Today’s deal is actually available in business class — and it’s pretty awesome. For a limited time, you can book round-trip flights to Europe in Delta On… [+2041 chars]"
-0.4019,0.115,0.822,0.063,"Here comes a warning for film photographers flying through US airports. Some airports are using new hand luggage scanners that will destroy your unprocessed film in just one scan. They have already been unveiled in 17 airports across the US, and there are lik… [+3127 chars]"
