compound,negative,neutral,positive,text
-0.4588,0.14,0.805,0.055,"The delivery boy lodged a complaint later in a nearby police station.
A police complaint was lodged against a Hyderabad resident after he refused to accept an order of food from a Muslim delivery person. The customer, who is a resident of the Aliabad North a… [+3297 chars]"
0.4854,0.0,0.908,0.092,"Investing in hedge funds can bring large profits, but its not for everybody, since hedge funds are available only for high-net-worth individuals. They generate significant returns for investors to justify their large fees and they allocate a lot of time and e… [+5895 chars]"
-0.2732,0.06,0.905,0.035,"Advertisement
The Indian Ministry of Defense (MoD) has inked a $2.8 billion contract with the state-owned Ordnance Factory Board (OFB) to license-build 464 additional T-90S main battle tanks (MBTs) for service in the Indian Army.
According to IHS Janes, the… [+2669 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
First Merchants Corp (NASDAQ:FRME)Q3 2019 Earnings CallOct 24, 2019, 2:30 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good day, and … [+43296 chars]"
0.0772,0.0,0.97,0.03,"Raksha Mantri Shri Rajnath Singh inaugurated the 41st DRDO Directors’ Conference at DRDO Bhawan here today. The Conference is an annual event, where a number of brainstorming sessions are planned over two days.
In his address, Shri Rajnath Singh said DRDO ha… [+4138 chars]"
0.5267,0.0,0.87,0.13,"The new hauler is the latest in a broad array of home-grown equipment created Irans defence industry in recent years, in defiance of a 40-year-old arms embargo by Western countries banning Tehran from importing advanced Western military hardware.Irans defence… [+2550 chars]"
-0.0516,0.08,0.844,0.076,Anyone researching Mobile Tornado Group plc (LON:MBT) might want to consider the historical volatility of the share price. Volatility is considered to be a measure of risk in modern finance theory. Investors may think of volatility as falling into two main ca… [+3955 chars]
-0.296,0.047,0.953,0.0,"The German Bundeswehr (German Army) is going to equip more vehicles with the Heckler &amp; Koch GMW (GranatMaschinenWaffe) in the common NATO caliber 40 x 53 mm.
The weapon is perhaps more known, as on H&amp;Ks own homepage, as the GMGwhich you can study mor… [+3774 chars]"
-0.6367,0.154,0.792,0.054,"Key point: While not perfect, it packs a real punch.
The M1 Abrams main battle tank has been the mainstay of the U.S. Armys armor branch for now four decades. Heavily armored, powered by a gas turbine engine and equipped with a powerful 120-millimeter gun, t… [+6629 chars]"
0.0,0.0,1.0,0.0,"Metropolitan Branch Trail | The Washington Post/Getty Images A detour was needed to make space for construction on an adjacent park After about two and a half months of detours around the construction site for a new park in Eckington, the stretch of the Metro… [+1567 chars]"
-0.5859,0.112,0.888,0.0,"Armata Universal Combat Platform
While the T-14 Armata MBT has been widely discussed, its parent platform, the Armata Universal Combat Platform has not. Initially lofty claims were made that these vehicles would replace much of Russias Soviet-inherited armor… [+7100 chars]"
0.3182,0.0,0.952,0.048,"The latest 13F reporting period has come and gone, and Insider Monkey is again at the forefront when it comes to making use of this gold mine of data. Insider Monkey finished processing more than 730 13F filings submitted by hedge funds and prominent investor… [+5712 chars]"
-0.7096,0.151,0.8,0.049,"Key Point: If the Abrams wants to surpass the M1A1, it'll have to bump up its fire power. 
In the 1970s, the situation for NATO tank forces in Europe was grim. The program to develop the next generation battle tank for both Germany and the United States, the… [+6525 chars]"
0.0,0.0,1.0,0.0,"SANDERSVILLE, Ga.--(BUSINESS WIRE)--Advantage Capital today announced an investment in Global Environmental Enterprises, LLC (d.b.a. MeltBlown Technologies), a leading manufacturer of industrial absorbents. The investment was made through the GARJA program an… [+3466 chars]"
0.3612,0.0,0.918,0.082,A whopping number of 13F filings filed with U.S. Securities and Exchange Commission has been processed by Insider Monkey so that individual investors can look at the overall hedge fund sentiment towards the stocks included in their watchlists. These freshly-s… [+5648 chars]
0.3182,0.0,0.954,0.046,"We at Insider Monkey have gone over 730 13F filings that hedge funds and prominent investors are required to file by the SEC The 13F filings show the funds' and investors' portfolio positions as of June 28th. In this article, we look at what those funds think… [+4892 chars]"
0.0,0.0,1.0,0.0,"Billionaire hedge fund managers such as David Abrams, Steve Cohen and Stan Druckenmiller can generate millions or even billions of dollars every year by pinning down high-potential small-cap stocks and pouring cash into these candidates. Small-cap stocks are … [+5108 chars]"
-0.2023,0.046,0.927,0.027,"Anti-materiel rifles (AMR) have long been thought to have little practical use, except against a dwindling niche of light vehicles vulnerable to .50 BMG rounds. Then came the McMillan Tac-50, a revolutionary military firearm that combines the reach and stoppi… [+3513 chars]"
0.0,0.0,1.0,0.0,"MUNCIE Oct 29, 2019 (Thomson StreetEvents) -- Edited Transcript of First Merchants Corp earnings conference call or presentation Thursday, October 24, 2019 at 6:30:00pm GMT=======================================================================================… [+52799 chars]"
0.34,0.0,0.916,0.084,"Sputnik News
19:27 09.11.2019(updated 19:33 09.11.2019) 
The new hauler is the latest in a broad array of home-grown equipment created Iran's defence industry in recent years, in defiance of a 40-year-old arms embargo by Western countries banning Tehran fro… [+2560 chars]"
