compound,negative,neutral,positive,text
0.1154,0.0,0.971,0.029,"They say its all about who you know, but how do you get to know the right people?
If you want to be a master networker, you need only follow the steps outlined in the video above. 
<ul><li>Preparation: Look up people you know will be at the networking event… [+466 chars]"
0.6705,0.0,0.86,0.14,"Need to share a file or folder to another device connected to your network? Transferring files between machines requires just a few changes to your computers settings. In this beginners guide, well show you how to share a folder over your network whether you … [+3084 chars]"
0.5994,0.054,0.796,0.15,"Your home networkand everything connected to itis like a vault. Behind your login lies tons of valuable information, from unencrypted files containing personal data to devices that can be hijacked and used for any purpose. In this post, well show you how to m… [+15312 chars]"
0.2263,0.0,0.957,0.043,"At its annual Ignite IT conference in Orlando, Florida, Microsoft today announced Project Cortex, its first new commercial product since the launch of Teams. The general idea here is to allow employees to quickly find information that’s spread out across docu… [+2700 chars]"
0.6369,0.0,0.885,0.115,"In 2004, eBay founder Pierre Omidyar and his wife, Pam, set aside some of the wealth they acquired after the online marketplace went public and created Omidyar Network, a philanthropic investment firm “dedicated to harnessing the power of markets, according t… [+6372 chars]"
-0.4939,0.117,0.841,0.042,"Over the past two years, as technology companies continued to struggle with diversifying their work forces, Los Angeles-based venture capitalist Kobie Fuller wrestled with how to solve the problem.
As a black professional himself, Fuller had experienced the … [+6470 chars]"
0.0516,0.077,0.865,0.058,"Security researchers have discovered a vulnerability in Ring doorbells that exposed the password for the Wi-Fi network it was connected to.
Bitdefender said the Amazon-owned doorbell was sending its owner’s Wi-Fi password in cleartext over the internet, allo… [+1051 chars]"
0.0,0.0,1.0,0.0,"Joining the companys existing short-range mmWave network
Photo by Chris Welch / The Verge
T-Mobiles nationwide 5G network built on the companys 600 MHz band of spectrum will launch on December 6th, company CEO John Legere announced today. This marks the lar… [+1117 chars]"
0.3252,0.0,0.949,0.051,"T-Mobile has plenty to think about right now, but that didn't stop it from making a big announcement.
After a trial period in cities including New York City, T-Mobile announced Thursday that its nationwide 5G network will launch on Dec. 6. It'll blanket more… [+1488 chars]"
0.1779,0.0,0.964,0.036,"According to the About Us section on the websites, they are published by Metric Media, a company that says it was founded to fill the growing news void in local and community news after years of steady disinvestment in local reporting by legacy media.
Metric… [+1416 chars]"
0.6204,0.051,0.806,0.142,"Image copyrightGetty ImagesImage caption
 Iran's Islamic Revolution Guard Corps (IRGC) is estimated to have more than 150,000 active personnel
Iran is winning the strategic struggle for influence in the Middle East against its rival, Saudi Arabia, according… [+10895 chars]"
0.0772,0.091,0.811,0.098,"A number of popular “camgirl” sites have exposed millions of sex workers and users after the company running the sites left the back-end database unprotected.
The sites, run by Barcelona-based VTS Media, include amateur.tv, webcampornoxxx.net, and placercams… [+3440 chars]"
0.0772,0.0,0.971,0.029,"SHANGHAI (Reuters) - Tesla Inc (TSLA.O) plans to double the number of repair and maintenance shops, add about 100 charging stations and revamp showrooms in China as the electric vehicle maker gears up to open its Shanghai plant. 
The moves mark a departure f… [+4633 chars]"
0.0772,0.035,0.903,0.062,"When someone pisses you off on Facebook, the logical, natural response is to lob over the nukeblock them, and youll never have to deal with anything they say on the social network ever again. Its a refreshing feeling, but its also a wee extreme for minor infr… [+6552 chars]"
-0.1779,0.093,0.848,0.059,"Android: The Google Creative Lab has kicked six new experimental apps out into the wild, all designed with one purpose in mindto get you to stop obsessing over every notification, checking every social network, and generally gluing your phone to your face (or… [+4083 chars]"
0.6908,0.0,0.89,0.11,"But it was too late. Mr. Kleinrock likened it to a kind of fall from grace.
[From 2005: An early look at a research project to re-engineer the internet.]
We didnt see the dark side emerging because of our culture, which was a bunch of good people working to… [+2097 chars]"
-0.4215,0.095,0.905,0.0,"A company that runs several sites featuring camworkers left the back-end database unprotected, allowing the data of hundreds of thousandsif not millionsof customers and sex workers to be exposed.
TechCrunch reports that researchers at cybersecurity firm Cond… [+2022 chars]"
-0.9231,0.259,0.741,0.0,"Image copyrightAFP/Family handoutsImage caption
 Details of some of those missing, feared dead in the lorry, are gradually emerging
Stories and photos of those thought to have died in the refrigerated lorry found in England last week often lay a trail back … [+3432 chars]"
0.0,0.0,1.0,0.0,"Fabric, the startup that wants to make automated logistics available to retailers of all sizes, announced today it has raised $110 million in Series B funding. The round was led by Corner Ventures, with participation from Aleph, Canada Pension Plan Investment… [+3387 chars]"
-0.7783,0.16,0.84,0.0,"How to fix PlayStation Network connection problems
If the entire PlayStation Network is down, the situation is unfortunately out of your hands. Since the PlayStation Network is up right now and you're still have trouble, you can start by testing your interne… [+1745 chars]"
