compound,negative,neutral,positive,text
-0.2732,0.047,0.953,0.0,"New York City has claimed its latest victim: City Bakery has permanently closed its doors. Its rare that the closing of a small businesses becomes near-national news, and its understandable that those of you who have never tasted the mythical hot chocolate do… [+2637 chars]"
0.891,0.0,0.795,0.205,"Corey Kilgannon reports: 
Monet had his haystacks, Van Gogh had his sunflowers and Mari Lyons had Broadway and 80th Street.
Like many artists who love to paint the same subject repeatedly, Ms. Lyons loved the bustling view outside her third-floor studio abo… [+1152 chars]"
0.4215,0.0,0.94,0.06,"Image copyrightGetty ImagesImage caption
 Kelly Clarkson and John Legend are both judges on the US talent show The Voice
US singers John Legend and Kelly Clarkson have recorded an updated version of the Christmas hit Baby, It's Cold Outside which ran into c… [+1801 chars]"
0.6908,0.0,0.875,0.125,"Photo Courtesy of Dynamo Motor Co.
The Dynamo, the newest member of the exclusive London Black Cab fleet, has a big job ahead of itself. It has to clean up air quality and keep people moving all at the same time. The Black Cab fleet currently has about 20,00… [+1951 chars]"
0.0258,0.06,0.855,0.085,"US Army aviation officials have launched an effort to restore full air-assault capability to the 101st Airborne Division — a capability the Screaming Eagles have been without since 2015.
As the Army's only air-assault division, the 101st has traditionally ha… [+2109 chars]"
0.4215,0.0,0.945,0.055,The New York City Taxi and Limousine Commission (TLC) has recently added the Tesla Model 3 to the list of twenty approved vehicles to be taxi cabs in the city and it is the only electric vehicle (EV) on the list. TLC executives did not indicate who requested … [+1826 chars]
-0.4215,0.065,0.935,0.0,"Amazon's branded tractors have hit the road in the mega-retailer's latest push into logistics.
Several truck drivers told Business Insider that they saw the branded tractors in states including Pennsylvania, Texas, and Ohio. Business Insider broke the news e… [+4753 chars]"
0.0,0.0,1.0,0.0,"After teaming up with GOLF for Fall/Winter 2019 DEPA-CAB sandals, Suicoke is now joining Midnight Studios for the brands’ first-ever collaboration. The Fall/Winter 2019 styles feature updates on the MOTO-CAB and ZAVO-CAB silhouettes.
Both pairs are suited wi… [+560 chars]"
0.4404,0.0,0.943,0.057,"After launching as an all-hybrid taxi service nearly ten years ago, Green Cab Madison is taking a big next step. Theyre welcoming a fleet of 20 Tesla Model 3 taxis to their fleet and aim to replace the rest of their hybrid cabs with more EVs next year.
The W… [+3828 chars]"
-0.7845,0.25,0.622,0.128,"The roaring ’20s were a great time to drive taxis in New York City, but the industry suffered during the Great Depression. The driver market was flooded with desperate men looking for work just as the rest of the population was seriously cutting back on expen… [+2881 chars]"
0.6369,0.0,0.915,0.085,"The queen of polka dots, the a-mazing Yayoi Kusama, is making her mark on the Macy's Thanksgiving Day Parade with a three-story-tall balloon float. ""Love Flies Up to the Sky"" will be included as part of the Blue Sky Gallery, the parade's contemporary art seri… [+2915 chars]"
0.0,0.0,1.0,0.0,"Scoot over, bikes and cars. Tourists and Parisians alike will soon be able to make their way around the City of Light by moped via Uber’s new partnership with Cityscoot e-mopeds.
Mopeds are to Paris what yellow cabs are to New York City they just go together… [+1802 chars]"
0.0,0.0,1.0,0.0,"A video by Bite Back 2030 shows just how suggestible we can be to advertising without even realizing it.
As part of a social experiment, UK teenagers were asked to come to a restaurant, but little did they know the test had already begun before they sat down… [+5681 chars]"
0.128,0.049,0.891,0.06,"Suicoke and Tyler, the Creator’sGOLF imprint are no strangers when it comes to collaborating together. The brands dropped two different iterations of KAW-CAB sandals last year and reunited back in April to treat the same silhouette to a summer-ready yellow co… [+780 chars]"
0.128,0.0,0.964,0.036,"The corporation had introduced AC Volvo buses in 2006 under two brand names Vajra and Vayu Vajra the latter operating as exclusive services to Bengaluru International Airport.
Passengers travelling to and from the Bengaluru airport using the Bangalore Metrop… [+1701 chars]"
-0.6597,0.138,0.862,0.0,"NEW DELHI: Delhiites may face major problem commuting on November 11 (Monday) with drivers working for different app-based cab aggregators planning to go on a one-day strike.
""This time there is no surge pricing during the oddeven scheme and cab drivers have… [+785 chars]"
0.0,0.0,1.0,0.0,"Bengaluru: The two largest players in the cab hailing space — Ola and Uber — are expected to bank on bike taxis and rentals, autos, corporate tie-ups and public transport collaborations to shore up ride numbers, at a time when the market has seen a year of sl… [+4690 chars]"
0.0516,0.0,0.972,0.028,"Following the release of its Chuck Taylor All Star 100 Monopanel Hi, Converse Japan has returned with two pairs of Jack Purcells paneled with delicate wool fabrics for FW19 Jack Purcell Multi-Wool RH.
The sneakers feature a concise range of seasonal palettes… [+972 chars]"
-0.3182,0.05,0.95,0.0,"A Model 3 cab is way cooler than a boring Camry or something.
Nick Miotke/Roadshow
The Ford Crown Victoria was the first car to became the de facto New York yellow cab icon. Then, the Toyota Camry. Next, the Tesla Model 3? It's absolutely possible, because … [+1668 chars]"
0.3182,0.096,0.763,0.141,"Tesla shares are up almost a fifth in after-hours trading after the 'leccy car maker posted a surprising profit for the third quarter.
Financial analysts were increasingly losing patience with the company, which lost over $1bn in the first half of the year a… [+2250 chars]"
