compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Nothing already there will be deleted, however
Illustration by Alex Castro / The Verge
In a blog post published earlier this week, image-sharing site Imgur wrote that it wont display any content from those communities on its site. 
If you search for, say, … [+1899 chars]"
-0.128,0.108,0.793,0.099,"iOS 13's Fraudulent Website Warning feature for Safari mobile shares some of your browsing data by default. Thats normally a good thing, since Google takes this data, hashes what youre attempting to access, and is only able to sort-of match what you were look… [+2405 chars]"
0.7845,0.0,0.848,0.152,"Parents of infants are both sleep-deprived and sleep-obsessed. Its important for babies to sleep in order for parents to hope to get a little of their own rest, which is how we can arrive pretty quickly at the do whatever works strategy. But more reports are … [+2515 chars]"
-0.8334,0.197,0.763,0.04,"If you thought storming into a highly secured government facility with your electronics but without permission was a smart idea, you’d be wrong.
But that didn’t stop Rep. Matt Gaetz and close to three-dozen of his Republican colleagues on Wednesday from doin… [+3814 chars]"
0.34,0.051,0.847,0.102,"Google has partnered with mobile security firms ESET, Lookout and Zimperium to combat the scourge of malicious Android apps that sneak into the Google Play app store.
The announcement came Wednesday, with each company confirming their part in the newly creat… [+1431 chars]"
0.3612,0.056,0.835,0.109,"Southern California firefighters are still actively tackling as many as six wildfires. While your drone might catch some epic photos, they're sharing the sky with air tankers, firefighting helicopters, and other craft that are flying to actually fight the dev… [+1683 chars]"
0.1082,0.046,0.899,0.055,"STIs in the United States have been on the rise in recent years, and many marginalized people who are most at risk arent getting tested and treated for them. But remote healthcare is also on the risewe are moving toward a future where at-home sexual health sc… [+9419 chars]"
0.0,0.0,1.0,0.0,"Wardrobe, a new peer-to-peer fashion rental marketplace, has today announced the close of a $1.5 million seed round and its public launch out of beta.
The funding was led by angel investor Cyan Banister and Ludlow Ventures, with participation from GroupUp Ve… [+1930 chars]"
-0.2824,0.171,0.677,0.152,"What do they think this is? The Victorian era? The Islamic State?People like to fuck, eat, sleep, breathe, love and fuck some more. Trained to think like that through many millions of generations. Get over it. The year reads freaking 2019.
The only ones who … [+256 chars]"
0.3182,0.0,0.947,0.053,"Cheddar, brie, mozzarella, or Gouda? Some doctors say your choice of cheese should be none at all, especially if you're a woman. 
The doctors, members of the nonprofit Physicians Committee for Responsible Medicine, have petitioned the U.S. Food and Drug Admi… [+4073 chars]"
0.5423,0.0,0.901,0.099,"The United States Interior Department is grounding its fleet of more than 800 drones over concerns that the Chinese is using the devices to spy or facilitate cyberattacks, according to the Wall Street Journal.
There have been growing concerns among military … [+2295 chars]"
0.3182,0.0,0.948,0.052,"New details about how Netflix classifies a viewer
Photo: Netflix
Netflix is trying to be more transparent with its creatives about how it counts a view on an original series or movie, and a letter sent to the British government includes three new descriptor… [+3703 chars]"
-0.8176,0.194,0.762,0.044,"(Bloomberg) -- A plan championed by Kenyan President Uhuru Kenyatta and opposition leader Raila
to end ethnic animosity may end up widening fault lines that have triggered sporadic violence in the East African nation.
The two men commissioned a study on how… [+4560 chars]"
-0.2782,0.147,0.744,0.109,A new era is dawning in the entertainment world and youre about to get a whole lot more choicesfor better or worse. The streaming wars are here.Titans of media and technology are wagering billions that consumers will pay them a monthly fee to stream TV and mo… [+18744 chars]
-0.7906,0.208,0.708,0.083,"The number of Ontario teens seeking help for self-harm at emergency departments has doubled in a decade, and a study published Monday revealed a troubling pattern for these young patients: They have significantly higher rates of hospitalizations, death and su… [+6711 chars]"
0.7003,0.044,0.792,0.165,"The popular dance video app TikTok is under scrutiny after two members of Congress from two different political parties called for an investigation into potential security risks for the China-based app. Late on Wednesday, October 23, Senate Minority Leader an… [+2342 chars]"
0.5267,0.046,0.833,0.121,"Two lawmakers representing both sides of the aisle called on the Director of National Intelligence to conduct an assessment of the ""national security risks"" posed by the wildly-popular, Chinese-owned app TikTok.
Sen. Tom Cotton, R-Ark., and Sen. Chuck Schume… [+3940 chars]"
0.7964,0.052,0.738,0.21,"By Aidan Lewis
CAIRO (Reuters) - Egypt will push Ethiopia this week to agree to an external mediator to help resolve a deepening dispute over a giant hydropower dam being built on Ethiopia's Blue Nile, officials said on Sunday. 
Egypt sees the Grand Ethiopi… [+2103 chars]"
0.4939,0.0,0.922,0.078,"A health care algorithm used in hospitals across the U.S. has been discriminating against black patients, according to new research. The study found that the algorithm consistently prioritized less-sick white patients and screened out black patients from a pr… [+5224 chars]"
-0.128,0.112,0.788,0.1,"AP
<ul><li>Chinese officials doubt whether a trade deal can be reached with the Trump administration, Bloomberg reported. </li><li>Sources told Bloomberg that officials won't ""budge"" on the trickiest issues of the trade deal — data sharing and communications… [+2198 chars]"
