compound,negative,neutral,positive,text
-0.8225,0.147,0.853,0.0,"MONTREAL -- Semafo Inc. says several people have been killed in an attack on a road to its Boungou Mine site in Burkina Faso.
The gold miner says the incident happened about 40 kilometres from the mine.
The convoy, escorted by military personnel, included f… [+605 chars]"
0.875,0.054,0.685,0.261,"Computer scientists at DeepMind have developed an artificially intelligent bot capable of defeating the worlds best players at StarCraft II, the popular real-time strategy video game.
New research published today in Nature describes AlphaStarthe first artifi… [+7820 chars]"
0.7678,0.0,0.843,0.157,"0 with 0 posters participating
Greetings, Arsians! The Dealmaster is back with another round of deals to share. Today's list is headlined by a modest but notable deal on the Nintendo Switch, as Target is throwing a $25 store gift card in with the purchase of… [+6208 chars]"
0.8402,0.0,0.809,0.191,"For 2019’s upcoming Miami Art Week, The Contemporary and Digital Art Fair (CADAF) is partnering with the Wynwood Business Improvement District to bring a dazzling digital display to Mana Wynwood from 5 to 8 December. Celebrating new media art, the event will … [+1737 chars]"
0.7003,0.0,0.884,0.116,"Legends of Runeterra takes a lot of inspiration from other collectable card games, putting a League of Legends spin on the game’s theme. But the biggest departure for many will be how turns are structured. We will teach you how to play Legends of Runeterra, a… [+6325 chars]"
0.6124,0.0,0.894,0.106,"Foolproof arrangements have been put in place for the visit of Chief Minister Y.S. Jagan Mohan Reddy to launch the Mana Badi-Naadu Nedu programme in the sprawling PVRM Boys High School here on Thursday. 
Overseeing the security arrangements being made at the… [+1463 chars]"
0.3612,0.074,0.78,0.146,"Riot Games, the developer of League of Legends, is entering the collectible card game space with Legends of Runeterra, which uses characters and lore from the massively popular MOBA.
Legends of Runeterra shares certain similarities with titles such as Blizza… [+2205 chars]"
-0.5719,0.099,0.901,0.0,"In this Oct, 27, 2019, photo, a bird stands on a sun-baked pool that used to be a perennial water supply in Mana Pools National Park, Zimbabwe. Elephants, zebras, hippos, impalas, buffaloes and many other wildlife are stressed by lack of food and water in the… [+4668 chars]"
0.765,0.0,0.837,0.163,"Fay Jones’ artwork for Stasis, one of the original 295 cards in “Magic: The Gathering.” © Fay Jones
In June 1994, Richard Garfield was the rising superstar of hobby gaming. A Ph.D. in combinatorial mathematics, Garfield had launched his wildly successful col… [+22375 chars]"
0.6249,0.066,0.744,0.189,"Diablo: Immortal didn’t have a big presence at this year’s BlizzCon. Instead, Blizzard Entertainment focused on announcing new titles, such as Diablo IV. Last year, the reveal of Diablo: Immortal for mobile angered many of the franchise’s fans, a lot of which… [+19699 chars]"
0.0,0.0,1.0,0.0,"Read more about this work in Nature
Publicly available paper here
View all Battle.net game replays
AlphaStar team:
Oriol Vinyals, Igor Babuschkin, Wojciech M. Czarnecki, Michaël Mathieu, Andrew Dudzik, Junyoung Chung, David H. Choi, Richard Powell, Timo E… [+1613 chars]"
0.0,0.0,1.0,0.0,"Skateboarder Scott Oster and Chicago-based architectural firm MANA have installed a skate ramp dubbed Le Cube at Paris’ Le Bon Marché department store.
The six meter-square cantilevering square features a 360-degree full-pipe plywood skate ramp, which is ill… [+1337 chars]"
0.0,0.0,1.0,0.0,"The picture was originally clicked in 2015 and has gone viral again after the actor posted it.
Signboards are put up to guide and inform travellers. However, a particular one spotted by actor Shabana Azmi at Chennai airport seems to have left netizens amused… [+996 chars]"
0.9493,0.0,0.734,0.266,"When it comes to winning games of Legends of Runeterra, having the best decks means that you have the best chance. They’re only one piece of the puzzle, after all, card games are also an exercise in good timing and mind games. So while you work on refining ho… [+6340 chars]"
0.5994,0.0,0.896,0.104,"Magic: The Gathering is experiencing a bit of a renaissance, and you dont have to look at publisher Hasbros financials to prove it. The 26-year-old strategy card game is alive, kickin and as accessible as ever to those curious about picking up a new hobby. 
… [+7954 chars]"
-0.5574,0.077,0.923,0.0,"Riot Games made quite a splash during its ten year anniversary celebration, announcing among many other things - Legends of Runeterra, a CCG based on the League of Legends universe. As anyone who was able to go hands-on during its initial five day Preview Pat… [+40558 chars]"
0.3818,0.054,0.84,0.106,"Have You Played? is an endless stream of game retrospectives. One a day, every day, perhaps for all time.
I am truly a masochist for deciding to write about Defend Your Castle. I mean, who on earth would willingly subject themselves to the task of typing an … [+2045 chars]"
0.0,0.0,1.0,0.0,"Enlarge/ AlphaStar (Protoss, in green) dealing with flying units from the Zerg players with a combination of anti-air units (Phoenix and Archon).
1 with 1 posters participating
Back in January, Google's DeepMind team announced that its AI, dubbed AlphaStar,… [+7695 chars]"
-0.9432,0.296,0.704,0.0,"Zimbabwe is experiencing its worst drought in years.
Rangers in Zimbabwe say hundreds of animals in its national park have died from a severe drought and many are struggling to survive.
Predators and scavengers seem to be thriving in these harsh conditions … [+133 chars]"
-0.6046,0.155,0.762,0.083,"Do you crave the exhilaration of questing through enchanting lands? Do you thirst for the thrill of ravaging enemies with hybrid battle systems? Do you live for epic stories riddled with plot twists and tons of feels? Well, look no further. With the HD remast… [+4546 chars]"
