compound,negative,neutral,positive,text
0.5859,0.0,0.928,0.072,"Wow, youre so hairy, the boy standing to my daughters left said. He gazed in awe at her rounded seven-year-old arm, brown from the summer sun, and the silky, dark hair encircling it. It was the first day of second grade and the first time someone remarked abo… [+6997 chars]"
-0.5423,0.086,0.914,0.0,"There can be no tension when naked onstage, he said. But if you stare the audience in the eye and release every muscle in your body, they cant look away, Mr. Costanzo continued. And in that moment theres a kind of reverence that can last for the entire show.… [+586 chars]"
0.8555,0.037,0.742,0.221,"I am a huge fan of using this brush to spread Otter wax all over my favorite raincoats.
As temperatures drop its time to get ready for the wet. It has certainly already arrived elsewhere. One of my two waxed-cotton coats was leaking last winter. The sleeve s… [+2090 chars]"
0.0,0.0,1.0,0.0,"That said, the Guggenheim is a kind of city square. Its ramp, circling around the rotunda, echoed earlier, inward-facing buildings the architect had devised with balconies around central spaces, among them the Larkin and Johnson Wax buildings. The Guggenheim … [+693 chars]"
0.2124,0.087,0.81,0.103,"Following is a transcript of the video.
Benji Jones: Oh, God! This is not attractive.
Jessica Orwig: No. It really does look like human fat.
Jones: That's me and my boss opening up a lava lamp. [glugging] Oh! Are we getting these noises, guys? Our goal was… [+3554 chars]"
0.128,0.079,0.776,0.144,"Responding to the challenge of the prominent spot, dead center on the terrace overlooking the plaza, Mr. Condo first envisioned a kind of sun god. I thought about the idea of a beacon of light and Apollo being the god of music, said Mr. Condo, who made a tabl… [+1195 chars]"
0.1027,0.0,0.967,0.033,"For its own physical memorial, New Light has begun considering something more intimate, perhaps in its cemetery. Being part of a larger national remembrance is not a priority for Rabbi Perlman. He was heartened by how people from many backgrounds reached out … [+1423 chars]"
0.1724,0.027,0.931,0.042,"TL;DR: Get the informative Become a Professional YouTuber Bundle for $29, a 98% savings. 
With a wax figure in Madame Tussauds' Museum and an estimated net worth of $5 million, who wouldn't want to be the next Jenna Marbles? If making a video of your boyfrie… [+1381 chars]"
0.5719,0.049,0.826,0.125,"Following is a transcript of the video.
Narrator: Makeup brand ColourPop makes up to 200 eyeliner pencils in a single hour. That might seem like they're just mass-produced, but actually, the process is mainly done by hand. And the brand's obsessive fans swea… [+1597 chars]"
0.8225,0.0,0.85,0.15,"When my son was a toddler, we went through a very big sensory activities phase. Any new texture that he could squish or mold (and incorporate into his dinosaur battles) would keep him occupied for dozens of precious minutes. He loved regular Play-Doh, so I we… [+2605 chars]"
0.0,0.0,1.0,0.0,"There are many false myths on social media about vaginas, and one woman has made it her mission to correct them. Dr Jen Gunter has been a practising obstetrician-gynaecologist in the US and Canada for 25 years. She is a fierce advocate for women's health and … [+5599 chars]"
0.6808,0.0,0.859,0.141,"Many products featured on this site were editorially chosen. Popular Science may receive financial compensation for products purchased through this site.
Copyright © 2019 Popular Science. A Bonnier Corporation Company. All rights reserved. Reproduction in wh… [+47 chars]"
0.1027,0.037,0.891,0.072,"Over 100 high-profile celebrities including Riz Ahmed, Lena Headey,Benedict Cumberbatch, Jude Law, and Mel B have signed an open letter backing climate activist group Extinction Rebellion.
In the letter, they admit that they are ""hypocrites"" because of their… [+2561 chars]"
0.5994,0.055,0.802,0.143,"For this Halloween I have made many fake wounds.They are easy to apply and take off as the wax is easily moulded into any shape needed ;and these wounds can be done with glue instead of wax, if you were on a budget. 
-Special FX / modelling wax(I used 'Snaza… [+194 chars]"
0.7184,0.061,0.762,0.178,"A beloved staple in every home causes approximately 8,200 house fires per year. While candles make your home smell fantastic, they can also be potentially hazardous. Skip the dangerous flames and invest in an electric candle warmer that will slowly (and safel… [+161 chars]"
0.3774,0.0,0.939,0.061,"Spread the mixture onto the wax paper. Roll it into the wax paper and form a log. 
The mixture will be sticky, so make sure to keep it rolled up in the wax paper. 
Refrigerate the log for at least an hour."
0.0772,0.0,0.97,0.03,"Seth Shapiro says that an AT&amp;T employee allowed a hacker to swap his phone number from his phone to a separate device, which resulted in ""the compromise of highly sensitive personal and financial information and the theft of more than $1.8 million,"" accor… [+1397 chars]"
0.6249,0.033,0.843,0.124,"While many audiophile equipment manufacturers may wax poetic about their componentry deserving attention for their aesthetics, the OMA Ironic speaker designed by David D’Imperio truly merits the label of a working piece of art.
Crafted with the same type of … [+1445 chars]"
