compound,negative,neutral,positive,text
-0.5859,0.098,0.902,0.0,"Neymar has been struck by injury yet again.
This time it's his hamstring, and it happened just 12 minutes into Brazil's 1-1 draw with Nigeria on Sunday.
The Paris Saint Germain forward, who was making his 101st appearance for Brazil, hobbled off clutching h… [+1414 chars]"
-0.3818,0.111,0.833,0.056,"Packing organic apples at Organically Grown Company
Organically Grown Company
One of the thorniest problems that impact companies face is how to expandthat is, finding ways to scale without selling out. For one thing, growth can involve undermining an enter… [+8243 chars]"
0.861,0.0,0.787,0.213,"Serie A 
Italy's top flight provided the most exciting action from around Europe this weekend.
The highlight of the weekend came in the unlikely form of Cagliari midfielder Radja Nainggolan, who produced the goal of the season so far with a stunning, swerve… [+3983 chars]"
0.743,0.0,0.835,0.165,"Blockhain.com Tuesday announced DGLD, a digital asset that represents physical gold locked up in a vault in Switzerlandall secured with the Bitcoin blockchain. 
Each DGLD token represents 1/10th of a troy ounce of gold. Before the creation of a new token, go… [+3107 chars]"
0.7251,0.045,0.778,0.177,"More and better location data is changing our knowledge of the world, improving existing services and creating new ones. New possibilities mean new risks, to fairness, privacy and competition, and new responsibilities for governments, businesses, and people w… [+782 chars]"
0.6725,0.069,0.793,0.137,"If you’ve been following Peter Schiff for his prediction of the 2008 financial collapse or strictly because of his affinity for gold, then you’re probably aware that he is not a fan of Bitcoin (BTC), but would he be interested in gold-backed smart contracts?… [+6154 chars]"
0.0,0.0,1.0,0.0,"Alan Leidner writes about the need to daylight information about the underground infrastructure that makes New York City worknot the subways, ""the tangle of gas, electric, water and steam lines on which the city depends.""
Leidner, president of the Geospatial… [+1648 chars]"
0.4404,0.046,0.839,0.115,"LOS ANGELES--(BUSINESS WIRE)--The Los Angeles Unified School District (Los Angeles Unified) has filed a class action lawsuit against JUUL Labs, Inc., the leading e-cigarette manufacturer, for creating an epidemic of youth vaping that has infiltrated the secon… [+5956 chars]"
0.4404,0.046,0.839,0.115,"LOS ANGELES--(BUSINESS WIRE)--The Los Angeles Unified School District (Los Angeles Unified) has filed a class action lawsuit against JUUL Labs, Inc., the leading e-cigarette manufacturer, for creating an epidemic of youth vaping that has infiltrated the secon… [+5965 chars]"
0.4404,0.043,0.847,0.11,"LOS ANGELES--(BUSINESS WIRE)--The national law firm of Baron &amp; Budd today filed a class action lawsuit on behalf of the Los Angeles Unified School District (Los Angeles Unified) against JUUL Labs, Inc., the leading e-cigarette manufacturer, for creating a… [+5777 chars]"
0.4588,0.0,0.917,0.083,"COLORADO SPRINGS, Colo.--(BUSINESS WIRE)--Sanborn is announcing expansion of its Software-as-a-Service (SaaS) product line called Sanborn GeoServe. This technology stack has new added features to enhance customer engagement with Sanborns geospatial data, and … [+2443 chars]"
0.7184,0.071,0.755,0.173,"Mario Balotelli could quadruple his salary with goal-related bonuses for Brescia this season, according to reports.
The striker returned to his hometown club and accepted a pay cut compared the deals he had at OGC Nice and Olympique Marseille.
According to … [+567 chars]"
0.7506,0.074,0.72,0.206,"The Foreign Intelligence Surveillance Court (FISC) just released another bombshell opinion detailing how our FBI consistently abuses the awesome and powerful surveillance we entrust to it for legitimate law enforcement purposes.
The court outlined how the FB… [+6404 chars]"
0.0772,0.0,0.97,0.03,"One word you are most likely to find in media reports about Sir Jim Ratcliffe, the British tycoon whose company sponsored Eliud Kipchoge's Ineos 1:59 Challenge, is ""reclusive"".
This is because Ratcliffe is such a publicity-shy man that even the notoriously a… [+9670 chars]"
0.0,0.0,1.0,0.0,"Event Announcements (More details on the Events Calendar)
Tuesday, November 5, 2019, at 10:30 a.m.: The Brookings Institution will host an event on jihadism in Africa, which will feature a conversation between Brookings Senior Fellow Michael OHanlon and Prof… [+97119 chars]"
0.0,0.0,1.0,0.0,"Event Announcements (More details on the Events Calendar)
Wednesday, November 13, 2019, at 10:00 a.m.: The House Permanent Select Committee will hold the first public hearing of the impeachment inquiry. The hearing will feature testimony from William B. Tayl… [+101719 chars]"
0.0,0.0,1.0,0.0,"Event Announcements (More details on the Events Calendar)
Tuesday, October 15, 2019, 9:15 a.m.: The Hudson Institute will host a debate on the broader implications for U.S. Middle East policy following the latest developments in Syria and Turkey. Hudson Seni… [+85682 chars]"
0.128,0.0,0.966,0.034,"Tuesday, October 29, 2019, at 10:00 a.m.: The House Armed Services Committee's Future of Defense Task Force will hold its inaugural hearing on theories of victory. The task force will hear testimony from Michele Flournoy, the co-founder and managing partner o… [+96745 chars]"
0.4019,0.0,0.937,0.063,"Extract data from SQL Server
In preparation for releasing version 5.0, OmniSci continues to become more feature-rich as customers and community members help us understand how GPUs transform their analytics and data science workloads. However, in the same way… [+8710 chars]"
