compound,negative,neutral,positive,text
-0.2263,0.064,0.894,0.042,"[Author] @ Yubao Liu
For this project, I implemented the sending and receiving side of a reliable data transport (RDT) protocol. It achieves error-free, loss-free, and in-order data delivery on top of a link medium that can lose, reorder, and corrupt packets… [+11297 chars]"
0.34,0.0,0.947,0.053,"I was excited to discover a new post by Helen DeWitt on her long-dormant blog paperpools, which linked to an hour-long interview with Jeremy Kitchen and Michael Sack of Lumpen Radio’s books and literature program Eye 94 Radio; I was listening to it with immen… [+2512 chars]"
0.0,0.0,1.0,0.0,"MINNEAPOLIS--(BUSINESS WIRE)--Wanting to reduce and refocus the workloads of its probation officers, Marion County, Indiana, has begun using autonomous AB Kiosks to monitor low-risk non-violent probation clients. The AB Kiosks, which are designed and produced… [+3597 chars]"
0.0,0.0,1.0,0.0,"<table><tr><td></td><td></td><td><table><tr><td>DOUBLEPULSAR Payload Execution and Neutralization (Metasploit)
</td></tr></table>
</td></tr></table>
##
# This module requires Metasploit: https://metasploit.com/download
# Current source: https://github.co… [+13183 chars]"
0.6116,0.046,0.833,0.121,Designing a cookery is not an easy task. You need to keep in mind the small details in order to make your kitchen design perfect. A professional will help you to guide through the whole process smoothly. This is a professional who has been doing the work for … [+4262 chars]
-0.5859,0.112,0.888,0.0,"Armata Universal Combat Platform
While the T-14 Armata MBT has been widely discussed, its parent platform, the Armata Universal Combat Platform has not. Initially lofty claims were made that these vehicles would replace much of Russias Soviet-inherited armor… [+7100 chars]"
-0.4939,0.161,0.839,0.0,# Exploit Title: Technicolor TC7300.B0 - 'hostname' Persistent Cross-Site Scripting# Google Dork: N/A# Date: 2019-11-11# Exploit Author: Luis Stefan# Vendor Homepage: https://www.technicolor.com/# Software Link: N/A# Version: TC7300.B0 - STFA.51.20# Tested on… [+2161 chars]
0.875,0.0,0.783,0.217,"PETALING JAYA: It was a celebration to mark a new milestone.The Star Outstanding Business Awards (SOBA) 10th Anniversary Celebration was attended by guests from various companies and organisations who have been involved in the awards throughout the years.
It… [+2788 chars]"
0.0,0.0,1.0,0.0,"Tried GEM5 Simulator installation as per instructions provided in http://learning.gem5.org/book/part1/building.html and by doing the following
sudo apt install build-essential git m4 scons zlib1g zlib1g-dev libprotobuf-dev protobuf-compiler libprotoc-dev lib… [+6099 chars]"
0.0,0.0,1.0,0.0,"al0neSeebug Paper paper@seebug.org
18Suricata
CPUe5128G
intel Debian GNU/Linux 8.11 (jessie)3.16.0-6-amd64IDSsuricata 4.0.5 
splunksuricata-update 
2traid 12tgpt 
The size of this disk is DOS partition table format can not be used on drives for volumes … [+15780 chars]"
0.6486,0.0,0.868,0.132,[This unedited press release is made available courtesy of Gamasutra and its partnership with notable game PR-related resource GamesPress.]Gaijin Entertainment announces the release of a major Content Update “Shark Attack” for the military online action game … [+3303 chars]
-0.5859,0.135,0.825,0.04,"Canada Cup X
Smash.gg - Twitter
Featured Game(s): Tekken 7 - Street Fighter V: Arcade Edition - Mortal Kombat 11 - UNIST - Smash Bros. Ultimate - Smash Bros. Melee - Dragonball FighterZ - Samurai Shodown - Blazblue: Cross Tag Battle - Guilty Gear Xrd Rev 2 … [+5245 chars]"
-0.2363,0.085,0.874,0.041,"Snort
mailing list archives
Re: snort3_build261 cannot work with nfq Re:Re: Help! A critical error in appid but not occur every time
From: Dorian ROSSE via Snort-users &lt;snort-users () lists snort org&gt;Date: Sun, 13 Oct 2019 13:08:41 +0000
Do you need… [+43085 chars]"
0.0,0.0,1.0,0.0,"Wanting to reduce and refocus the workloads of its probation officers, Marion County, Indiana, has begun using autonomous AB Kiosks to monitor low-risk non-violent probation clients. The AB Kiosks, which are designed and produced by Minnesota-based Precision … [+4078 chars]"
