compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"By Pejman Mohammadi, Stephane E. Castel, Beryl B. Cummings, Jonah Einson, Christina Sousa, Paul Hoffman, Sandra Donkervoort, Zhuoxun Jiang, Payam Mohassel, A. Reghan Foley, Heather E. Wheeler, Hae Kyung Im, Carsten G. Bonnemann, Daniel G. MacArthur, Tuuli Lap… [+37 chars]"
0.7717,0.0,0.835,0.165,"Michele Marie PR is a full-service public relations agency specializing in print, digital and broadcast editorial, celebrity/influencer and event PR in the fashion, beauty, wellness and lifestyle industries. MMPR focuses on developing and executing strategica… [+472 chars]"
0.7579,0.0,0.839,0.161,"egyptian street food restaurant zooba has recently opened a new york flagship in nolita, becoming the neighborhood’s new go-to spot for inspired and innovative eats. since first opening in cairo in 2012, zooba has been turning familiar egyptian street food on… [+2903 chars]"
0.5413,0.0,0.899,0.101,"Panasonic has announced a series of firmware updates for its S1, S1R, GH5, GH5S and G9. Perhaps the most significant being that the G9 gains most of the GH5's video capabilities.The forthcoming firmware updates range from bug fixes and compatibility improveme… [+6489 chars]"
0.5994,0.0,0.888,0.112,"Los Angeles-based artist Dijon has returned after releasing his debut Sci Fi 1 EP earlier this March, sharing a new single entitled CRYBABY :*( with an accompanying visual directed by Jack Karaszewski. The budding R&amp;B singer continues with his visceral ta… [+1797 chars]"
0.9397,0.0,0.75,0.25,"Iceland has been cold and damp the whole time I have been here but it’s also unbelievably beautiful, with the sea and the mountains within eyesight pretty much everywhere. Especially when you make a special trip 45 minutes outside Reykjavik to see a couple ar… [+4560 chars]"
0.0,0.0,1.0,0.0,"The LG Stylo 5 was first made available on Cricket Wireless and then a few months later, it hit Metro and T-Mobile. The phone is getting a minor upgrade and follow up in the form of the LG Stylo 5+. This time, it’s AT&amp;T releasing the new Android smartphon… [+1230 chars]"
0.7845,0.0,0.537,0.463,Your vote will help the community find the best deals.
0.9517,0.022,0.701,0.277,"2020 is fast approaching and with that comes time to select a new
Creative Team. 
We are super thankful for all the hard work the
2019 team put into their projects this year. We wish them all the best as they continue to craft the stories of their lives. … [+1041 chars]"
0.5904,0.051,0.836,0.113,"TAF1 is required for the proliferation of AE-expressing cells
TAF1 is overexpressed in many AML cell lines compared to its expression in CD34+hematopoietic stem progenitor cells (HSPCs) isolated from human umbilical cord blood (CB) (Supplementary Fig. 1a). T… [+30032 chars]"
0.7717,0.0,0.848,0.152,"This month's theme has been about documenting the ways that we watch and observe in our lives, and as always, our Creative Team has created inspiring projects to tell their stories. And just as a reminder, Tuesday, November 12th, is the last day to subscribe … [+300 chars]"
0.1779,0.0,0.959,0.041,"Arts Electric, a mainstay in the Frankfort community for nearly 50 years, has announced a name change and a new location to go along with its new identity.
Now known as AE Electrical Solutions, the company, which provides electrical contracting services, was… [+2725 chars]"
0.0,0.0,1.0,0.0,"October 31, 2019 AT 7:00 pm
NEW PRODUCTS – Sony Spresense – Main Board / Extension Board / Camera Board
Coming soon! Sign up to be notified when we have these in the store.
First up, the main board!
SPRESENSE is a low-power board computer for the IoT that… [+5901 chars]"
0.4019,0.0,0.901,0.099,"Canon has announced the development of the EOS 1D X Mark III, the successor to the 1D X Mark II and a flagship DSLR that has more power, more speed, and more durability.
“Ideal for sports and wildlife, the flagship DSLR is being engineered and designed using… [+2713 chars]"
0.7184,0.0,0.86,0.14,"An academic from Loughborough University has been awarded the Philip Leverhulme Prize. Dr. Alister Smith has been given £100,000 to keep developing underground monitoring systems that can hear when infrastructures are deteriorating. 
This is an extremely use… [+3335 chars]"
0.2283,0.033,0.915,0.052,"We live in a world where you get a new iPhone every year, with or without significant features. It is so refreshing to see a camera like the Canon 1Dx Mark III getting an announcement, even if just a development announcement. It took three years from the rele… [+7666 chars]"
0.3182,0.053,0.865,0.082,"Sidhu, after showing reluctance to speak to the media, said he was thankful to Guru Nanak for the opening of the Kartarpur Sahib corridor. (Express photo: Gurmeet Singh)
It was a public appearance for cricketer-turned-politician Navjot Singh Sidhu after a se… [+1320 chars]"
0.4497,0.0,0.918,0.082,"The next camera in the 1D X line adds some new bells, but sticks with the 4K60p whistle.
Canon has officially announced the development of the highly-anticipated successor to its flagship 1D X Mark II DSLR, the new EOS-1D X Mark III.
The 1D X Mark III build… [+2318 chars]"
-0.0516,0.05,0.904,0.046,"As the old adage goes: If you name your song after Lou Barlow, then Lou Barlow will appear in the music video for said song. Or something like that. Of course, when the Get Up Kids included “Lou Barlow” on their first album in eight years, Problems, they had … [+3052 chars]"
