compound,negative,neutral,positive,text
-0.5939,0.116,0.855,0.029,"AT&amp;T dropped a huge deal this weekend: an Apple TV 4K for just $90. Thats nearly 50 percent off its regular $179 price tag and also the lowest price weve yet seen for the Apple TV 4K. Now, its no longer available online, but that doesnt mean all hope is l… [+1431 chars]"
0.7,0.028,0.839,0.134,"AMP, Google's somewhat controversial project for speeding up the mobile web, has always been open-source, but it also always felt like a Google project first. Thursday, however, Google announced that the AMP framework will join the OpenJS Foundation, the Linu… [+828 chars]"
-0.0258,0.067,0.848,0.085,"AT&amp;T has seemingly managed to dream up a whole new way to fuck with its customers, namely by giving them data that they didnt ask for and charging them a fee for it.
A 15 GB data hike and accompanying charge, reported Wednesday by the Verge, affects some… [+2063 chars]"
-0.2732,0.048,0.952,0.0,"Blackouts may be coming back to California. PG&amp;E, the states largest utility, announced Tuesday it may have to shut off power again to nearly 200,000 customers. Why? Oh, you know, the usual: wildfire risk.
Many parts of northern California, including aro… [+2453 chars]"
-0.6808,0.175,0.774,0.051,"In Northern California, utility PG&amp;E cut power to hundreds of thousands amidst a wildfire weather threat. Southern Californias main electric utility didnt, and now it appears its equipment could responsible for sparking last weeks Saddleridge Fire. 
On M… [+3469 chars]"
0.1531,0.075,0.858,0.067,"AT&amp;T is set to pay a pretty large chunk of change to settle with the Federal Trade Commission over allegations that the company sold unlimited data plans that were not, in fact, unlimitedfar from it, in fact.
Rather, according to a complaint against the … [+2140 chars]"
-0.296,0.066,0.898,0.036,"Johnson &amp; Johnson announced a voluntary recall of its talc-based baby powder products on Friday, after the Food and Drug Administration found traces of cancer-causing asbestos in sample testing. The recall follows legal losses and an investigative report … [+2373 chars]"
-0.7876,0.146,0.826,0.029,"At this point, no one should be surprised when a new cellphone plan branded with the word unlimited is anything but. And yet, AT&amp;Ts three new plans have figured out a new way to abuse the definition of unlimited even further. 
Starting on Sunday, Novembe… [+1858 chars]"
0.0,0.0,1.0,0.0,"From left, LA City Councilman Mike Bonin, California Gov. Gavin Newsom and LA Mayor Eric Garcetti tour a burned home along in Brentwood, Calif., on Tuesday.
Wally Skalij/AP
California Gov. Gavin Newsom said Friday that he wants to speed up Pacific Gas &amp;… [+2394 chars]"
-0.2263,0.044,0.956,0.0,"Hollywood producer Tom DeSanto has dismissed his $30 million lawsuit against Gail Gygax, the widow of Dungeons &amp; Dragons co-creator Gary Gyagx, Kotaku has learned.
DeSanto, who produced X-Men and Transformers, had been in talks with Gail Gygax for eight … [+1392 chars]"
0.3612,0.031,0.883,0.086,The Federal Trade Commission announced today that AT&amp;T has agreed to pay $60 million in a settlement that centers around secretly throttled unlimited plans in 2011. You might assume the fine has something to do with the broadband industrys liberal use of … [+4539 chars]
0.8402,0.044,0.76,0.196,"FroYo brand honors veterans with discount, says an actual email I got from a TCBY rep, because we live in an Infinite Jest-ass Futurama world, where the reward for risking your life on behalf of Americas imperialist oligarchs is a free 6-ounce cone of frozen … [+5063 chars]"
-0.2263,0.075,0.87,0.056,"AT&amp;Ts major foray into the streaming wars
HBO Max, AT&amp;Ts big foray into streaming, will launch in May 2020 for per $14.99 a month, the company announced at a special event held for investors. An ad-supported tier will reportedl launch in 2021.
The p… [+3339 chars]"
0.3182,0.0,0.926,0.074,"AT&amp;T customers who subscribe to HBO will get HBO Max for free
Advertising and HBO arent usually thought of in the same sentence, but a new report suggests that AT&amp;Ts upcoming streaming service, HBO Max, will become the first major HBO-branded project… [+3997 chars]"
0.0,0.0,1.0,0.0,"AT&amp;T’s streaming service is again raising prices. AT&amp;T’s TV Now, the service previously known as DirecTV Now, is bumping up its prices yet again — by as much as 30%, Bloomberg reported and AT&amp;T confirmed. Subscribers who were on the $50 Plus tier … [+2679 chars]"
0.5859,0.0,0.919,0.081,"One day before AT&amp;Ts big HBO Max presentation 
Photo by Win McNamee / Getty Images
AT&amp;T is set to announce the launch date, price, and first offerings for its upcoming HBO Max streaming service on October 29th, and AT&amp;T CEO Randall Stephenson ha… [+2718 chars]"
-0.6012,0.142,0.808,0.05,"AT&amp;T is being punished at last for its shady claims of plans with “unlimited data” but were in reality nothing of the kind: The company has agreed to a $60 million settlement with the FTC, which has pursued the case for years. Some 3.5 affected customers … [+3721 chars]"
0.0,0.0,1.0,0.0,"Custom search engines are one of the coolest features of any modern browser. With just a few keystrokes, you can search Wikipedia right from your address bar, do a custom Google search for Lifehacker articles, or even get driving directions to a specific loca… [+5622 chars]"
0.9493,0.023,0.661,0.316,"The FCC will host a memorial service; unlimited and bonus will share a casket
AT&amp;T has a gift for wireless subscribers on many of its old Mobile Share Value data plans: its giving them an extra 15GB of bonus data and its making them pay an extra $10 a mo… [+2636 chars]"
0.8784,0.0,0.813,0.187,"Happy Halloween, ghouls and goblins! Welcome to a (possibly) spooky edition of The Monitor, WIREDs culture news roundup. What do we have in store for you this holiday? Lets just say if you didnt dress up as Jon Snow today because you thought the costume would… [+1632 chars]"
