compound,negative,neutral,positive,text
0.6922,0.064,0.757,0.179,"The Epic Games Store has a little Halloween treat for you, with both dress ’em up RPG Costume Quest and grim depths survival game Soma free for the next week. If you’re going to grab a freebie for your kiddy-winks, I urge you to be very careful with your clic… [+1463 chars]"
0.936,0.068,0.567,0.366,"Costume Quest is a Halloween adventure from Tim Schafer's Double Fine Productions. In this charming role-playing game, choose your hero and trick-or-treat through three beautiful environments full of Double Fine humor and story.SOMA is a sci-fi horror game fr… [+201 chars]"
0.296,0.075,0.786,0.139,"Thomas Grip thinks a lot about monsters. As the creative director at Frictional Games, developers of horror games including Amnesia: The Dark Descent and most recently Soma, he has substantial sway in how his studio's creatures look and behave.
Grip shares h… [+9712 chars]"
0.6696,0.0,0.887,0.113,"'Tis Halloween, when ghosts and ghouls come out to play, and when Epic Games shoves a new batch of freebies onto its store because it's also Thursday. But what's this! Today's releases - SOMA and Costume Quest - are a spooky lot, as befitting of the season.
… [+2685 chars]"
0.6369,0.0,0.913,0.087,"« previous post | 
Two of the best known displays of Chinese culture worldwide are the Lion Dance and Dragon Boat Races.  The former, including the Chinese word for ""lion"", is actually an import from the Western Regions (Central Asia, or East Central Asia mo… [+11702 chars]"
0.296,0.031,0.913,0.056,"Empath’s debut Active Listening: Night On Earth is less than six months old, and today they’re already back with new music. The tune in question is a cover of “Drunken Angel” from Lucinda Williams’ 1998 classic Car Wheels On A Gravel Road — which, you may rec… [+2474 chars]"
-0.0258,0.147,0.708,0.145,"Epic Games Store has replaced &gt;observer_ and Alan Wake: American Nightmare to put on offer Q.U.B.E. 2 and Layers of Fear this week, giving them away to claim for free.
If last week’s giveaway of Observer was to your liking, Layers of Fear should pique you… [+2930 chars]"
-0.5574,0.135,0.801,0.064,"Continuing its Halloween-inspired giveaways, the Epic Games Store has put on offer SOMA and Costume Quest to claim for free this week, replacing Layers of Fear and Q.U.B.E. 2.
SOMA is a sci-fi survival horror game developed by Frictional Games – the same tea… [+2332 chars]"
-0.5859,0.079,0.921,0.0,"There’s an escalating government assault on our stem cells and we should all be very concerned about it.
Most people probably associate stem cells with religious debates over embryos and fetuses. However, we all have stem cells inside of us that many contend… [+4803 chars]"
0.0,0.088,0.823,0.088,"Image source: The Motley Fool.
Apergy Corporation (NYSE:APY)Q3 2019 Earnings CallOct 24, 2019, 10:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning, and … [+54899 chars]"
0.296,0.0,0.95,0.05,"GameSpot may get a commission from retail offers.The products discussed here were independently chosen by our editors. GameSpot may get a share of the revenue if you buy anything featured on our site.
As is tradition, dates for Steam's upcoming sales have le… [+2004 chars]"
0.296,0.0,0.95,0.05,"GameSpot may get a commission from retail offers.The products discussed here were independently chosen by our editors. GameSpot may get a share of the revenue if you buy anything featured on our site.
As is tradition, dates for Steam's upcoming sales have le… [+1968 chars]"
0.7351,0.03,0.826,0.143,"ShopRunner, a paid membership service that offers free two-day shipping from dozens of online brands, today announced that it is offering its shipping service free to customers who check out with Apple Pay at some ShopRunner retailers.
ShopRunner's service n… [+1559 chars]"
-0.4939,0.066,0.934,0.0,"We have pointed out many times that there are only two consistent ""drivers"" of the market: the emotion of fear and the flow of funds from the Federal government. This article will deal with the latter.
The Federal government exercises control over its moneta… [+6882 chars]"
-0.3489,0.094,0.789,0.116,"The fall season of anime on Crunchyroll is well underway, and many popular anime titles are taking off, or they're back for another season. This includes not only the mega-popular My Hero Academiaand Black Clover, but also Food Wars! (also known as Shokugeki … [+6809 chars]"
0.4497,0.072,0.783,0.145,"This week's Epic Games Store freebies are excellent Halloween fare, but they couldn't be more different. Costume Quest and SOMA will both keep you company during the spookiest part of the year, one comforting you while the other tries to freak you out. 
Cost… [+842 chars]"
0.4939,0.038,0.86,0.102,"(Sandy) Alex G released his latest album, House Of Sugar, about a month ago, and the Philadelphia musician is about to go on an extensive tour in support of it. He recently stopped by the SiriusXMU studios, where he played a new cover of Shania Twain’s “You’r… [+1495 chars]"
0.0516,0.034,0.927,0.039,"Jaden and Willow Smith are heading out on the road together. The Willow &amp; Erys Tour will feature the siblings as co-headlining acts, kicking off November 12th at San Diego’s SOMA venue and playing stops throughout the U.S. and Canada, before wrapping Dece… [+1560 chars]"
0.7797,0.0,0.843,0.157,"Lets get to the point: the last decade has been great for anime, and below youll find the proof.
This list does not include anime that debuted before 2010, which means you wont find some serious greats like Fullmetal Alchemist: Brotherhood, Bakemonogatari, a… [+23026 chars]"
0.0,0.0,1.0,0.0,"In an old brick building on South of Market’s Third Street, the future of San Francisco is being sold.
Kilroy Realty Corp., one of the city’s largest developers, opened a marketing center with a giant television screen and shoulder-height models of its Flowe… [+2781 chars]"
