compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Though the timing of Apple's announcement seemed comically coincidental, Erlicht and Van Amburg had been talking to Apple for some time. In its quest to develop content that could hold up to fare from Netflix and Hulu, the company had been discussing possible… [+3905 chars]"
0.4601,0.0,0.915,0.085,"he plaBy now, you should almost certainly know about Ethereum, ETH the second largest cryptocurrency by market cap. But if you needed a quick recap, here it is.
Ethereums creators wanted to build a platform that would allow users all over the world to write … [+7608 chars]"
0.4767,0.0,0.931,0.069,"Federal regulators could move to limit mint flavors after study shows its popularity 
Diedra Laird/Charlotte Observer/Tribune News Service via Getty Images
One in four high schoolers and one in ten middle schoolers have tried vaping in the last 30 days, acc… [+3970 chars]"
0.9382,0.0,0.696,0.304,"Tequila is a spirit that a lot of people equate with shots, and consequently morning hangovers. In actuality, aged tequilas can be delicious to sip on straight or on the rocks, just like you might enjoy a nice, aged whisky.
If youre new to the spirit, at lea… [+1700 chars]"
-0.6249,0.093,0.907,0.0,"A woman crosses a flooded St. Mark's Square on Wednesday, November 13, after an exceptionally high tide inundated the area overnight. 
The Italian city of Venice is seeing its worst flooding in decades, prompting local authorities to submit a request for a s… [+679 chars]"
-0.296,0.128,0.872,0.0,"VideoPlus paintings ""coming to life"" in your round-up of news you might have missed this week."
-0.2755,0.045,0.955,0.0,"In an interview with Newsday, which first reported on the suspension, Mr. Shaver said he had not intentionally run up the score and did not agree with the committees interpretation of the rule. 
They thought it was a mismanaged game, which my opinion is, tha… [+1272 chars]"
-0.7184,0.128,0.872,0.0,"Even so, the F.B.I. said there were 4,571 reported hate crimes against people in 2018, many of them in Americas largest cities, involving victims from a wide range of ethnic and religious backgrounds. 
Theres a diversifying base of groups that are being targ… [+976 chars]"
0.8294,0.0,0.858,0.142,"Shuffling and reassembling events to smooth the arc may improve the shape, but at the cost of accuracy; the 1993 Turner biopic Whats Love Got to Do With It was almost as much fiction as fact. This stage musical, for which Turner and her second husband, Erwin … [+1649 chars]"
-0.7096,0.144,0.856,0.0,"(CNN)After crossing the finish line, a high school athlete's runner's high soon turned into a broken heart.
Noor Alexandria Abukaram was disqualified because she was wearing a hijab, which doesn't conform to uniform regulations.
The 16-year-old cross countr… [+5826 chars]"
0.6808,0.0,0.909,0.091,"Google announced a ton of hardware on Tuesday, but none will make Chromebook users happier than the Pixelbook Go.
The company's latest entrant in the laptop arena was shown off at Made by Google 2019 in New York City. It's available for preorder now with a s… [+1306 chars]"
-0.2023,0.056,0.905,0.039,"And is the rarest of constitutional consequences, impeachment by the House and then possible conviction and removal from office by the Senate, worth the trouble a year before the next election the first in which the students in Mr. Diers class, most of whom a… [+1564 chars]"
0.3609,0.048,0.873,0.079,"Less successful, though, is its odd real-life counterpart, Encore!, which maybe should be called High School Musical: Adults. The premise, at least, is a gold mine: People who performed together in a musical in high school reunite years later to do it all aga… [+1623 chars]"
0.34,0.0,0.925,0.075,"Facebook’s latest transparency report is out.
The social media giant said the number of government demands for user data increased by 16% to 128,617 demands during the first-half of this year compared to the second-half of last year.
That’s the highest numb… [+1562 chars]"
-0.6249,0.158,0.778,0.064,"Image copyrightRescue1122
The Pakistani government's record of enforcing train safety is coming under scrutiny after a fire killed more than 70 passengers.
Opposition politician Bilawal Bhutto Zadari said Sheikh Rashid Ahmed, the Minister for Railways, ""has… [+3320 chars]"
0.5574,0.041,0.841,0.119,"Image copyrightReutersImage caption
 The protests in Hong Kong began in response to a bill championed by Ms Lam
China's President Xi Jinping has told embattled Hong Kong leader Carrie Lam that the central government has a ""high degree of confidence"" in her,… [+3261 chars]"
0.2156,0.062,0.856,0.081,"Most people cant really innovate, says Hartmut Esslinger, founder of frog design. He and his company (now celebrating fifty years in business) helped design Apples portable computers, Sonys Walkman, and many websites, apps, gadgets, and high-end medical and d… [+6181 chars]"
0.6124,0.027,0.885,0.088,"Googles Pixel 4 and 4 XL are the latest smartphones to jump on the high-refresh-rate craze, but when your new shiny Pixel is finally in your hand, you may find that its 90Hz screen isnt always as smooth as you expected.
Unlike other high-refresh-rate display… [+2440 chars]"
0.7579,0.0,0.842,0.158,"As the winter slowly descends upon us, its time for the annual tradition of hand-wringing, self-loathing, and maybejust maybewriting a novel in 30 days. National Novel Writing Month has become a beacon of hope each November for the many high achievers who des… [+2704 chars]"
0.1531,0.061,0.864,0.075,"The mayor, however, previously had a friendly relationship with the company, although both sides disagree on when it began to deteriorate.
In late 2016, Mr. Fulop approached Airbnb for a contribution toward his re-election campaign, according to emails obtai… [+1251 chars]"
