compound,negative,neutral,positive,text
0.5106,0.0,0.886,0.114,"Trans and non-binary people in states like Illinois, Arizona, and Florida will soon have the option to choose the first name they want on their payment cards without it having to match their legal name.  
Mastercard partnered with the Chicago-based bank BMO … [+1982 chars]"
0.0,0.0,1.0,0.0,"Over the past few years, gig economy companies and the treatment of their labor force has become a hot button issue for public and private sector debate.
At our recent annual Disrupt event in San Francisco, we dug into how founders, companies and the broader… [+1497 chars]"
-0.6249,0.108,0.892,0.0,"A US federal court has ordered defendants to pay $4.25 million in penalties as a result of operating a virtual currency scam known as ATM Coin.
Blake Harrison Kantor and Nathan Mullins, both from New York and corporate entities Blue Bit Banc, (UK); Blue Bit … [+1737 chars]"
0.0,0.0,1.0,0.0,"Abstract
Black hole binary systems with companion stars are typically found via their x-ray emission, generated by interaction and accretion. Noninteracting binaries are expected to be plentiful in the Galaxy but must be observed using other methods. We comb… [+18962 chars]"
0.6705,0.0,0.901,0.099,"Thank you for your interest in spreading the word about Science.
NOTE: We only request your email address so that the person you are recommending the page to knows that you wanted them to see it, and that it is not junk mail. We do not capture any email addr… [+3 chars]"
0.0258,0.051,0.897,0.053,"Air Canada flight staff will no longer greet passengers by calling them ""ladies and gentlemen,"" the company announced, in an effort to include all genders.
Instead of the gender-specific ""ladies and gentlemen"" (or French ""mesdames et messieurs""), flight atte… [+1576 chars]"
-0.7096,0.157,0.783,0.061,"We rarely talk in public about periods, but this is changing with Saturday's first-ever National Period Day. 
On this day, people in all 50 states are rallying to highlight an invisible problem period poverty. Many menstruators (not all people who menstruate… [+3289 chars]"
0.2263,0.0,0.949,0.051,"An artists impression of two exoplanets orbiting a pair of red dwarfs.NASA / JPL-Caltech / T. Pyle / Sci-News.com
Astronomers using the Italian Telescopio Nazionale Galileo and the High Resolution Echelle Spectrometer on the Keck Telescope have discovered a … [+2244 chars]"
0.7758,0.0,0.841,0.159,"Republicans also hope that the more that Democrats talk about impeachment, the more opening they will have to cast it as illegitimate. 
Its not lost on people that many of these candidates were actually on the record supporting impeachment before anyone was … [+2243 chars]"
0.836,0.0,0.829,0.171,"Im a cisgender white male. I can unlock my phone, sign into my bank account, and breeze through border patrol check points using my face with 98 percent accuracy.
Facial recognition software is great for people who look like me. Sure, I still face the same e… [+5880 chars]"
0.5927,0.039,0.863,0.098,"This hack was revealed a while ago at DEFCON26, but it’s still a fascinating look into vulnerabilities that affect some of the most widely used IoT devices.
[Dennis Giese] figured out a way to modify ARM Cortex-M based firmware for use in customizing the fun… [+1938 chars]"
-0.3818,0.16,0.691,0.149,"If you have a cervix, there's a good chance a Sudbury doctor is going to encourage you to get screened for cancer.
Dr. Jennifer Jocko is the regional cervical screening and colposcopy lead for northeastern Ontario. She says the topic of cervical cancer comes… [+2377 chars]"
0.0258,0.061,0.876,0.063,"Catras got a powerful new ally at her side. Netflix has announced that Jacob Tobia, a gender nonconforming writer, producer, and performer, has joined the cast of She-Ra and the Princesses of Power as Double Trouble, a non-binary shapeshifter who quickly rise… [+1819 chars]"
0.3384,0.0,0.948,0.052,"The may very well be the smallest homemade TTL CPU we’ve ever seen. Measuring at one square inch, this tiny chip boasts 40 connections, an 8-bit databus, a 16-bit address bus, a 64 kB memory space, reset and clock inputs, and 5 V power lines.
TTL (transistor… [+2112 chars]"
-0.25,0.076,0.87,0.054,"(CNN)Gwyneth Paltrow was a crucial source when The New York Times investigated Harvey Weinstein two years ago. She encouraged other actresses to come forward, and she eventually decided to go on the record with her own allegation of harassment against Weinste… [+3099 chars]"
0.4404,0.0,0.925,0.075,"IBM Research today revealed a breakthrough nanotechnology technique that allows researchers to position individual atoms and control their quantum properties. This could be a watershed moment on the path to generally useful quantum computers.
The research te… [+2679 chars]"
-0.6705,0.126,0.874,0.0,"Apex: Stories from the Outlands – Voidwalker is the second of, so far, two short cinematic vignettes, meant to provide some narrative to the otherwise plot-barren battle-royale frenzy of fluid movement and chaotic gun-slinging that is Apex Legends. Principall… [+9308 chars]"
-0.128,0.04,0.96,0.0,"It’s tough to find a project these days that doesn’t use an analog-to-digital converter (ADC) or digital-to-analog converter (DAC) for something. Whether these converters come as built-in peripherals on a microcontroller, or as separate devices connected over… [+9723 chars]"
0.5719,0.0,0.872,0.128,"Today, we are learning the language in which God created life,"" said then-president Bill Clinton, alongside the British prime minister, Tony Blair, in 2000. In the grainy archival clip, scientists and dignitaries had just mapped out the human genome, dissecti… [+1423 chars]"
