compound,negative,neutral,positive,text
0.5574,0.0,0.881,0.119,"Frontier Car Group, the Berlin-based startup building used-car marketplaces targeting high-growth, emerging markets, has picked up another significant round of funding from a strategic backer also focusing on the same geographical opportunity.
Today, OLX, th… [+4535 chars]"
-0.4019,0.062,0.938,0.0,"Libra could use a return to balance. Even by Facebook standards, its been a tumultuous few weeks for the companys nascent cryptocurrency effort. First came the departure of PayPal, the old haunt of Facebook blockchain guru David Marcus, from the Libra Associa… [+3801 chars]"
-0.2247,0.05,0.95,0.0,"This week saw the cybersecurity world taking big strides against some of the world's most aggressive hackers. In a dramatic and potentially precedent-setting move, WhatsApp, the Facebook-owned messaging platform, sued the Israeli surveillance contractor NSO G… [+3593 chars]"
-0.0772,0.082,0.821,0.097,"The Islamic State (IS) group has confirmed the death of its leader, Abu Bakr al-Baghdadi, and named his successor. 
According to the IS-controlled Amaq news agency, Abu Ibrahim al-Hashemi al-Qurayshi has been chosen as new leader.
US special forces tracked … [+817 chars]"
-0.872,0.248,0.752,0.0,"WhatsApp just took a hard new line against the malware industry, suing notorious Israeli surveillance contractor NSO Group for attacks on more than a thousand of its users. The case could mark a turning point in Silicon Valley's fight against private-sector e… [+4034 chars]"
0.8689,0.0,0.769,0.231,"Volvo Group has established a new dedicated business group focused on autonomous transportation, with a mandate that covers industry segments like mining, ports and moving goods between logistics hubs of all kinds. The vehicle maker has already been active in… [+1577 chars]"
0.34,0.0,0.922,0.078,"Confirming earlier reports, The We Company and SoftBank Group agreed to a new capital infusion which will see SoftBank committing $5 billion in new financing and issuing a tender offer for another $3 billion in buybacks for shareholders.
The company also sai… [+3582 chars]"
-0.2023,0.111,0.841,0.049,"WhatsApp has filed a suit in federal court accusing Israeli mobile surveillance maker NSO Group of creating an exploit that was used hundreds of times to hack into target’s phone.
The lawsuit, filed in a California federal court, said the mobile surveillance… [+2344 chars]"
-0.743,0.183,0.817,0.0,"Protests by climate activist group Extinction Rebellion has continued to roil cities around the world, including London. And after shutting down parts of Central London, police banned the group from conducting protests anywhere in the city on Monday evening. … [+5147 chars]"
-0.5994,0.117,0.883,0.0,"Facebook and subsidiary WhatsApp have filed suit against shadowy Israeli cyber-intelligence firm NSO Group, saying that it exploited a vulnerability in the encrypted messaging app to infect over 1,400 phones with malware.
Per Bloomberg, the suit alleges that… [+3070 chars]"
-0.7096,0.134,0.866,0.0,"To the Stars Academy of Arts and Sciences (TTSA)the UFO research organization founded by former Blink 182 star Tom DeLongehas struck a research deal with the U.S. Army filled with eye-popping references to exotic technologies.
TTSA, whose membership includes… [+8690 chars]"
0.7906,0.0,0.84,0.16,"A group costume is a surefire way to slay Halloween especially when it involves the creator of Blue Steel. 
Group costumes are extra safe, since you know your friends are hitting the town equally as dressed up as you are, and they automatically multiply the … [+2387 chars]"
0.4939,0.0,0.932,0.068,"CORNELIUSDUFALLO I was in the Flux Quartet, and Joan was curating the When Morty Met John festival at Carnegie Hall. We collaborated on [Earle Browns] Folio and Four Systems, and that, for me, was an incredible moment. Fast forward a year or two: I was comple… [+1367 chars]"
0.0,0.0,1.0,0.0,"Image caption
 Some of the Vietnamese aim to board lorries to get to the UK
An hour's drive inland from the French coast, a dozen Vietnamese men nurse tea over a smoking campfire, as they wait for a phone call from the man they call ""the boss"". An Afghan ma… [+2188 chars]"
-0.5106,0.097,0.903,0.0,"Image copyrightGetty ImagesImage caption
 A court sketch of Inès Madani, Ornella Gilligmann and Sarah Hervouët during the trial
Five French women have been sentenced to between five and 30 years in jail for trying to detonate a car bomb near Notre-Dame cath… [+3149 chars]"
-0.5106,0.082,0.918,0.0,"Image copyrightReutersImage caption
 The Islamic State group has a disturbing track record of resilience
Under the leadership of Abu Bakr al-Baghdadi, the ultra-violent jihadist group Islamic State (IS) evolved from a gang of insurgents to the most formidab… [+4020 chars]"
-0.4215,0.09,0.879,0.031,"Image copyrightBig Hit EntertainmentImage caption
 TXT are only the second idol group to come from the agency that launched BTS in 2013
I was told that the next big thing in K-pop were nervous backstage before the showcase of their first studio album. 
No … [+6431 chars]"
0.4019,0.0,0.938,0.062,"Facebook says it has already removed the apps' access to Group members' names and photos. Those applications were primarily for managing social media and video streaming services, such as those used by companies to provide customer support online. The company… [+1055 chars]"
-0.8316,0.29,0.598,0.112,"Image copyrightHandoutImage caption
 CCTV footage captured members of the Proud Boys viciously beating protesters
Two members of the US far-right group the Proud Boys have been jailed for four years for beating up anti-fascist activists in a fight last year… [+2093 chars]"
