compound,negative,neutral,positive,text
-0.4937,0.129,0.827,0.044,"The buoy was actually the most difficult part of this project. I needed to come up with a stable, waterproof, floating unit to hold the transmitting unit. I could find nothing useful on line that I could purchase and adapt that would do the trick. There were … [+1976 chars]"
0.6908,0.0,0.87,0.13,"TOKYO--(BUSINESS WIRE)--Fifteen Japanese university students are scheduled to visit Socialist Republic of Vietnam from November 12th to 20th as part of the Japans Friendship Ties Programs JENESYS 2019 promoted by the Ministry of Foreign Affairs (MOFA).
The g… [+2719 chars]"
0.0,0.0,1.0,0.0,Kubernetes Apache Kafka Kafka Jenkins Long Nguyen wenjunzhangp FPT Long Nguyen Google Summer of Code 2019 Remoting over Apache Kafka w...
0.2023,0.0,0.948,0.052,"DUBLIN--(BUSINESS WIRE)--The ""Asia-Pacific B2C E-Commerce Market 2019"" report has been added to ResearchAndMarkets.com's offering.
<ul><li>
Asia-Pacific remains global leader in B2C E-Commerce sales
</li><li>
Asia-Pacific is the world's top region in onli… [+6342 chars]"
0.6124,0.0,0.884,0.116,"After Samyan Mitrtown's completion, Golden Land Property Development, a subsidiary of SET-listed Frasers Property Thailand (FPT), is ready to handle the development of a new mixed-use project at Bang Na.
""We are ready to develop any projects the parent firm … [+2177 chars]"
0.0,0.0,1.0,0.0,"DUBLIN--(BUSINESS WIRE)--The ""Vietnam IoT In Manufacturing Market By Component (Solutions, Services &amp; Platforms), By Application Area, By Vertical (Energy &amp; Utilities, Oil &amp; Gas, Electronics &amp; Electricals, Automotive, &amp; Others), Competitio… [+7673 chars]"
0.0,0.0,1.0,0.0,"5020&gt;&gt;&gt; 
Jenkins 
    Long Nguyen
wenjunzhangp
FPT Long Nguyen Google Summer of Code 2019  Remoting over Apache Kafka with Kubernetes features  Jenkins 
 
 Remoting over Apache Kafka plugin  zookeeper kafka 1. Apache-Kafka 2. Kubernetes 
 
<u… [+1889 chars]"
0.296,0.0,0.944,0.056,"Fitch Ratings Thailand has downgraded Bangkok Aviation Fuel Services' national long-term rating to A from A+, while maintaining BAFS's outlook as stable.
The agency also affirmed BAFS's national short-term rating at F1.
The downgrade reflects Fitch's expect… [+3050 chars]"
0.0,0.0,1.0,0.0,"DUBLIN--(BUSINESS WIRE)--
The ""Vietnam IoT In Manufacturing Market By Component (Solutions, Services &amp; Platforms), By Application Area, By Vertical (Energy &amp; Utilities, Oil &amp; Gas, Electronics &amp; Electricals, Automotive, &amp; Others), Competit… [+7768 chars]"
0.1027,0.052,0.886,0.061,"Runx1 expression pattern implies a role in ovary development
The runt gene, critical for ovarian determination in the fly22, has three orthologs in mammals: RUNX1, RUNX2, and RUNX3. Although all three RUNX transcription factors bind the same DNA motif, they … [+25561 chars]"
0.6124,0.0,0.884,0.116,"After Samyan Mitrtown's completion, Golden Land Property Development, a subsidiary of SET-listed Frasers Property Thailand (FPT), is ready to handle the development of a new mixed-use project at Bang Na.
""We are ready to develop any projects the parent firm … [+2177 chars]"
0.6249,0.048,0.784,0.169,"Between January and September, FPT revenue increased 20.5 percent to VND19.6 trillion ($847.24 million) while its profit increased 28 percent to VND3.51 trillion ($151.62 million).
Foreign markets alone brought FPT more than VND8.2 trillion ($354.51million) … [+977 chars]"
0.0,0.0,1.0,0.0,"So am making a car game and Currently moving from the test version to the production one.
everything was going on smoothly until I brought in the replacement for my test car model (which was exported in the default fbx. settings)... anyways so I brought in t… [+1176 chars]"
0.6486,0.067,0.763,0.17,"Although there were only 145 gainers compared to 185 losers by the end of Mondays session, strong growth in most blue-chip and banking sector stocks propelled the VN-Index to its second consecutive gaining session.
The VN-Index represents stocks listed on th… [+2234 chars]"
0.4588,0.0,0.913,0.087,"This kept its iPhone in fourth place, behind Xiaomi, which had a 10.7 percent share, according to a report by market research firm GfK.
Samsung remained on top (40.7 percent) followed by Oppo (24 percent). Vivo was in fifth place (5.4 percent), selling 1.07 … [+1282 chars]"
0.6369,0.0,0.876,0.124,"The number of iPhone XS Max listings on popular trading site Chotot.com as of Friday had increased by 21 percent compared to before the arrival of the first iPhone 11 models to Vietnam a month ago.
Among 20,000 phone listings on the website, which allows use… [+1213 chars]"
0.2023,0.0,0.95,0.05,"DUBLIN, Oct. 24, 2019 /PRNewswire/ -- The ""Asia-Pacific B2C E-Commerce Market 2019"" report has been added to ResearchAndMarkets.com's offering. 
<ul><li>Asia-Pacific remains global leader in B2C E-Commerce sales </li><li>Asia-Pacific is the world's top regio… [+6424 chars]"
-0.4019,0.105,0.841,0.054,"In one project, the U.N. agency will work closely with the city government to design the first waste sorting experiment in Cam Le District. This is expected to generate useful lessons in applying sorting of waste to all of Da Nang.
UNDP will also bring a tea… [+2206 chars]"
0.4404,0.0,0.938,0.062,"Lately we have been catching quite a few glimpses at the Google Pixel 3 handset, thanks to various leaks, with the latest being that someone had apparently left a Pixel 3 XL behind in a Lyft car. However could it all be a ruse? Perhaps, because it seems that … [+1223 chars]"
0.0,0.0,1.0,0.0,"DUBLIN, Nov. 13, 2019 /PRNewswire/ -- The ""Vietnam IoT In Manufacturing Market By Component (Solutions, Services &amp; Platforms), By Application Area, By Vertical (Energy &amp; Utilities, Oil &amp; Gas, Electronics &amp; Electricals, Automotive, &amp; Others… [+8059 chars]"
