compound,negative,neutral,positive,text
0.4767,0.0,0.931,0.069,"ZURICH (Reuters) - Roche's bid to rival Biogen and Novartis in treating spinal muscular atrophy (SMA) got a lift on Monday when the Swiss drugmaker said its drug risdiplam improved motor function of patients in a key study.
Roche, which plans to seek approva… [+1518 chars]"
0.0,0.083,0.833,0.083,"Image source: The Motley Fool.
PTC Inc (NASDAQ:PTC)Q4 2019 Earnings CallOct 23, 2019, 5:00 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good afternoon, ladies and g… [+55919 chars]"
0.3818,0.0,0.933,0.067,"<tr></tr><tr><td>Above: Infrared satellite image of Potential Tropical Cyclone 16 at 1651Z (12:51 pm EDT) Friday, October 18, 2019. Image credit: NASA/MSFC Earth Science Branch.</td></tr>
Update: After more than a day as Potential Tropical Cyclone 16, a syst… [+7418 chars]"
0.1027,0.055,0.879,0.065,"<tr></tr><tr><td>Above: GeoColor satellite image of Potential Tropical Cyclone 16 at 1550Z (11:50 am EDT) Thursday, October 17, 2019. Image credit: RAMMB/CIRA/CSU.</td></tr>
Tropical storm warnings are up for parts of the Louisiana, Alabama, and Florida coas… [+11815 chars]"
-0.4404,0.094,0.906,0.0,"Image source: The Motley Fool.
PTC Therapeutics (NASDAQ:PTCT)Q3 2019 Earnings CallOct 29, 2019, 4:30 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlem… [+51346 chars]"
0.1531,0.036,0.913,0.05,"There's a direct correlation between the proliferation of augmented reality apps and the demand for 3D content, and PTC just quantified that in dollars.
On Wednesday, the company committed $470 million to acquire Onshape, makers of computer-aided design (CAD… [+5506 chars]"
0.7506,0.0,0.859,0.141,PUNE: Tech Mahindra has said it will launch digital training for employees of railroads in the United States for the American Short Line and Regional Railroad Association members (ASLRRA). The company will provide Positive Train Control (PTC) digital training… [+1688 chars]
0.0,0.0,1.0,0.0,"Were at the 2nd annual VRARA Global Summit in Vancouver today, listening to keynotes from XR Industry leaders, which will be posted on You Tube a few week after the conclusion of the show. Vancouver has the second largest XR workforce in the world. Kris Kolo,… [+6945 chars]"
0.0258,0.074,0.849,0.076,"The life-saving, federally-mandated technology the MTA was supposed to install on its commuter rail lines after two fatal crashes is not likely to be completed on time.
Positive Train Control (PTC) is a technology on trains that communicates with hardware on… [+3839 chars]"
0.3818,0.06,0.806,0.133,"PTC Inc. (PTC) came out with quarterly earnings of $0.64 per share, beating the Zacks Consensus Estimate of $0.45 per share. This compares to earnings of $0.45 per share a year ago. These figures are adjusted for non-recurring items.
This quarterly report re… [+3143 chars]"
-0.3182,0.063,0.937,0.0,"PTC Therapeutics, Inc.'s (NASDAQ:PTCT): PTC Therapeutics, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of medicines for the treatment of rare disorders. The companys loss has recently broadened since it annou… [+2565 chars]"
0.765,0.0,0.844,0.156,"At Insider Monkey we track the activity of some of the best-performing hedge funds like Appaloosa Management, Baupost, and Tiger Global because we determined that some of the stocks that they are collectively bullish on can help us generate returns above the … [+6063 chars]"
0.0,0.0,1.0,0.0,"PTC Therapeutics, Inc. (NASDAQ:PTCT) Q3 2019 Earnings Conference Call October 29, 2019 4:30 PM ET
Company Participants
Alex Kane Head-Investor Relations
Stuart Peltz Chief Executive Officer
Marcio Souza Chief Operating Officer
Emily Hill Chief Financial … [+49724 chars]"
0.8519,0.0,0.78,0.22,"We are still in an overall bull market and many stocks that smart money investors were piling into surged through October 17th. Among them, Facebook and Microsoft ranked among the top 3 picks and these stocks gained 45% and 39% respectively. Hedge funds' top … [+4988 chars]"
-0.296,0.046,0.954,0.0,"It's no secret that Samsung is working on augmented reality hardware, as the company has been candid about its intentions. However, what we don't know is exactly how many AR projects the company is working on, as patent filings and reports revealed two more o… [+4929 chars]"
0.5707,0.0,0.893,0.107,"COLUMBIA, S.C. (WIS) - Heads up! Tropical Storm Nestor will bring heavy rain, gusty winds and potential flooding to the Midlands Saturday into Sunday.
First Alert Weather Headlines:
· Saturday and Sunday are Alert Days here in the Midlands.
· Nestor forms … [+2219 chars]"
-0.7351,0.126,0.874,0.0,"If you came here from an internet search because your battery just blew up and you don’t know how to put out the fire, then use a regular fire extinguisher if it’s plugged in to an outlet, or a fire extinguisher or water if it is not plugged in. Get out if th… [+10006 chars]"
0.3818,0.0,0.944,0.056,"Jim Heppelmann has been the CEO of PTC Inc. (NASDAQ:PTC) since 2010. This report will, first, examine the CEO compensation levels in comparison to CEO compensation at companies of similar size. Then we'll look at a snap shot of the business growth. Third, we'… [+3388 chars]"
