compound,negative,neutral,positive,text
0.296,0.046,0.881,0.073,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
Flights to various cities in Asia have dropped as low as $377 round-trip. Beloved cities such as Tokyo, Bangkok an… [+2151 chars]"
0.802,0.0,0.84,0.16,"A while back, we asked our TPG Lounge readers to share their favorite airport hubs around the world, the ones they prefer to fly through whenever they aren’t able to fly nonstop. Heres a look at some of our favorite answers. (Some responses have been lightly … [+6111 chars]"
-0.2732,0.05,0.95,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
Delta’s back with another SkyMiles flash sale, with flights to Asia starting as low as 40,000 SkyMiles and Austral… [+5124 chars]"
-0.8519,0.193,0.807,0.0,"Hong Kong Airlines’ ongoing financial troubles have forced the carrier to cut one of its U.S. routes. The airline said on Monday that under pressure from the Hong Kong government, it will end its route between Hong Kong and Los Angeles (LAX).
As of 8 Februar… [+2381 chars]"
0.2023,0.0,0.938,0.062,"Air Premia, a new South Korean airline that plans to start service next year, has reached a deal to purchase five Boeing 787-9 Dreamliners. That order follows a deal Air Premia reached earlier this year to lease three 787s from Air Lease Corporation.
The air… [+1919 chars]"
0.7717,0.038,0.788,0.174,"Redeeming your hard-earned points and miles to get to Asia in premium cabins can be a bit challenging. Not only will you encounter high award rates; you’ll also frequently face limited award availability, especially if you’re looking for more than one ticket.… [+6697 chars]"
0.9246,0.0,0.735,0.265,"One hallmark of experienced award travelers is their willingness to use frequent flyer programs run by foreign airlines. Even if most of your travel is within the United States, there’s plenty of incentive to look for cheap award rates on domestic flights fro… [+7283 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3380 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3512 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3321 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3480 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3248 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3349 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3247 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3670 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3216 chars]"
0.0,0.0,1.0,0.0,"This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. This compensation may impact how and where links appear on this site. This site does not include all financial companies o… [+3259 chars]"
0.872,0.0,0.772,0.228,"Pros
Efficient service, comfortable seat and high-end cabin finishes.
Cons
Average food that felt more economy than premium.
Earlier this year, Australias Qantas briefly offered a number of award seats in its first-class cabin on the Airbus A380 between M… [+11117 chars]"
0.3182,0.0,0.951,0.049,"Turkish Business Class Barcelona Istanbul Flight Review is part of the ANA, Take Me Round the World Trip Report.
I checked SeatGuru before I booked this flight to make sure it had lie flat seats. When I went on the mobile site, I didn’t see the description t… [+1760 chars]"
-0.34,0.163,0.72,0.117,"South Korea’s Supreme Court was clear: actions carry consequences. And for troubled Asiana, that means a 45-day ban in service to San Francisco (SFO).
In July 2013, Asiana Flight 203 undershot the runway at SFO, crashing after the 777-200ER’s tail struck a s… [+2112 chars]"
