compound,negative,neutral,positive,text
0.5719,0.0,0.901,0.099,"For this mLab Project, we've created an abbreviated version of our mLab Episode 11 with a complete breakdown of our Fusion 360 Tutorial Step by Step to help you follow along below;
Now, let's get started by sketching our design for our Interstellar TESSERAE … [+1947 chars]"
0.0772,0.0,0.971,0.029,"The Canadian Real Estate Association says the number of home sales in September rose 15.5 per cent compared with a year ago, as sales in the country's big cities climbed higher.
The association says sales rose in Canada's large urban markets, including B.C.'… [+605 chars]"
-0.296,0.051,0.949,0.0,"La semifinal de vuelta de la Copa Libertadores de América 2019 que protagonizaron Boca y River estuvo llena de ""mini faltas"" polémicas cobradas por el juez brasilero Wilton Sampaio, que llamativamente la transmisión de la televisión no las volvió a repetir mi… [+2072 chars]"
0.4939,0.04,0.854,0.106,"Credit: Crea-ture Studios
If you were looking forward to skating game Session, you’re going to be waiting a little longer to give it a try.
It looks like developer Crea-ture Studios confirmed that the game has now officially been delayed. It was supposed to… [+1084 chars]"
0.0,0.0,1.0,0.0,"The Xbox One port of Session, a new skateboarding sim which one of its creators once described as ""basically Demon's Souls on a skateboard
,"" has been pushed back a few weeks. It's now scheduled to release in ""late November [or] early December,"" as developer… [+1475 chars]"
-0.9371,0.267,0.709,0.024,"So-called mafia cop Louis Eppolito, who was convicted of murdering several people for the Lucchese crime family and who appeared in the mob movie Goodfellas, has died in federal prison while serving a life sentence. He was 71 years old.
Eppolito was convicte… [+3242 chars]"
0.0,0.0,1.0,0.0,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
According to the Canadian Real Estate Association (CREA), more than 130,000 real estate brokers, agents and salespeople are registered CREA members. Group them into broker… [+8046 chars]"
0.0,0.0,1.0,0.0,"El Real Madrid recibirá el sábado a las 21:00 en el estadio Santiago Bernabéu al Real Betis en el partido correspondiente a las 12ª jornada de LaLiga Santander.
Real Madrid y Betis se verán las caras este fin de semana en la jornada 12 de LaLiga Santander, d… [+3539 chars]"
0.1779,0.0,0.941,0.059,"WASHINGTON--(BUSINESS WIRE)--Today, AmerisourceBergen, a global healthcare solutions leader, concluded its annual two-day manufacturer summit ThinkLive 2019. The conference assembled nearly 400 leading pharmaceutical manufacturers and AmerisourceBergen execut… [+4180 chars]"
0.0,0.0,1.0,0.0,"A través del método Balancing Coaches, que se enmarca dentro del Programa Equilibra, tiene como objetivo eliminar el desgaste físico y mental que se produce en entrenadores y técnicos deportivos para ayudarles a conseguir sus objetivos/COMUNICAE/ 
A través d… [+3396 chars]"
0.296,0.0,0.92,0.08,"Nike recently introduced their 2019 Doernbecher Freestyle Collection which consists of six different sneakers designed by patients at OHSU Doernbecher Children’s Hospital. All of the exclusive kicks will be available starting December 7, including the Air Jor… [+1004 chars]"
0.0,0.0,1.0,0.0,"Canadas home sales jumped 15.5 per cent in September compared with last year, with rising activity and record prices in Toronto and its surrounding suburbs adding to affordability concerns that have become a focus in the federal election campaign.
Sales acti… [+4601 chars]"
0.0,0.0,1.0,0.0,"Mientras se crea este script, se hace referencia al script de abbodi1406. Muchas graciasAlgunos programas de seguridad informarán sobre archivos infectados, eso es falso positivo debido a la emulación de KMS.NOTA: los métodos Windivert y Digital Activation es… [+1759 chars]"
0.0772,0.0,0.971,0.029,"The number of real estate agents registered with Karnataka RERA (Real Estate Regulatory Authority) has shot up from around 700 in 2018 to almost 2,000 this year. As on Tuesday, 1,957 agents were listed as registered under it. The economic downturn, along with… [+2775 chars]"
0.4215,0.0,0.896,0.104,Genre: Melodic Power/Progressive MetalSource: CDCountry: United StatesYear: 1999Audio codec: APE (*.ape)Riptype: image+.cuePlaytime: 01:02:35Site:plixid.comTracklist:01. Intro [0:01:48.05]02. Torquemada [0:06:26.29]03. Por Mi Libertad [0:06:06.16]04. Pelayo [… [+312 chars]
0.1779,0.0,0.96,0.04,"Amidst the prevalent viewing-marathon culture (courtesy Netflix, Amazon Prime, and the like), Chennai Art Theatres B Charles had a brainwave why not do the same with theatre? With the third edition of the Theatre Binge coming up, he is attempting something th… [+2807 chars]"
0.5859,0.0,0.897,0.103,"Torna il biopic su Raiuno, e questa volta si rende onore ad un imprenditore che, nell'immediato Dopoguerra, ha l'idea che diventerà uno dei simboli dell'Italia nel mondo. Enrico Piaggio, in onda questa sera, 12 novembre 2019, alle 21:25, non a caso ha come so… [+3922 chars]"
0.5267,0.04,0.847,0.112,"Recently Stéphane Ashpool posted on Instagram to share a Friends and Family edition of the Pigalle x Jordan Proto Max 720 collaboration.
This Jordan Proto Max 720 is limited to only 10 pairs and features a high grade suede which replaces the traditional mate… [+479 chars]"
0.0,0.0,1.0,0.0,"Gabriella Pession è la protagonista di Oltre la Soglia, la nuova serie tv di Canale 5 che avrà inizio mercoledì 6 novembre, in prima serata.
Gabriella Pession interpreterà la parte di Tosca Navarro, un primario di un reparto all'avanguardia nella cura di ado… [+3431 chars]"
0.0,0.0,1.0,0.0,"Home Palma, la marca especialista en descanso y confort Premium, crea un proceso de análisis del descanso que dará al cliente aquello que necesita. Pioneros en Baleares en la distribución de productos de la marca ""Senttix"". Hasta 7 años de garantía, transport… [+4207 chars]"
