compound,negative,neutral,positive,text
0.1027,0.049,0.894,0.057,"The rupee fell 28 paise to close at 70.97 against the US dollar, amid uncertainty over the US-China trade deal.
The benchmark BSE Sensex on Wednesday rallied 222 points to a life-time high of 40,469.78, amid hopes of more reform measures in the banking, fina… [+2007 chars]"
0.9451,0.064,0.59,0.345,"“Risk taking ability is improving in the market with optimism over recovery in the economy led by stimulus, festive demand, good monsoon and lower interest rate,” said Vinod Nair, Head of Research, Geojit Financial Services.
Extending its gains for the fifth… [+2266 chars]"
-0.6597,0.144,0.778,0.078,"The companys shares tanked nearly 17 per cent in their worst intraday fall in over six years.
IT major Infosys on Tuesday crashed 16 per cent following allegations of unethical practices against the companys top officials, pulling down the BSE Sensex 334.54 … [+2122 chars]"
-0.4019,0.145,0.762,0.093,"Though the Sensex briefly hit a fresh intra-day high of 40,749.33, it failed to sustain the momentum and finally ended 330.13 points, or 0.81 per cent lower at 40,323.61
The benchmark BSE Sensex on Friday plunged 330 points after Moodys cut Indias credit rat… [+2679 chars]"
0.1027,0.046,0.899,0.055,"The 30-share BSE Sensex swung over 523 points before settling 37.67 points, or 0.10 per cent, higher at 39,058.06. (Express Photo: Ganesh Shirsekar/File)
Domestic equity benchmarks eked out modest gains after a see-saw session on Friday as investors stuck to… [+2549 chars]"
0.8658,0.0,0.785,0.215,"(Bloomberg) -- State Bank of India Ltd. posted a bigger-than-expected profit in the fiscal second quarter as asset quality improved. Shares jumped.
Net income more than tripled to 30.1 billion rupees ($424 million) for the three months ended Sept. 30 from 9.… [+1451 chars]"
0.4019,0.0,0.943,0.057,"After opening on a subdued note, the 30-share Sensex surged in afternoon trade to close at 39,052.06, up 453.07 points, or 1.17 per cent. The broader NSE Nifty, too, spiked 122.35 points, or 1.07 per cent, to settle at 11,586.35.
The benchmark BSE Sensex ral… [+4456 chars]"
0.3182,0.0,0.953,0.047,"The Nifty50 had a touch and go moment with 12,000 levels for the first time since June 11. Meanwhile, the S&amp;P BSE Sensex rallied to a fresh record high of 40,606.91 in intraday trade on November 6.
Lets look at the final tally on D-Street the S&amp;P BSE… [+4083 chars]"
0.0,0.0,1.0,0.0,"While stock prices continue their upward march, small investors remain remarkably subdued in the face of new highs in the S&amp;P 500. Nowhere is the rush to buy at any cost visible on the market's horizon, and if the latest AAII sentiment poll is any indicat… [+5533 chars]"
-0.0,0.153,0.694,0.153,"Indian market witnessed profit booking at higher levels triggered by Moodys Investors Services outlook change on India. The global rating agency slashed Indias rating outlook to negative from stable, citing increasing risks to growth.
The heat was felt acros… [+5710 chars]"
0.0,0.0,1.0,0.0,"A volatile day for Indian markets but bulls managed to take Sensex to record highs while Nifty50 had a touch-and-go moment with 12K.
The Nifty50 had a touch and go moment with 12,000 levels for the first time since June while the S&amp;P BSE Sensex rallied t… [+3117 chars]"
0.807,0.066,0.718,0.215,"A terrific Thursday for sure on D-Street! Bulls not just held onto the momentum but also broke above crucial resistance levels which is a positive sign.
The S&amp;P BSE Sensex rallied more than 400 points while the Nifty50 closed with gains of over 100 point… [+3300 chars]"
-0.4019,0.164,0.728,0.108,"Mumbai: Equity benchmark BSE Sensex tumbled 330 points on Friday as investors pressed the exit button after Moody's cut India's credit rating outlook citing growth concerns.
#MarketAtClose | Moodys revises India outlook to negative; market ends at days low. … [+3142 chars]"
0.6369,0.091,0.732,0.177,"Shares of banks and Grasim Industries slipped on Thursday after the Supreme Court upheld the definition of adjusted gross revenue (AGR) provided by the department of telecommunications (DoT), which effectively means telecom operators may have to pay the gover… [+1540 chars]"
0.3182,0.075,0.797,0.128,"Mumbai: Domestic equities took a pause after a six-session winning run on Tuesday, with IT major Infosys' shares crashing following allegations of ""unethical practices"" against the company's chief executive.
The BSE gauge Sensex closed 334.54 points, or 0.85… [+3116 chars]"
-0.4522,0.061,0.939,0.0,"Indian markets which started on a muted note recouped most of the losses and turned green in the second half of the trading session on November 11.
The final tally on D-Street the S&amp;P BSE Sensex rose 21 points to 40,345 while the Nifty50 closed 5 points … [+4438 chars]"
0.0,0.0,1.0,0.0,"For Immediate Release
Chicago, IL October 23, 2019, 2019 Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets. Stocks r… [+8514 chars]"
0.25,0.0,0.957,0.043,"A close above 11400 levels gives bulls the chance to head towards 11,500-11,550 levels which have acted as crucial resistance levels for the index, and a swing high made on October 1 (11,554).
The final tally on D-Street -- the S&amp;P BSE Sensex rose 291 po… [+4005 chars]"
0.836,0.0,0.835,0.165,"After starting on a positive note, the Indian markets pared gains and closed in the red on October 24 amid profit booking in IT, bank, and auto stocks.
Sensex managed to hold on to 39,000, while the Nifty50 closed below 11,600 levels.
The final tally on D-S… [+4515 chars]"
0.5255,0.0,0.93,0.07,"Terrific Thursday on D-Street! The S&amp;P BSE Sensex closed above 39,000, taking the index 17 sessions to add 1,000 points. The Nifty50 is also back above 11,500 for the first time since September 27.
The final tally on D-Street the S&amp;P BSE Sensex rose … [+5545 chars]"
