compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Artist: T.K.BlueTitle Of Album: The Rhythms ContinueYear Of Release: 2019Label: JAJA RecordsGenre: JazzFormat: Mp3 Quality: CBR 320 kbpsTotal Time: 01:00:07Total Size: 144 MB
----------------------&lt;cut&gt;----------------------
 ( 66 !) . ( ) - . , . , .… [+1325 chars]"
0.0,0.0,1.0,0.0,"Artist: SvetlanaTitle Of Album: Night At The MoviesYear Of Release: 2019Label: Svetlana Shmulyian &amp; Starr RecordsGenre: Vocal JazzFormat: Mp3 Quality: CBR 320 kbpsTotal Time: 01:07:11Total Size: 159,6 MB
----------------------&lt;cut&gt;-----------------… [+1480 chars]"
0.6696,0.035,0.839,0.127,"The Singapore Democratic Party (SDP) is all set to organise its pre-election rally this Saturday (19 October) at Hong Lim Park, happening from 4pm to 8pm.
The event, called Shake It Up!, will have an array exciting activities which include live entertainment… [+3406 chars]"
0.836,0.0,0.829,0.171,"Banks are planning to give festival gifts to their employees, according to media reports.
Public sector banks (PSBs) like the State Bank of India (SBI) and the Oriental Bank of Commerce (OBC) are planning to give festival gifts to their employees.
The two b… [+2462 chars]"
-0.3182,0.049,0.951,0.0,"Sky Sports Radios Big Sports Breakfast has lost host Terry Kennedy who is leaving after 18 years.
The announcement:
Terry Kennedy to depart Big Sports Breakfast
Terry Kennedys 18 years driving the Big Sports Breakfast show on Sky Sports Radio has come to a… [+1730 chars]"
0.6486,0.0,0.909,0.091,"President Donald Trump will attend Sunday night’s World Series game (if there is one) but he will not be afforded the ceremonial first pitch. Instead, that honor will go to celebrity chef and vocal Trump-critic Jose Andres.
CNN White House Correspondent Jere… [+3430 chars]"
0.4215,0.0,0.933,0.067,"CHICAGO -- Neuroscientists at Georgetown University Medical Center say they have developed and tested an agent that reduces the buildup of toxic proteins in animal models of both Parkinson's and Alzheimer's diseases, and improves cognitive and motor behavior.… [+5137 chars]"
0.872,0.0,0.841,0.159,"Some women get a rock when they get married but one California woman and her husband got stoned.
Marijuana enthusiasts Coral and Mio may not have tied the knot on April 20, but they still found a way to incorporate their love of the plant into their big day.… [+2638 chars]"
0.4215,0.0,0.933,0.067,"Neuroscientists at Georgetown University Medical Center say they have developed and tested an agent that reduces the buildup of toxic proteins in animal models of both Parkinson's and Alzheimer's diseases, and improves cognitive and motor behavior.The team wi… [+3385 chars]"
0.6249,0.0,0.9,0.1,"Try to imagine that you are the son of a prominent politician who will ultimately rise to the second highest executive office in the land, and your very first job out of law school, when ol' Dad's a mere United States senator, is with a major bank holding com… [+8434 chars]"
-0.25,0.07,0.885,0.044,"I bought a logitech MX anywhere 2S, and I'm using it on Debian 9.
when I started using it got a hight latency.
I resolved the latency problem using the following command:
su
echo 0 &gt; /sys/kernel/debug/bluetooth/hci0/conn_latency &amp;&amp; echo 6 &gt;… [+341 chars]"
-0.5267,0.086,0.884,0.03,"It’s officially Halloween season, which means I’ve been diving deep into the horror canon–this spooky season, I found myself drawn to two different novels about gifted children and the adults experimenting on them: Josh Malerman’s Inspection and Stephen King’… [+8992 chars]"
0.9062,0.0,0.736,0.264,"Though Thanksgiving is a complicated holiday that can be challenging for a variety of reasons, it has the advantage of featuring great food. There are few better ways to self-soothe fraught feelings than munching a table piled high with dishes designed to evo… [+1071 chars]"
0.8168,0.053,0.692,0.255,"Thanks for contributing an answer to Stack Overflow!
<ul><li>Please be sure to answer the question. Provide details and share your research!</li></ul>But avoid
<ul><li>Asking for help, clarification, or responding to other answers.</li><li>Making statements… [+133 chars]"
0.7096,0.0,0.777,0.223,"©Copyright 2000-
 , salesforce.com, inc. All rights reserved. Various trademarks held by their respective owners.
<ul><li>1-800-NO-SOFTWARE</li><li>1-800-667-6389</li></ul>
 The Landmark © One Market St.,
 Suite 300San Francisco, CA 94105
 United States"
0.7096,0.0,0.777,0.223,"©Copyright 2000-
 , salesforce.com, inc. All rights reserved. Various trademarks held by their respective owners.
<ul><li>1-800-NO-SOFTWARE</li><li>1-800-667-6389</li></ul>
 The Landmark © One Market St.,
 Suite 300San Francisco, CA 94105
 United States"
0.7096,0.0,0.777,0.223,"©Copyright 2000-
 , salesforce.com, inc. All rights reserved. Various trademarks held by their respective owners.
<ul><li>1-800-NO-SOFTWARE</li><li>1-800-667-6389</li></ul>
 The Landmark © One Market St.,
 Suite 300San Francisco, CA 94105
 United States"
0.7096,0.0,0.777,0.223,"©Copyright 2000-
 , salesforce.com, inc. All rights reserved. Various trademarks held by their respective owners.
<ul><li>1-800-NO-SOFTWARE</li><li>1-800-667-6389</li></ul>
 The Landmark © One Market St.,
 Suite 300San Francisco, CA 94105
 United States"
