compound,negative,neutral,positive,text
0.7717,0.0,0.845,0.155,"Ultrasound sensing is a smart workaround for the fact the original Nest Hub (née Google Home Hub) doesn't feature a camera. By using high-frequency sounds, the smart display can tell whether you're in the same room as it is, in addition to your approximate po… [+1330 chars]"
0.2401,0.0,0.962,0.038,"And dont forget to download our app! the lady on reception told my partner and I as we dropped our baby off at the nursery for the first time. I nodded obligingly as we walked out the door. Minutes later,both our phones pinged, informing us that we had been g… [+4426 chars]"
0.5267,0.0,0.914,0.086,"While travel often is something we plan weeks and months in advance with specific travel dates in mind, sometimes you just know where you want to go and youre willing to make that trip whenever it makes sense.
This week some friends of mine that are digital … [+1423 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.4939,0.0,0.936,0.064,"BMW has been equipping its cars with in-air gesture control for several years and I never paid attention to it. It seemed redundant. Why wave your hand in the air when there’s dials, buttons, and touchscreens to do the same? Until this week, that is, when too… [+2855 chars]"
-0.5405,0.14,0.782,0.078,"I also wasnt afraid to share how my faith led me to run, and then helped me press on through challenging times as we battled the election fraud.
So while I talked about policy, I anchored my candidacy in the things that connect us all. In the end, voters tol… [+1865 chars]"
0.0,0.0,1.0,0.0,"Along the way, he decided that the standard camera for newspaper photographers, the 4x5 Speed Graphic, was too cumbersome, and hebegan to also use a smaller, 35-millimeter camera. (Staff photographers, including Falk, also used a Rolleiflex 120 camera.) In a … [+1855 chars]"
0.0,0.0,1.0,0.0,"Along the way, he decided that the standard camera for newspaper photographers, the 4x5 Speed Graphic, was too cumbersome, and hebegan to also use a smaller, 35-millimeter camera. (Staff photographers, including Falk, also used a Rolleiflex 120 camera.) In a … [+1855 chars]"
0.3818,0.091,0.768,0.142,"Even as he expressed alarm about the pressure campaign, the colonel and other officials worked to keep the United States relationship with Ukraine on track. At the direction of his superiors at the National Security Council, including John R. Bolton, then the… [+2029 chars]"
0.8625,0.0,0.837,0.163,"As robots and gadgets continue to pervade our everyday lives, they increasingly need to see in 3D but as evidenced by the notch in your iPhone, depth-sensing cameras are still pretty bulky. A new approach inspired by how some spiders sense the distance to the… [+1912 chars]"
0.3612,0.0,0.949,0.051,"After the onstage presentation at Made by Google 2019, we got our hands on a Pixel 4. In this video, you can watch us do a quick run-through of the major new features like Motion Sense, which provides gesture controls that don’t require you to touch your phon… [+173 chars]"
0.7269,0.0,0.824,0.176,"New Scientist has obtained a legal agreement between Google’s health division and the UK National Health Service (NHS) that includes provision to pass five years’ worth of patient data in bulk as part of a contract novation process.
If you’re feeling a sense… [+13686 chars]"
0.6486,0.0,0.883,0.117,"The FCC has given its stamp of approval to T-Mobile and Sprint’s proposed merger, saying the deal will “enhance competition” and hasten 5G deployment. Those opposed say the merger defies common sense, creating a triumvirate of mobile giants that will “divide … [+6177 chars]"
0.0,0.0,1.0,0.0,"Source: Ara Wagoner / Android Central
Motion Sense is one of the new Pixel 4's new features enabled by the Soli radar sensor, which detects precise movement in close proximity to the phone. But it's been largely underutilized so far, with only a handful of g… [+3866 chars]"
-0.6249,0.113,0.887,0.0,In case you need a break from your Twitter timeline or Facebook news feedor constant updates on the state of our countrys changing political landscapeheres something that might make you and your problems feel instantly insignificant: The Size of Space. Design… [+1067 chars]
-0.5423,0.079,0.921,0.0,"Hey, do you have a creeping sense that some people are actually ruthless, homicidal androids merely posing as humans? I have some bad news. According to the documentary film Blade Runner, which takes place in November 2019, replicants have already arrived on … [+1290 chars]"
-0.8591,0.192,0.773,0.035,"Even if it might not make sense, what is on display here is compelling. At one point, we hear Lindsay Wagner's character deliver the line that'll likely define Death Stranding, ""Living is no different from being dead if you're all alone."" Later, Léa Seydoux's… [+420 chars]"
-0.1027,0.03,0.97,0.0,"Early Thursday morning, people all over the U.S. and Canada began receiving strange text messages that didnt make a whole lot of sense. The texts were from people they knew but they lacked context and appeared to have been sent months ago. And it really freak… [+4010 chars]"
0.3933,0.0,0.944,0.056,"The launch of Stadia is only a week away, so its extremely surprising that were only learning about its launch titles nowafter pre-orders have already happened. But given the list of games available maybe it makes sense that Google held off so long.
As launc… [+2479 chars]"
