compound,negative,neutral,positive,text
-0.5267,0.097,0.903,0.0,Raytheon has announced that it delivered the first publicly acknowledged anti-drone laser weapon to the U.S. Air Force earlier this month. The military contractor said the Air Force will deploy the weapon in a year-long experiment overseas in order to train p… [+1904 chars]
0.6705,0.0,0.876,0.124,"Welcome to this edition of The Operators, a recurring Extra Crunch column, podcast and YouTube show that brings you insights and information from inside of tech companies. Our guests are execs with operational experience at both fast-rising startups like Brex… [+3483 chars]"
0.5267,0.026,0.895,0.079,"With last week's planet, Mars, we leave the rocky, terrestrial planets behind, and venture into the realm of the gas giants - Jupiter and Saturn. 
Largest of our solar system planets, mighty Jupiter reigns supreme; it has two-and-a-half times the combined ma… [+7087 chars]"
0.3612,0.168,0.622,0.21,"MANILA -- She terrified a good many when she portrayed a ghost in the horror flick ""Eerie."" 
And it was only fitting that actress Gillian Vicencio walked away with the scariest costume award at the first-ever Black Magic Halloween Party, winning after she un… [+1232 chars]"
-0.0772,0.071,0.865,0.064,"MANILA, Philippines — After showcasing Filipiniana outfits at the 2019 ABS-CBN Ball, Kapamilya stars managed by the network's homegrown agency, Star Magic, ushered in the Halloween season with scary and creative costumes at their fest ever 2019 Black Magic pa… [+1419 chars]"
-0.6124,0.11,0.846,0.044,"Coming home after wildfire evacuations is a relief for some families, but can spell complete heartbreak for others. Some residents are returning home after California's largest evacuation in history to find their home and belongings have turned to ashes.
Fir… [+6057 chars]"
0.9055,0.101,0.607,0.292,"Whether its in a novel, the latest box office smash, or when Uncle Elmer mistook a potted cactus for a stress ball, we all love stories. There are stories we love, stories we hate, and stories we wish wed never experienced. Most of the good stories share stru… [+13239 chars]"
0.2235,0.0,0.96,0.04,"Actor Ayushmann Khurrana says he is not worried about the plot similarities between his film Bala and Ujda Chaman, where both films are based on lives of men dealing with premature balding.
Directed by Amar Kaushik, Bala stars Ayushmann as a young bald man w… [+2885 chars]"
0.1779,0.069,0.824,0.107,"0 with 0 posters participating
The successor to 8chan, 8kun, made a somewhat brief appearance on the public Internet thanks to what amounts to an attack on the Internet's routing infrastructure. The site's domain name server, hosted by a service called Vanwa… [+6132 chars]"
-0.6597,0.116,0.884,0.0,"One of Cuba’s sole heavy metal bands, Zeus, grapples with shifting cultural tides in the new teaser for the upcoming documentary, Los Ultimos Frikis.
Zeus formed in Havana during the Eighties, when rock music was considered a capitalist threat and was effect… [+2047 chars]"
0.836,0.0,0.789,0.211,"Vacation rental property manager Vacasa just nabbed a $319 million Series C funding round that put it in unicorn territory. 
Founded in 2009, the company manages vacation properties for owners, and provides tech support like dynamic pricing as well as operat… [+2252 chars]"
0.0,0.0,1.0,0.0,"Emily Wilson, whose translation of The Odyssey recently reintroduced the epic to a wider non-classics audience, has now cheekily translated the tale of Odysseus into a series of limericks. She starts off: There was a young man called Telemachus who was bullie… [+447 chars]"
-0.8689,0.217,0.783,0.0,"Human remains were found on Saturday where the Tick Fire ignited at least six houses in the suburbs of Southern California, authorities reported. As fire departments fight back the raging infernos, power outages are expected to impact an estimated 3 million p… [+10654 chars]"
0.1531,0.0,0.959,0.041,"In this video review, Bitcoin Magazine tests the Cryptotag Zeus, a 100-percent titanium, recovery seed storage device. 
The Zeus allows users to make a virtually indestructible, seed-phrase backup plaque in less than five minutes. Essentially, they engrave a… [+2159 chars]"
0.9783,0.023,0.59,0.387,"Blac Chyna is trying to help Tokyo Toni find true love by making sure her mom's suitors know how to pleasure a woman!!! Yep, go ahead and file this vid under super awkward
The clip is from TT's new reality dating show, ""Tokyo Toni: Finding Love ASAP"" -- and … [+783 chars]"
0.0,0.046,0.907,0.046,"Nebuchadnezzar is a historical city builder with a name I hate to type. It was announced recently and will be with us next year, but it wouldn't have looked out of place next to Impressions Games' Pharaoh or Zeus back in the '90s and early '00s. It's a bit of… [+1314 chars]"
0.0,0.0,1.0,0.0,"Angelina Jolie, along with Game of Thrones’ Richard Madden and Kit Harington, are among the high-profile actors with roles in Marvel’s upcoming The Eternals which has been filming in the Canary Islands off the coast of Spain. The movie, with its top-flight ca… [+1775 chars]"
0.7184,0.0,0.867,0.133,"It’s an eclectic pick this week—from a Honda Monkey chopper to a one-off Triumph prototype from the 80s. We’ve also got a subtly tweaked Yamaha XSR, a hopped-up BMW, and a classy XS650 scrambler.
Honda Monkey by Zeus Custom There’s a little bike revival happ… [+6053 chars]"
0.7311,0.078,0.752,0.17,"The famous Gentle Barn went under evacuation because of California's devastating Tick Fire ... but some of the older animals are still in harm's way.
While a majority of the creatures who call The Gentle Barn home have made it to safety ... founder Ellie Lak… [+1349 chars]"
0.6249,0.0,0.915,0.085,"Photograph via Guinness World Records
According to a recent Facebook post by Guinness World Records, the tallest dog ever was Zeus (USA) a Great Dane, who was officially measured on this day in 2011 and found to be a staggering 1.118 m (44 in) tall. Zeus was… [+660 chars]"
