compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Stephen Colbert will continue to host The Late Show until at least August 2023.
Earlier this week, the critically acclaimed TV host signed on with CBS and Global for three additional years of The Late Show with Stephen Colbert. The new contract kicks in next… [+2345 chars]"
-0.6222,0.103,0.897,0.0,"Should you in fact, feed the trolls?
No, this is not a question posed in Sweden about the ecological upkeep of the native troll species. It is in fact, a question posed by Hanna Fogelberg, CCO of Landfall Games, the makers of Totally Accurate Battle Simulato… [+4773 chars]"
-0.0772,0.087,0.836,0.078,"Image source: The Motley Fool.
Clear Channel Outdoor Holdings Inc (NYSE:CCO)Q3 2019 Earnings CallNov 6, 2019, 8:30 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladi… [+48779 chars]"
0.6486,0.0,0.89,0.11,"Marvel TV head Jeph Loeb, the man behind shows like Agents of SHIELD, is reportedly exiting his position and the company in the coming weeks.
After almost a decade with the company, Loeb is planning his exit according to The Hollywood Reporter. Reports state… [+831 chars]"
0.9022,0.0,0.758,0.242,"Big changes for Marvel Entertainment were set into motion earlier today when it was revealed that Kevin Feige -- President of Marvel Studios -- is now also Marvel's Chief Creative Officer. Feige now sits at the top of the company, alongside Chairman Ike Perlm… [+1824 chars]"
0.8176,0.0,0.817,0.183,"Disney Chief Creative Officer Alan Horn revealed that Marvel Studios President Kevin Feige is planning to release three to four Marvel Cinematic Universe films a year.
In an interview with The Hollywood Reporter, Horn sat alongside several other studio execu… [+1342 chars]"
0.3612,0.039,0.866,0.096,"After much anticipation, HBO's Watchmen finally premiered, plunging viewers into an alternate version of the United States where police officers hide their identities under masks and squids rain from the sky. The Damon Lindelof-created series takes place in t… [+1366 chars]"
0.9042,0.0,0.737,0.263,"DC Co-Publisher and Chief Creative Officer Jim Lee has shared an adorable collaboration piece of art that he worked on with his seven-year-old daughter.
The picture, which Lee shared on Instagram, depicts a bearded Hill Giant with a huge battle-ax strapped t… [+1235 chars]"
0.9052,0.0,0.803,0.197,"It had been rumored, but now it’s official: Jeph Loeb is on the way out at Marvel Television. Loeb was the Marvel TV head for almost a decade, but the recent promotion of Kevin Feige to Marvel’s chief creative officer lead many to believe Loeb’s time with Mar… [+1988 chars]"
0.3612,0.0,0.944,0.056,The Simpsons is getting its first taste of corporate synergy this season. Several newly announced guest stars for an upcoming episode of its currently-airing 31st season are the first big sign of the long-running animated Fox comedy series’ new ownership. Spr… [+1926 chars]
0.6908,0.0,0.862,0.138,"We get more details on the LG G8X ThinQ U.S. launch, thanks to Sprint. LG initially shared pricing and availability for its latest flagship smartphone, complete with the Dual Screen case, and now Sprint is going into the specifics. Pre-orders start on Novembe… [+900 chars]"
0.9186,0.038,0.714,0.247,"Taras Wayner, the creative leader who may be best known for his contributions to R/GAs Love Has No Labels, is joining Wunderman Thompson as the agencys chief creative officer in North America. Wayner is departing Saatchi &amp; Saatchi New York, where he was i… [+1752 chars]"
0.0258,0.133,0.732,0.135,"Clear Channel Outdoor (CCO) came out with a quarterly loss of $0.25 per share versus the Zacks Consensus Estimate of a loss of $0.10. This compares to loss of $0.18 per share a year ago. These figures are adjusted for non-recurring items.
This quarterly repo… [+3236 chars]"
0.0,0.0,1.0,0.0,"Heimat Berlin has developed the Voice of the Wall typeface for non-profit art association The Cultural Heirs, based on letterforms graffitied on the Berlin Wall. It marks the 30th anniversary of the Walls fall back in November 1989 and uses the occasion to wa… [+2241 chars]"
0.0,0.0,1.0,0.0,"VaynerMedia hired Wanda Pogue as chief strategy officer, filling a vacancy left with the departure of Justine Bloome in April.
In the role, Pogue will be tasked with leading strategy across the agency’s global offices in New York, Los Angeles, London and Sin… [+1543 chars]"
0.4404,0.0,0.942,0.058,"BBDO has named Greg Hahn as creative vice chairman.
An agency veteran for nearly 14 years, Hahn has spent the last six year serving as BBDO New York CCO. In his broader role, Hahn will work closely with BBDO Worldwide CCO David Lubars.
Speaking to AgencySpy… [+706 chars]"
-0.5574,0.095,0.905,0.0,Ant-Man 3 is on the way with franchise director Payton Reed reportedly signing on to direct. Paul Rudd is expected to return as the lead superhero.The Hollywood Reporter claims the movie will shoot late 2020 or early 2021 for a 2022 release. No plot details a… [+1572 chars]
0.5709,0.026,0.868,0.106,"LONDON, United Kingdom — BoF compiles the most important professional moves of the week.
Riccardo Bellini to leave Margiela for Chloé
Following the news of his exit as chief executive of Maison Margiela, Riccardo Bellini has been named CEO of Chloé, effecti… [+3245 chars]"
0.3818,0.0,0.945,0.055,"Survios has been toiling away in virtual reality since 2013. The Los Angeles company has seen the hype cycle around VR since before Oculus was acquired by Facebook, and it has persevered through the slower-than-expected growth of VR in the past couple of year… [+13517 chars]"
