compound,negative,neutral,positive,text
0.5346,0.032,0.851,0.116,"I have lived nearly all my life in California, and my love for this place and its people runs deep and true. There have been many times in the past few years when Ive called myself a California nationalist: Sure, America seemed to be going crazy, but at least… [+970 chars]"
-0.6705,0.111,0.889,0.0,"Wildfires have left a trail of scorched earth around the globe this year from the Arctic to California. Now its Australias turn to burn.
Wildfires lit up the countryside last week, and this week could be even worse. The fire agency in Australias most populou… [+3492 chars]"
0.128,0.0,0.966,0.034,"With roughly one million customers across Brazil and a new round of financing, the mobile phone insurance provider Pitzi now finds itself with a $100 million valuation.
The size of its latest round, which was led by QED Investors and included commitments fro… [+2114 chars]"
0.4019,0.0,0.935,0.065,"More posts by this contributor
Recently reelected, Indonesian President Joko Widodo announceda desire to move the nation’s capital from Jakarta to the East Kalimantan region, citing environmental concerns, the most exigent of these being the fact that Jakart… [+3213 chars]"
-0.296,0.043,0.957,0.0,"San Francisco is one of the most populous cities in the US, but it wasn't always that way. About 170 years ago, the city was relatively empty. Then the California Gold Rush led its population to balloon by a factor of 25 in a single year. 
For the most part,… [+380 chars]"
-0.9413,0.327,0.627,0.046,"MEDAN, Indonesia (Reuters) - A suspected suicide bombing outside police headquarters in Indonesia's city of Medan in North Sumatra killed the perpetrator and wounded some officers on Wednesday, police said, just a month after an attack on a former security mi… [+1362 chars]"
-0.7506,0.144,0.856,0.0,"By Neil Jerome Morales and Peter Blaza
MANILA (Reuters) - A magnitude 6.4 earthquake struck the southern Philippines on Wednesday, killing at least one child and injuring more than two dozen other people.
Government authorities were starting to receive repo… [+2193 chars]"
0.0516,0.043,0.909,0.048,"Podcast choices are paltry. Apple TV+ is off the air. News subscriptions are blocked, and Arcade gaming is nowhere to be found. For years, Apple made huge inroads in the world's most populous nation with hardware that boasted crisp displays, sleek lines and s… [+984 chars]"
-0.9295,0.303,0.697,0.0,"CANBERRA, Australia (AP) Wildfires razing Australia's drought-stricken east coast have left two people dead and several missing, more than 30 injured and over 100 homes destroyed, officials said Saturday.
Around 1,500 firefighters were battling 70 fires acro… [+3009 chars]"
-0.7906,0.208,0.689,0.102,"More women in India die from cervical cancer than in any other country. This preventable disease kills around 67,000 women in India every year, more than 25% of the 260,000 deaths worldwide.
Effective screening and early detection can help reduce its inciden… [+5424 chars]"
0.4767,0.0,0.895,0.105,"Africa focused payment startup PalmPay has launched in Nigeria after raising a $40 million seed-round led by Chinese mobile-phone maker Transsion.
The investment came via Transsion’s Tecno subsidiary, with participation from China’s NetEase and Taiwanese wir… [+4442 chars]"
-0.6808,0.188,0.714,0.097,"MELBOURNE (Reuters) - Australian firefighters raced on Sunday to contain widespread bushfires that have left three people dead, and braced for worse conditions in coming days as they warned the blazes will stretch their ability to protect people. 
More than … [+2102 chars]"
-0.5423,0.119,0.839,0.042,"(Reuters) - A federal judge on Tuesday struck down the Trump administration’s effort to allow blueprints for making guns from 3-D printers to be posted online. 
U.S. District Judge Robert Lasnik said the State Department violated federal law by letting Defen… [+2374 chars]"
-0.1779,0.115,0.806,0.078,"By Kanishka Singh and Saurabh Sharma
LUCKNOW/AYODHYA, India, India Nov 10 (Reuters) - Dozens of people in India have been detained on suspicion of publishing inflammatory social media posts and setting off celebratory firecrackers after the Supreme Court rul… [+2898 chars]"
0.8519,0.0,0.766,0.234,"The end of the year is coming, and it's time for security decision-makers to make plans for 2020 and get management approval. Typically, this entails making a solid case regarding why current resources, while yielding significant value, need to be reallocated… [+4299 chars]"
-0.4404,0.116,0.807,0.077,"The global population is predicted to grow by 2 billion by 2050 and with more than half of that growth coming from Sub-Saharan Africa, addressing food insecurity has become a matter of urgency.
In Africas most populous country, Nigeria, food insecurity is on… [+5474 chars]"
0.9595,0.042,0.659,0.299,"We all love a good app, but you know what we love more? A good sale. And these 10 apps and subscriptions that you'll use every day happen to check both boxes.
Rather than surfing the web trying to find the latest and greatest software, look no further than t… [+6009 chars]"
0.7096,0.0,0.859,0.141,"Source: Android Central
<ul><li>Huawei has posted an impressive 66% growth in smartphone shipments for China in Q3 2019.</li><li>This was despite the Chinese smartphone market contracting as a whole.</li><li>It was the only major smartphone maker to post any… [+2482 chars]"
-0.5859,0.112,0.888,0.0,"Cristian Molina takes his tuberculosis medication at his house in the shantytown of Luján in Buenos Aires, Argentina. (Photo: Magali Druscovich/Reuters)
BUENOS AIRES, Argentina In a poor Buenos Aires suburb, Cristian Molinas jeans and denim jacket hide his u… [+10349 chars]"
